policy,scope,fold,raw_threshold,bc_threshold,raw_joint_pd,bc_joint_pd,joint_pd_change,raw_pfa,bc_pfa,pfa_absolute_change,pfa_reduction_fraction,raw_roc_auc,bc_roc_auc,roc_auc_change
two_per_fold,combined_test,all,0.8037906289100647,0.8036319017410278,0.9119496855345912,0.8553459119496856,-0.05660377358490565,0.03132530120481928,0.006024096385542169,-0.025301204819277112,0.8076923076923077,0.9888402667272865,0.9943623550807001,0.005522088353413612
two_per_fold,per_fold_test,1,0.8037906289100647,0.8036319017410278,0.9622641509433962,0.9433962264150944,-0.018867924528301883,0.12,0.02666666666666667,-0.09333333333333332,0.7777777777777777,0.9822641509433963,0.9867924528301887,0.00452830188679243
two_per_fold,per_fold_test,2,0.8037906289100647,0.8036319017410278,0.9245283018867925,0.7924528301886793,-0.13207547169811318,0.0,0.0,0.0,,1.0,1.0,0.0
two_per_fold,per_fold_test,3,0.8037906289100647,0.8036319017410278,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,0.0,,1.0,1.0,0.0
two_per_fold,per_fold_test,4,0.8037906289100647,0.8036319017410278,0.8846153846153846,0.6923076923076923,-0.1923076923076923,0.05333333333333334,0.006666666666666667,-0.04666666666666667,0.875,0.9661538461538461,0.9733333333333334,0.007179487179487243
two_per_fold,per_fold_test,5,0.8037906289100647,0.8036319017410278,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,,0.9997777777777778,0.9997777777777778,0.0
two_per_fold,per_fold_test,6,0.8037906289100647,0.8036319017410278,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0,0.0,,0.998731884057971,0.998731884057971,0.0
pfa05,combined_test,all,0.6035230159759521,0.6032900810241699,0.9308176100628931,0.9182389937106918,-0.012578616352201255,0.07710843373493977,0.01927710843373494,-0.05783132530120483,0.75,0.9888402667272865,0.9943623550807001,0.005522088353413612
pfa05,per_fold_test,1,0.6035230159759521,0.6032900810241699,1.0,0.9622641509433962,-0.037735849056603765,0.26,0.09333333333333334,-0.16666666666666669,0.6410256410256411,0.9822641509433963,0.9867924528301887,0.00452830188679243
pfa05,per_fold_test,2,0.6035230159759521,0.6032900810241699,0.9245283018867925,0.9245283018867925,0.0,0.0,0.0,0.0,,1.0,1.0,0.0
pfa05,per_fold_test,3,0.6035230159759521,0.6032900810241699,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,0.0,,1.0,1.0,0.0
pfa05,per_fold_test,4,0.6035230159759521,0.6032900810241699,0.9038461538461539,0.8653846153846154,-0.038461538461538436,0.16666666666666666,0.013333333333333334,-0.15333333333333332,0.9199999999999999,0.9661538461538461,0.9733333333333334,0.007179487179487243
pfa05,per_fold_test,5,0.6035230159759521,0.6032900810241699,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,,0.9997777777777778,0.9997777777777778,0.0
pfa05,per_fold_test,6,0.6035230159759521,0.6032900810241699,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0,0.0,,0.998731884057971,0.998731884057971,0.0
