method,policy,threshold,validation_background_count,max_false_alarms,target_pfa
raw,two_per_fold,0.8037906289100647,830,12,0.014457831325301205
bc_v2,two_per_fold,0.8036319017410278,830,12,0.014457831325301205
raw,pfa05,0.6035230159759521,830,41,0.04939759036144578
bc_v2,pfa05,0.6032900810241699,830,41,0.04939759036144578
