mode,mean_test_bg_exceed,mean_test_target_detect,mean_bg_median_shift,mean_bg_q95_shift
polar6_gated,0.37999999999999995,0.8561320754716981,0.49964141845703125,0.5134063720703128
power2,0.9866666666666666,1.0,0.64776611328125,0.8052154541015626
ri4,0.1133333333333333,0.7151669085631349,0.35931396484375,0.2492675781250002
ri8_gated,0.32333333333333325,0.8666545718432511,0.409454345703125,0.4336120605468752
