fold,mode,split,class,count,mean,std,q00,q01,q05,q25,q50,q75,q95,q99,q100
1,power2,test,background,150,0.7351847330729167,0.1724936894726823,0.2391357421875,0.2738134765625,0.41318359375,0.6319580078125,0.7783203125,0.8731689453125,0.95224609375,0.9694970703125,0.97021484375
1,power2,test,target,53,0.9560546875,0.0476804427034796,0.75439453125,0.784609375,0.83173828125,0.9521484375,0.9716796875,0.982421875,0.99189453125,0.9933984375,0.99365234375
1,power2,validation,background,150,0.0798089599609375,0.0453769776019637,0.03228759765625,0.0345858764648437,0.039251708984375,0.0587158203125,0.0731201171875,0.085052490234375,0.1395812988281249,0.2650195312499985,0.439453125
1,power2,validation,target,53,0.9502045253537736,0.0540365454215035,0.6728515625,0.76349609375,0.8537109375,0.94921875,0.96728515625,0.98193359375,0.98779296875,0.99134765625,0.994140625
1,ri4,test,background,150,0.5270664469401042,0.2263673879974336,0.058441162109375,0.0768096923828125,0.171142578125,0.3531494140625,0.543701171875,0.700927734375,0.891162109375,0.936533203125,0.9521484375
1,ri4,test,target,53,0.7995697597287735,0.2006319074802323,0.26513671875,0.278720703125,0.40126953125,0.6259765625,0.89697265625,0.955078125,0.98310546875,0.98896484375,0.990234375
1,ri4,validation,background,150,0.2440952555338541,0.1962106822695464,0.0390625,0.0552978515625,0.0616668701171875,0.10931396484375,0.16925048828125,0.2769775390625,0.6947021484374997,0.7997509765624998,0.8193359375
1,ri4,validation,target,53,0.8886580557193396,0.1265262989623037,0.405029296875,0.41912109375,0.6318359375,0.88720703125,0.92919921875,0.9619140625,0.9830078125,0.98796875,0.98974609375
1,polar6_gated,test,background,150,0.5237361653645833,0.2288551566641243,0.1163330078125,0.130321044921875,0.180645751953125,0.33929443359375,0.51513671875,0.7608642578125,0.8788330078125,0.9089892578125,0.93115234375
1,polar6_gated,test,target,53,0.8665794516509434,0.1006314058794179,0.5556640625,0.55794921875,0.6404296875,0.83837890625,0.90185546875,0.9365234375,0.95703125,0.9655078125,0.96728515625
1,polar6_gated,validation,background,150,0.0781891886393229,0.0941254379673519,0.0274810791015625,0.0311419677734375,0.0347259521484375,0.042388916015625,0.0525665283203125,0.0721282958984375,0.2024597167968747,0.5761083984374994,0.81201171875
1,polar6_gated,validation,target,53,0.8782244988207547,0.0889890648793429,0.5947265625,0.60412109375,0.659375,0.86328125,0.908203125,0.935546875,0.95537109375,0.96587890625,0.970703125
1,ri8_gated,test,background,150,0.4505399576822916,0.238499795211251,0.07342529296875,0.0860821533203125,0.121405029296875,0.2281494140625,0.4542236328125,0.6318359375,0.8614746093749998,0.9287255859374998,0.94775390625
1,ri8_gated,test,target,53,0.8103626179245284,0.1591639026801925,0.33740234375,0.36634765625,0.449365234375,0.74755859375,0.86328125,0.9267578125,0.96201171875,0.96763671875,0.97119140625
1,ri8_gated,validation,background,150,0.1049120076497395,0.1287534205597166,0.0260009765625,0.0286239624023437,0.0338104248046875,0.0445327758789062,0.058441162109375,0.0954437255859375,0.4246459960937498,0.6150732421874995,0.822265625
