mode,mean_auc,mean_pauc5,mean_tpr1,mean_tpr5
polar6_gated,0.846950290275762,0.6844677657449791,0.3227503628447025,0.46480406386066764
power2,0.914669206579584,0.8073821840149852,0.5527939042089985,0.7142597968069666
ri4,0.8784337203676826,0.7700184833711684,0.47659651669085634,0.6585631349782293
ri8_gated,0.8688945331398161,0.6542245047324873,0.11411465892597966,0.5337445573294629
