fold,scan_group,mode,n,mean_score,score_recall,joint_pd,range_mae,velocity_mae
4,20260202_144906,polar6_gated,4,0.7947998046875,0.75,0.75,0.5,1.0
4,20260202_144914,polar6_gated,4,0.6973876953125,0.75,0.5,19.25,13.5
4,20260202_144922,polar6_gated,5,0.88720703125,1.0,0.8,2.2,0.6
4,20260202_144931,polar6_gated,4,0.7357177734375,0.75,0.75,1.25,0.75
4,20260202_144939,polar6_gated,5,0.89931640625,1.0,1.0,0.6,0.4
4,20260202_144947,polar6_gated,5,0.836328125,1.0,1.0,1.0,0.4
4,20260202_144955,polar6_gated,5,0.77734375,1.0,0.4,19.4,31.6
4,20260202_145004,polar6_gated,4,0.71807861328125,0.5,0.5,1.0,6.0
4,20260202_145012,polar6_gated,4,0.7921142578125,0.75,0.75,3.5,7.75
4,20260202_144841,ri8_gated,4,0.7674560546875,0.75,0.75,8.0,9.5
4,20260202_144849,ri8_gated,4,0.7064208984375,0.75,0.25,26.5,15.5
4,20260202_144857,ri8_gated,4,0.6630859375,0.5,0.25,11.75,20.5
4,20260202_144906,ri8_gated,4,0.767578125,0.75,0.75,7.0,6.5
4,20260202_144914,ri8_gated,4,0.71270751953125,0.75,0.75,1.0,1.75
4,20260202_144922,ri8_gated,5,0.93896484375,1.0,1.0,0.6,0.6
4,20260202_144931,ri8_gated,4,0.8687744140625,1.0,0.75,1.75,0.5
4,20260202_144939,ri8_gated,5,0.86865234375,1.0,1.0,0.2,1.6
4,20260202_144947,ri8_gated,5,0.95078125,1.0,1.0,0.6,0.8
4,20260202_144955,ri8_gated,5,0.881640625,1.0,0.8,1.2,1.2
4,20260202_145004,ri8_gated,4,0.8780517578125,1.0,0.75,1.75,0.5
4,20260202_145012,ri8_gated,4,0.7745361328125,0.75,0.75,12.0,9.75
