fold,mode,split,n,positive,background,roc_auc,partial_auc_at_5pct_fpr,tpr_at_1pct_fpr,tpr_at_5pct_fpr
1,power2,test,203,53,150,0.9444025157232704,0.801483631672311,0.5094339622641509,0.7169811320754716
1,power2,validation,203,53,150,1.0,1.0,1.0,1.0
1,ri4,test,203,53,150,0.8228930817610063,0.712949524270279,0.4339622641509434,0.5094339622641509
1,ri4,validation,203,53,150,0.9877358490566036,0.941944847605225,0.8867924528301887,0.8867924528301887
1,polar6_gated,test,203,53,150,0.920503144654088,0.7555233026931141,0.4339622641509434,0.660377358490566
1,polar6_gated,validation,203,53,150,0.99874213836478,0.9870988550233832,0.981132075471698,1.0
1,ri8_gated,test,203,53,150,0.8883018867924528,0.6529592001290114,0.1320754716981132,0.490566037735849
1,ri8_gated,validation,203,53,150,0.9928301886792452,0.93807450411224,0.8490566037735849,0.9622641509433962
4,power2,test,202,52,150,0.8849358974358975,0.8132807363576594,0.5961538461538461,0.7115384615384616
4,power2,validation,210,60,150,0.9998888888888888,0.9988603988603988,1.0,1.0
4,ri4,test,202,52,150,0.933974358974359,0.8270874424720578,0.5192307692307693,0.8076923076923077
4,ri4,validation,210,60,150,0.9925555555555556,0.9361823361823362,0.7,0.9666666666666668
4,polar6_gated,test,202,52,150,0.7733974358974359,0.6134122287968442,0.2115384615384615,0.2692307692307692
4,polar6_gated,validation,210,60,150,0.9941111111111112,0.9515669515669516,0.8833333333333333,0.95
4,ri8_gated,test,202,52,150,0.8494871794871794,0.6554898093359631,0.0961538461538461,0.5769230769230769
4,ri8_gated,validation,210,60,150,0.9967777777777778,0.9675213675213676,0.9166666666666666,0.9833333333333332
