group_type,group_value,channel,sample_count,range_signed_mean,range_signed_median,range_signed_mode,range_signed_std,range_mae,range_rmse,range_within_0_rate,range_within_1_rate,range_within_2_rate,range_within_3_rate,velocity_signed_mean,velocity_signed_median,velocity_signed_mode,velocity_signed_std,velocity_mae,velocity_rmse,velocity_within_0_rate,velocity_within_1_rate,velocity_within_2_rate,velocity_within_3_rate
session_id,20260202_145012,H,4,2.0,2.0,2.0,1.4142135623730951,2.0,2.449489742783178,0.25,0.25,0.75,0.75,0.75,1.0,1.0,0.4330127018922193,0.75,0.8660254037844386,0.25,1.0,1.0,1.0
session_id,20260202_145012,V,4,1.25,0.5,0.0,1.6393596310755,1.25,2.0615528128088303,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
session_id,20260202_145020,H,4,-4.75,-5.0,-5.0,0.4330127018922193,4.75,4.769696007084728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145020,V,4,-0.25,0.0,-5.0,3.832427429188973,3.75,3.840572873934304,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145028,H,3,-3.0,-4.0,-5.0,2.160246899469287,3.0,3.696845502136472,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145028,V,3,-2.0,-1.0,-5.0,2.160246899469287,2.0,2.943920288775949,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145037,H,3,3.6666666666666665,4.0,2.0,1.247219128924647,3.6666666666666665,3.872983346207417,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145037,V,3,2.0,5.0,5.0,4.242640687119285,4.666666666666667,4.69041575982343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145045,H,4,-2.0,-2.5,-4.0,1.8708286933869707,2.5,2.7386127875258306,0.0,0.25,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145045,V,4,0.5,0.5,-3.0,2.5,2.0,2.5495097567963922,0.25,0.5,0.5,0.75,-0.25,0.0,0.0,0.4330127018922193,0.25,0.5,0.75,1.0,1.0,1.0
session_id,20260202_145053,H,4,2.0,2.0,0.0,2.0,2.0,2.8284271247461903,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.4330127018922193,0.25,0.5,0.75,1.0,1.0,1.0
session_id,20260202_145053,V,4,2.5,4.0,4.0,2.598076211353316,3.5,3.605551275463989,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.4330127018922193,0.25,0.5,0.75,1.0,1.0,1.0
session_id,20260202_145102,H,5,2.6,3.0,4.0,1.4966629547095764,2.6,3.0,0.2,0.2,0.4,0.6,0.4,0.0,0.0,0.48989794855663565,0.4,0.6324555320336759,0.6,1.0,1.0,1.0
session_id,20260202_145102,V,5,0.6,0.0,0.0,1.3564659966250536,1.0,1.4832396974191326,0.4,0.8,0.8,1.0,0.4,0.0,0.0,0.48989794855663565,0.4,0.6324555320336759,0.6,1.0,1.0,1.0
session_id,20260202_145110,H,4,-1.0,-2.0,-4.0,3.3166247903554,3.0,3.4641016151377544,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145110,V,4,-1.5,-1.5,-4.0,2.5,2.5,2.9154759474226504,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145118,H,4,-1.5,-3.0,-3.0,3.2015621187164243,3.5,3.5355339059327378,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145118,V,4,2.5,4.5,5.0,3.774917217635375,4.5,4.527692569068709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
