group_type,group_value,channel,sample_count,range_signed_mean,range_signed_median,range_signed_mode,range_signed_std,range_mae,range_rmse,range_within_0_rate,range_within_1_rate,range_within_2_rate,range_within_3_rate,velocity_signed_mean,velocity_signed_median,velocity_signed_mode,velocity_signed_std,velocity_mae,velocity_rmse,velocity_within_0_rate,velocity_within_1_rate,velocity_within_2_rate,velocity_within_3_rate
distance_bin,"[1800.0, 2100.0)",H,161,0.2857142857142857,1.0,-4.0,3.437875574384739,3.1677018633540373,3.4497276875157006,0.024844720496894408,0.16770186335403728,0.30434782608695654,0.484472049689441,0.09316770186335403,0.0,0.0,0.4287964122756076,0.19254658385093168,0.4388013033833556,0.8074534161490683,1.0,1.0,1.0
distance_bin,"[1800.0, 2100.0)",V,161,0.577639751552795,2.0,-4.0,3.5624678297386656,3.347826086956522,3.6089949737422597,0.024844720496894408,0.13664596273291926,0.2732919254658385,0.391304347826087,0.09316770186335403,0.0,0.0,0.4287964122756076,0.19254658385093168,0.4388013033833556,0.8074534161490683,1.0,1.0,1.0
distance_bin,"[2100.0, 2400.0)",H,153,-0.13725490196078433,0.0,-4.0,3.5222148845853973,3.2091503267973858,3.524888168624246,0.058823529411764705,0.1437908496732026,0.3006535947712418,0.42483660130718953,0.0457516339869281,0.0,0.0,0.3850111496738076,0.1503267973856209,0.3877199986918664,0.8496732026143791,1.0,1.0,1.0
distance_bin,"[2100.0, 2400.0)",V,153,-0.7320261437908496,-2.0,-4.0,3.2978633129177823,3.0326797385620914,3.3781303565555834,0.05228758169934641,0.21568627450980393,0.3333333333333333,0.477124183006536,0.058823529411764705,0.0,0.0,0.3999230991053165,0.16339869281045752,0.40422604172722165,0.8366013071895425,1.0,1.0,1.0
distance_bin,"[2400.0, 2700.0)",H,4,-0.25,0.0,1.0,1.299038105676658,1.25,1.3228756555322954,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
distance_bin,"[2400.0, 2700.0)",V,4,0.5,0.5,-1.0,1.118033988749895,1.0,1.224744871391589,0.25,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
