group_type,group_value,channel,sample_count,range_signed_mean,range_signed_median,range_signed_mode,range_signed_std,range_mae,range_rmse,range_within_0_rate,range_within_1_rate,range_within_2_rate,range_within_3_rate,velocity_signed_mean,velocity_signed_median,velocity_signed_mode,velocity_signed_std,velocity_mae,velocity_rmse,velocity_within_0_rate,velocity_within_1_rate,velocity_within_2_rate,velocity_within_3_rate
beam_layer,1,H,71,-0.36619718309859156,0.0,-4.0,3.3744668295382665,3.1267605633802815,3.3942785331441763,0.028169014084507043,0.15492957746478872,0.30985915492957744,0.49295774647887325,0.04225352112676056,0.0,0.0,0.3913364504070368,0.15492957746478872,0.39361094683048226,0.8450704225352113,1.0,1.0,1.0
beam_layer,1,V,71,-0.2535211267605634,0.0,-4.0,3.3387115245135894,3.0140845070422535,3.348323103530154,0.028169014084507043,0.23943661971830985,0.36619718309859156,0.4788732394366197,0.07042253521126761,0.0,0.0,0.4220654665851182,0.18309859154929578,0.4279002121398116,0.8169014084507042,1.0,1.0,1.0
beam_layer,2,H,71,0.014084507042253521,1.0,-4.0,3.720869797399069,3.4788732394366195,3.7208964541539196,0.014084507042253521,0.14084507042253522,0.2112676056338028,0.323943661971831,0.1267605633802817,0.0,0.0,0.44181372229177807,0.2112676056338028,0.4596385597769217,0.7887323943661971,1.0,1.0,1.0
beam_layer,2,V,71,-0.18309859154929578,-1.0,-4.0,3.6744640661432926,3.4225352112676055,3.6790231404009455,0.04225352112676056,0.1267605633802817,0.2535211267605634,0.30985915492957744,0.11267605633802817,0.0,0.0,0.42951973752047634,0.19718309859154928,0.4440530357868858,0.8028169014084507,1.0,1.0,1.0
beam_layer,3,H,71,0.11267605633802817,1.0,-4.0,3.6715476100422535,3.380281690140845,3.67327615984408,0.056338028169014086,0.11267605633802817,0.28169014084507044,0.36619718309859156,0.08450704225352113,0.0,0.0,0.40233399597424496,0.16901408450704225,0.411113225896519,0.8309859154929577,1.0,1.0,1.0
beam_layer,3,V,71,-0.08450704225352113,0.0,-4.0,3.6221014788641472,3.323943661971831,3.62308715923041,0.04225352112676056,0.15492957746478872,0.2676056338028169,0.39436619718309857,0.08450704225352113,0.0,0.0,0.40233399597424496,0.16901408450704225,0.411113225896519,0.8309859154929577,1.0,1.0,1.0
beam_layer,4,H,68,0.07352941176470588,0.0,-4.0,3.3312962345123442,2.9558823529411766,3.3321076177804625,0.058823529411764705,0.20588235294117646,0.38235294117647056,0.5441176470588235,0.0,0.0,0.0,0.3429971702850177,0.11764705882352941,0.3429971702850177,0.8823529411764706,1.0,1.0,1.0
beam_layer,4,V,68,0.17647058823529413,1.0,-4.0,3.3995725357176214,3.0294117647058822,3.404149716760067,0.07352941176470588,0.20588235294117646,0.3235294117647059,0.5147058823529411,0.014705882352941176,0.0,0.0,0.36350609100906683,0.1323529411764706,0.36380343755449945,0.8676470588235294,1.0,1.0,1.0
beam_layer,5,H,37,0.972972972972973,2.0,4.0,2.7261148127403794,2.5945945945945947,2.89454286172763,0.05405405405405406,0.24324324324324326,0.43243243243243246,0.7027027027027027,0.10810810810810811,0.0,0.0,0.4522486629913922,0.21621621621621623,0.46499055497527714,0.7837837837837838,1.0,1.0,1.0
beam_layer,5,V,37,0.21621621621621623,1.0,-4.0,3.1634324083026013,2.918918918918919,3.17081283806756,0.0,0.1891891891891892,0.3783783783783784,0.5675675675675675,0.10810810810810811,0.0,0.0,0.4522486629913922,0.21621621621621623,0.46499055497527714,0.7837837837837838,1.0,1.0,1.0
