epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_auc
1,1.6790584325790405,1.567538470029831,0.001,0.99169921875,0.0,0.25,0.90625
2,1.5370312333106995,1.4050549194216728,0.001,0.955078125,0.0,0.25,0.921875
3,1.3823819160461426,1.2148980051279068,0.001,0.916015625,0.0,0.25,0.8828125
