global_epoch,stage,stage_epoch,learning_rate,train_total_loss,train_classification_loss,train_regression_loss,val_total_loss,val_classification_loss,val_regression_loss,val_threshold,val_joint_pd,val_pfa,val_seconds_per_map,stage_best
1,classification,1,0.001,0.0927514879690669,0.0927514879690669,0.05026391759072995,0.05519067617179138,0.05519067617179138,0.010699227397224585,0.07436570525169373,0.0,0.013333333333333334,0.00020872942856701494,True
2,classification,2,0.001,0.07204905276831912,0.07204905276831912,0.04678322065551326,0.05011934592512441,0.05011934592512441,0.010685988559658305,0.043691061437129974,0.0,0.013333333333333334,0.00023801975861841067,True
3,classification,3,0.001,0.07011548576329275,0.07011548576329275,0.05119849035561567,0.048277166823448216,0.048277166823448216,0.010666666579951207,0.03993731364607811,0.0,0.006666666666666667,0.0002483218768471766,True
4,classification,4,0.001,0.06918673209263629,0.06918673209263629,0.05237046930426857,0.046440260750906806,0.046440260750906806,0.010647271085402062,0.028652669861912727,0.0,0.013333333333333334,0.00031003232019375797,True
5,classification,5,0.001,0.06791339341721767,0.06791339341721767,0.05068918622809279,0.04526269149604102,0.04526269149604102,0.010627492087815195,0.024053553119301796,0.0,0.013333333333333334,0.00016393220688357176,True
6,classification,6,0.001,0.06689356685166732,0.06689356685166732,0.0500162907567307,0.04430187937661345,0.04430187937661345,0.0106191781757794,0.018689308315515518,0.018867924528301886,0.013333333333333334,0.00018347451230941176,True
7,classification,7,0.001,0.06731923245837425,0.06731923245837425,0.04934218730727296,0.04367445923131088,0.04367445923131088,0.010599996087145923,0.019870713353157043,0.018867924528301886,0.013333333333333334,0.00012397175369590832,True
8,classification,8,0.001,0.06676137459406634,0.06676137459406634,0.04955083227181692,0.04320407948764087,0.04320407948764087,0.010587380400725774,0.021206120029091835,0.03773584905660377,0.013333333333333334,0.000160095078817321,True
9,classification,9,0.001,0.0661043623045609,0.0661043623045609,0.04804642080778703,0.04248393873863032,0.04248393873863032,0.010576527932741372,0.019643761217594147,0.05660377358490566,0.013333333333333334,0.0002613976305394604,True
10,classification,10,0.001,0.06613784343646864,0.06613784343646864,0.0506746174913211,0.042025816631434586,0.042025816631434586,0.010568888334951964,0.021004365757107735,0.05660377358490566,0.013333333333333334,0.00014773934975972834,True
11,classification,11,0.0001,0.06617846868108868,0.06617846868108868,0.047688701925573326,0.04199912644959436,0.04199912644959436,0.010568658523078036,0.020371293649077415,0.05660377358490566,0.013333333333333334,0.00020574413793824736,True
12,classification,12,0.0001,0.06549542932457358,0.06549542932457358,0.05436200889535349,0.04199237292036047,0.04199237292036047,0.010567213844489581,0.02013874053955078,0.05660377358490566,0.013333333333333334,0.0003155746206964063,True
