epoch,learning_rate,train_loss,train_detection_loss,train_temperature_penalty,train_bias_penalty,val_loss,val_detection_loss,val_temperature_penalty,val_bias_penalty,val_threshold,val_joint_pd,val_pfa,val_roc_auc,val_temperature_mean,val_bias_mean
1,0.001,0.062094016931951046,0.062093768268823624,1.0124587816906505e-05,1.4767186712560942e-05,0.05754852248355746,0.05754759069532156,4.870304837822914e-05,4.4352837903716136e-05,0.07623141258955002,1.0,0.25,1.0,0.9930607825517654,0.006650209426879883
2,0.001,0.060709256678819656,0.060707478784024715,0.00011226987044210546,6.549178033310454e-05,0.05611393926665187,0.056110148318111897,0.0002666595974005759,0.00011243689004913904,0.07443353533744812,1.0,0.25,1.0,0.9838371202349663,0.010515689849853516
3,0.001,0.058982198126614094,0.05897583160549402,0.0004442287390702404,0.00019252112906542607,0.05419741850346327,0.054185612592846155,0.0008294889266835526,0.00035133998608216643,0.07189242541790009,1.0,0.25,1.0,0.9716704301536083,0.018659591674804688
