mode,raw_false_alarms_mean,raw_false_alarms_std,raw_false_alarms_sum,calibrated_false_alarms_mean,calibrated_false_alarms_std,calibrated_false_alarms_sum,false_alarm_reduction_mean,false_alarm_reduction_std,false_alarm_reduction_sum,false_alarm_reduction_rate_mean,false_alarm_reduction_rate_std,false_alarm_reduction_rate_sum,raw_test_pfa_mean,raw_test_pfa_std,raw_test_pfa_sum,calibrated_test_pfa_mean,calibrated_test_pfa_std,calibrated_test_pfa_sum,raw_test_pd_mean,raw_test_pd_std,raw_test_pd_sum,calibrated_test_pd_mean,calibrated_test_pd_std,calibrated_test_pd_sum,delta_pd_mean,delta_pd_std,delta_pd_sum,raw_test_auc_mean,raw_test_auc_std,raw_test_auc_sum,calibrated_test_auc_mean,calibrated_test_auc_std,calibrated_test_auc_sum,background_shift_mean_mean,background_shift_mean_std,background_shift_mean_sum,target_shift_mean_mean,target_shift_mean_std,target_shift_mean_sum
full,31.0,48.228622207149975,186.0,9.333333333333334,16.954841982945954,56.0,21.666666666666668,36.09801471918735,130.0,0.685813953488372,0.24633626935289493,1.371627906976744,0.20666666666666667,0.3215241480476665,1.24,0.06222222222222223,0.11303227988630637,0.37333333333333335,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.999309026244014,0.0013713900546845524,5.995854157464084,0.37666821614447715,0.2961451609200148,2.260009296866863,0.002846690282608586,0.005143913539993556,0.017080141695651516
no_scan_context,31.0,48.228622207149975,186.0,20.333333333333332,31.809851723431006,122.0,10.666666666666666,16.52472894381831,64.0,0.346046511627907,0.03683532999669458,0.692093023255814,0.20666666666666667,0.3215241480476665,1.24,0.13555555555555554,0.2120656781562067,0.8133333333333332,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.9918532874548052,0.013064784423091912,5.951119724728831,0.42786148976028454,0.23170505070123973,2.567168938561707,0.03554923975248164,0.028124006439258924,0.21329543851488986
no_background_classification,31.0,48.228622207149975,186.0,15.333333333333334,27.5293782470049,92.0,15.666666666666666,30.42148363684235,94.0,0.4846511627906977,0.3894020599650569,0.9693023255813954,0.20666666666666667,0.3215241480476665,1.24,0.10222222222222221,0.18352918831336598,0.6133333333333333,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.9973029688993593,0.004184292656844663,5.983817813396156,0.31104792183220104,0.22748748925507606,1.866287530993206,0.0041984791195312674,0.00366931783312385,0.025190874717187603
no_background_tail,31.0,48.228622207149975,186.0,19.333333333333332,30.487155765447632,116.0,11.666666666666666,18.11813088225898,70.0,0.3801162790697674,0.07087512155613995,0.7602325581395348,0.20666666666666667,0.3215241480476665,1.24,0.1288888888888889,0.2032477051029842,0.7733333333333333,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.9947666137299033,0.008801984188803277,5.96859968237942,0.28402606858903373,0.16649573318593888,1.7041564115342023,0.0032766957075222257,0.005192939676602624,0.019660174245133354
no_target_protection,31.0,48.228622207149975,186.0,8.333333333333334,14.665151436881471,50.0,22.666666666666668,36.914315199752345,136.0,0.7206976744186047,0.19700323810732182,1.4413953488372093,0.20666666666666667,0.3215241480476665,1.24,0.05555555555555555,0.09776767624587647,0.3333333333333333,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.9991121973080546,0.0012878357576626305,5.994673183848327,0.2666733426519485,0.3994924132257029,1.600040055911691,0.010260922141038561,0.006466285415926277,0.06156553284623137
no_target_keep,31.0,48.228622207149975,186.0,9.833333333333334,15.497311594811103,59.0,21.166666666666668,32.829356781190015,127.0,0.6846511627906977,0.03486200874687165,1.3693023255813954,0.20666666666666667,0.3215241480476665,1.24,0.06555555555555555,0.10331541063207401,0.3933333333333333,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.9980697100046978,0.004397362064270718,5.988418260028187,0.4532307199277164,0.4016079363518991,2.7193843195662986,0.005968141968686087,0.007339387089823532,0.03580885181211652
no_pairwise,31.0,48.228622207149975,186.0,11.833333333333334,21.747796823279977,71.0,19.166666666666668,33.790037979657065,115.0,0.6010465116279069,0.3237891284084447,1.2020930232558138,0.20666666666666667,0.3215241480476665,1.24,0.07888888888888888,0.14498531215519983,0.47333333333333333,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.999278833007299,0.0013598666859452014,5.995672998043794,0.3505326774450028,0.2920976129145754,2.103196064670017,0.0009721473703313338,0.0011921387067751435,0.005832884221988003
no_shift_selectivity,31.0,48.228622207149975,186.0,7.333333333333333,11.430952132988164,44.0,23.666666666666668,37.10345895825168,142.0,0.7604651162790698,0.055910768744982894,1.5209302325581395,0.20666666666666667,0.3215241480476665,1.24,0.04888888888888889,0.07620634755325442,0.29333333333333333,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.999342068483578,0.00132509381186782,5.996052410901468,0.3553012392381971,0.32607272444257673,2.1318074354291827,0.008703758071109723,0.004546958943863218,0.052222548426658334
no_shift_regularization,31.0,48.228622207149975,186.0,5.833333333333333,9.30412095077588,35.0,25.166666666666668,39.54954698434189,151.0,0.807906976744186,0.07367065999338916,1.615813953488372,0.20666666666666667,0.3215241480476665,1.24,0.03888888888888889,0.062027473005172536,0.23333333333333334,0.9059042896307048,0.07189103231944934,5.435425737784229,0.9059042896307048,0.07189103231944934,5.435425737784229,0.0,0.0,0.0,0.9911546098221652,0.014087827428711676,5.946927658932991,0.999342068483578,0.00132509381186782,5.996052410901468,1.554596279931529,0.6184564933947088,9.327577679589174,0.00783208066432341,0.010459759402210434,0.04699248398594046
