fold,mode,split,threshold,auc,partial_auc_fpr_0_05,partial_auc_fpr_0_10,tpr_at_1pct_fpr,tpr_at_5pct_fpr,background_exceedance_at_val_threshold,target_exceedance_at_val_threshold,val_background_q99,test_background_q99,test_to_val_background_median_ratio
1,power2,val,0.183837890625,1.0,1.0,1.0,1.0,1.0,0.02,1.0,,,
1,power2,test,0.183837890625,0.9444025157232705,0.801483631672311,0.8497186362131744,0.5094339622641509,0.7358490566037735,1.0,1.0,0.26501953124999855,0.9694970703125,10.64440734557596
1,ri4,val,0.7900390625,0.9877358490566037,0.941944847605225,0.9506785832505793,0.8867924528301887,0.8867924528301887,0.02,0.8867924528301887,,,
1,ri4,test,0.7900390625,0.8228930817610063,0.712949524270279,0.7298907646474677,0.4339622641509434,0.5094339622641509,0.14666666666666667,0.6226415094339622,0.7997509765624998,0.936533203125,3.2124053371799497
1,polar6,val,0.044342041015625,1.0,1.0,1.0,1.0,1.0,0.02,1.0,,,
1,polar6,test,0.044342041015625,0.8376729559748428,0.5871633607482664,0.5895398874544853,0.18867924528301888,0.20754716981132076,1.0,1.0,0.04817077636718743,0.897470703125,19.618853848762292
1,ri8,val,0.2137451171875,1.0,1.0,1.0,1.0,1.0,0.02,1.0,,,
1,ri8,test,0.2137451171875,0.8566666666666667,0.6290920819222706,0.6706388613042039,0.1509433962264151,0.4528301886792453,0.96,1.0,0.2357214355468746,0.917998046875,10.030384271671135
4,power2,val,0.140869140625,0.9998888888888889,0.9988603988603988,0.9994152046783625,1.0,1.0,0.02,1.0,,,
4,power2,test,0.140869140625,0.8849358974358975,0.8132807363576594,0.828272604588394,0.5961538461538461,0.7115384615384616,0.9866666666666667,1.0,0.1630322265624996,0.9334521484374999,17.448979591836736
4,ri4,val,0.66650390625,0.9925555555555555,0.9361823361823362,0.9608187134502923,0.7,0.9666666666666667,0.02,0.9,,,
4,ri4,test,0.66650390625,0.933974358974359,0.8270874424720578,0.8606612685560053,0.5192307692307693,0.8076923076923077,0.14666666666666667,0.8846153846153846,0.7491796874999985,0.9148095703124995,4.741871267418713
4,polar6,val,0.1951904296875,1.0,1.0,1.0,1.0,1.0,0.02,1.0,,,
4,polar6,test,0.1951904296875,0.7675,0.6035502958579881,0.6356275303643725,0.19230769230769232,0.36538461538461536,0.9733333333333334,1.0,0.19799194335937495,0.899443359375,25.808739708676377
4,ri8,val,0.291015625,1.0,1.0,1.0,1.0,1.0,0.02,1.0,,,
4,ri8,test,0.291015625,0.8702564102564102,0.6456278763971072,0.7007422402159245,0.1346153846153846,0.4807692307692308,0.9533333333333334,1.0,0.3129296874999996,0.94291015625,4.769657724329325
