fold,mode,split,source_file,class_label,count,score_mean,score_q50,score_q95,score_max,fraction_above_threshold
1,power2,val,20260202_144425,target,5,0.89248046875,0.96240234375,0.97177734375,0.97314453125,1.0
1,power2,val,20260202_144433,target,5,0.961328125,0.958984375,0.97177734375,0.9736328125,1.0
1,power2,val,20260202_144458,target,5,0.973046875,0.974609375,0.97900390625,0.97998046875,1.0
1,power2,val,20260202_144506,target,5,0.95537109375,0.9853515625,0.99267578125,0.994140625,1.0
1,power2,val,20260202_144515,target,5,0.971875,0.9853515625,0.98857421875,0.98876953125,1.0
1,power2,val,20260202_144523,target,5,0.9572265625,0.95458984375,0.9732421875,0.974609375,1.0
1,power2,val,20260202_144539,target,4,0.9451904296875,0.97265625,0.982177734375,0.98291015625,1.0
1,power2,val,20260202_144548,target,4,0.951904296875,0.982666015625,0.9871337890625,0.98779296875,1.0
1,power2,val,20260202_144556,target,3,0.9588216145833334,0.96142578125,0.978125,0.97998046875,1.0
1,power2,val,20260202_144604,target,4,0.9779052734375,0.98583984375,0.9872314453125,0.9873046875,1.0
1,power2,val,20260202_144613,target,4,0.93359375,0.9501953125,0.968603515625,0.9716796875,1.0
1,power2,val,20260202_144629,target,4,0.92333984375,0.94287109375,0.9502197265625,0.951171875,1.0
1,power2,val,20260204_100802,background,150,0.0798089599609375,0.0731201171875,0.13958129882812492,0.439453125,0.02
1,power2,test,20260202_144238,target,4,0.9547119140625,0.9619140625,0.974169921875,0.974609375,1.0
1,power2,test,20260202_144246,target,5,0.88056640625,0.9111328125,0.9552734375,0.9560546875,1.0
1,power2,test,20260202_144254,target,4,0.9727783203125,0.9775390625,0.9841552734375,0.984375,1.0
1,power2,test,20260202_144302,target,5,0.97216796875,0.98046875,0.9814453125,0.9814453125,1.0
1,power2,test,20260202_144311,target,5,0.9544921875,0.96728515625,0.98203125,0.9833984375,1.0
1,power2,test,20260202_144319,target,5,0.9748046875,0.9736328125,0.9849609375,0.98681640625,1.0
1,power2,test,20260202_144327,target,5,0.95029296875,0.9453125,0.96826171875,0.96875,1.0
1,power2,test,20260202_144335,target,5,0.97431640625,0.9765625,0.987109375,0.98828125,1.0
1,power2,test,20260202_144344,target,5,0.987890625,0.9921875,0.9935546875,0.99365234375,1.0
1,power2,test,20260202_144352,target,5,0.95302734375,0.97705078125,0.9904296875,0.99072265625,1.0
1,power2,test,20260202_144417,target,5,0.94462890625,0.97802734375,0.984375,0.98486328125,1.0
1,power2,test,20260204_100739,background,150,0.7351847330729167,0.7783203125,0.9522460937499999,0.97021484375,1.0
1,ri4,val,20260202_144425,target,5,0.93017578125,0.9267578125,0.94326171875,0.94677734375,1.0
1,ri4,val,20260202_144433,target,5,0.9359375,0.9521484375,0.971484375,0.97412109375,1.0
1,ri4,val,20260202_144458,target,5,0.9640625,0.9638671875,0.9779296875,0.97998046875,1.0
1,ri4,val,20260202_144506,target,5,0.645947265625,0.66845703125,0.8316406249999999,0.8720703125,0.2
1,ri4,val,20260202_144515,target,5,0.91015625,0.92724609375,0.95146484375,0.95654296875,1.0
1,ri4,val,20260202_144523,target,5,0.9125,0.91162109375,0.96982421875,0.9716796875,1.0
1,ri4,val,20260202_144539,target,4,0.83203125,0.9560546875,0.9836669921875,0.98388671875,0.75
1,ri4,val,20260202_144548,target,4,0.919921875,0.9365234375,0.97412109375,0.97412109375,1.0
