fold,mode,split,class_label,count,threshold,fraction_above_threshold,min,q01,q05,q25,q50,q75,q95,q99,max,mean,std
1,power2,val,background,150,0.183837890625,0.02,0.03228759765625,0.03458587646484375,0.039251708984375,0.0587158203125,0.0731201171875,0.085052490234375,0.13958129882812492,0.26501953124999855,0.439453125,0.0798089599609375,0.045376977601963735
1,power2,val,target,53,0.183837890625,1.0,0.6728515625,0.76349609375,0.8537109375,0.94921875,0.96728515625,0.98193359375,0.98779296875,0.99134765625,0.994140625,0.9502045253537735,0.05403654542150353
1,power2,test,background,150,0.183837890625,1.0,0.2391357421875,0.2738134765625,0.41318359375,0.6319580078125,0.7783203125,0.8731689453125,0.9522460937499999,0.9694970703125,0.97021484375,0.7351847330729167,0.17249368947268234
1,power2,test,target,53,0.183837890625,1.0,0.75439453125,0.784609375,0.83173828125,0.9521484375,0.9716796875,0.982421875,0.99189453125,0.9933984375,0.99365234375,0.9560546875,0.0476804427034796
1,ri4,val,background,150,0.7900390625,0.02,0.0390625,0.0552978515625,0.0616668701171875,0.10931396484375,0.16925048828125,0.2769775390625,0.6947021484374997,0.7997509765624998,0.8193359375,0.24409525553385417,0.19621068226954644
1,ri4,val,target,53,0.7900390625,0.8867924528301887,0.405029296875,0.41912109375,0.6318359375,0.88720703125,0.92919921875,0.9619140625,0.9830078125,0.98796875,0.98974609375,0.8886580557193396,0.12652629896230372
1,ri4,test,background,150,0.7900390625,0.14666666666666667,0.058441162109375,0.0768096923828125,0.171142578125,0.3531494140625,0.543701171875,0.700927734375,0.891162109375,0.936533203125,0.9521484375,0.5270664469401042,0.2263673879974336
1,ri4,test,target,53,0.7900390625,0.6226415094339622,0.26513671875,0.278720703125,0.40126953125000003,0.6259765625,0.89697265625,0.955078125,0.98310546875,0.98896484375,0.990234375,0.7995697597287735,0.20063190748023238
1,polar6,val,background,150,0.044342041015625,0.02,0.01495361328125,0.015186614990234375,0.0158660888671875,0.01927947998046875,0.02249908447265625,0.0271148681640625,0.04036254882812497,0.04817077636718743,0.0872802734375,0.02474156697591146,0.008836348106447511
1,polar6,val,target,53,0.044342041015625,1.0,0.451904296875,0.466123046875,0.598046875,0.83203125,0.89306640625,0.91943359375,0.9384765625,0.94400390625,0.9462890625,0.8486512382075472,0.11133587129653943
