fold,mode,experiment_name,best_epoch,base_threshold,raw_false_alarms,calibrated_false_alarms,false_alarm_reduction,false_alarm_reduction_rate,raw_test_pfa,calibrated_test_pfa,raw_test_pd,calibrated_test_pd,delta_pd,raw_test_auc,calibrated_test_auc,background_shift_mean,target_shift_mean,pd_floor_satisfied
3,no_background_classification,bc_dpg_v3_ablation_no_background_classification_v4_fold03_seed42,28,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,0.1541762537930322,0.0103985236049853,True
3,no_background_tail,bc_dpg_v3_ablation_no_background_tail_v4_fold03_seed42,30,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,0.2527263471613759,0.0037324204763885,True
3,no_target_protection,bc_dpg_v3_ablation_no_target_protection_v4_fold03_seed42,29,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,0.0141512119332733,0.0068974089002809,True
3,no_target_keep,bc_dpg_v3_ablation_no_target_keep_v4_fold03_seed42,30,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,0.2385348786478457,0.0026277269585429,True
3,no_pairwise,bc_dpg_v3_ablation_no_pairwise_v4_fold03_seed42,30,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,0.2211337399223576,0.0003887107236201,True
3,no_shift_selectivity,bc_dpg_v3_ablation_no_shift_selectivity_v4_fold03_seed42,30,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,0.1001842525018298,0.0021012149939521,True
3,no_shift_regularization,bc_dpg_v3_ablation_no_shift_regularization_v4_fold03_seed42,30,0.8466796875,0.0,0.0,0.0,,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0,1.0,1.0,1.4259581203046052,0.0043203799895519,True
4,full,bc_dpg_v3_ablation_full_v4_fold04_seed42,30,0.254150390625,100.0,14.0,86.0,0.86,0.6666666666666666,0.0933333333333333,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9965384615384616,0.8055681550006072,6.078816918139077e-05,True
4,no_scan_context,bc_dpg_v3_ablation_no_scan_context_v4_fold04_seed42,26,0.254150390625,100.0,68.0,32.0,0.32,0.6666666666666666,0.4533333333333333,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9683333333333334,0.5021986734618743,0.0881313052713477,True
4,no_background_classification,bc_dpg_v3_ablation_no_background_classification_v4_fold04_seed42,24,0.254150390625,100.0,24.0,76.0,0.76,0.6666666666666666,0.16,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.994102564102564,0.7458710536360741,0.0003016238521153,True
4,no_background_tail,bc_dpg_v3_ablation_no_background_tail_v4_fold04_seed42,22,0.254150390625,100.0,67.0,33.0,0.33,0.6666666666666666,0.4466666666666666,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9787179487179488,0.4427189998328685,0.0003603945221514,True
4,no_target_protection,bc_dpg_v3_ablation_no_target_protection_v4_fold04_seed42,30,0.254150390625,100.0,14.0,86.0,0.86,0.6666666666666666,0.0933333333333333,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9966666666666668,0.8652319753418366,0.0089970415350622,True
4,no_target_keep,bc_dpg_v3_ablation_no_target_keep_v4_fold04_seed42,22,0.254150390625,100.0,34.0,66.0,0.66,0.6666666666666666,0.2266666666666666,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.989102564102564,1.1362311466534931,0.0172282918577436,True
4,no_pairwise,bc_dpg_v3_ablation_no_pairwise_v4_fold04_seed42,30,0.254150390625,100.0,17.0,83.0,0.83,0.6666666666666666,0.1133333333333333,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9965384615384616,0.7822073114911715,6.728618742412297e-05,True
4,no_shift_selectivity,bc_dpg_v3_ablation_no_shift_selectivity_v4_fold04_seed42,30,0.254150390625,100.0,20.0,80.0,0.8,0.6666666666666666,0.1333333333333333,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9966666666666668,0.7865985967715581,0.0087716762433186,True
4,no_shift_regularization,bc_dpg_v3_ablation_no_shift_regularization_v4_fold04_seed42,30,0.254150390625,100.0,14.0,86.0,0.86,0.6666666666666666,0.0933333333333333,0.903846153846154,0.903846153846154,0.0,0.966153846153846,0.9966666666666668,2.051610236167908,9.392813843498097e-05,True
5,full,bc_dpg_v3_ablation_full_v4_fold05_seed42,29,0.361328125,0.0,0.0,0.0,,0.0,0.0,0.95,0.95,0.0,0.9997777777777778,1.0,0.1247394233445326,0.001022944394693,True
5,no_scan_context,bc_dpg_v3_ablation_no_scan_context_v4_fold05_seed42,14,0.361328125,0.0,0.0,0.0,,0.0,0.0,0.95,0.95,0.0,0.9997777777777778,0.9997777777777778,0.3731006890535354,0.0462283104444698,True
5,no_background_classification,bc_dpg_v3_ablation_no_background_classification_v4_fold05_seed42,10,0.361328125,0.0,0.0,0.0,,0.0,0.0,0.95,0.95,0.0,0.9997777777777778,0.9998888888888888,0.1455661393205324,0.0059705437209534,True
5,no_background_tail,bc_dpg_v3_ablation_no_background_tail_v4_fold05_seed42,29,0.361328125,0.0,0.0,0.0,,0.0,0.0,0.95,0.95,0.0,0.9997777777777778,1.0,0.1523597410321235,0.0017106847841205,True
