mode,模块角色,解释,raw_false_alarms_sum,calibrated_false_alarms_sum,false_alarm_reduction_sum,raw_test_pfa_mean,calibrated_test_pfa_mean,raw_test_pd_mean,calibrated_test_pd_mean,delta_pd_mean,raw_test_auc_mean,calibrated_test_auc_mean,background_shift_mean_mean,target_shift_mean_mean
full,最终完整模型,当前冻结模型；扫描上下文离线增强,186.0,56.0,130.0,0.2066666666666666,0.0622222222222222,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.999309026244014,0.3766682161444771,0.0028466902826085
no_scan_context,结构消融,移除12维扫描组统计；对应样本独立校准器,186.0,122.0,64.0,0.2066666666666666,0.1355555555555555,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.9918532874548052,0.4278614897602845,0.0355492397524816
no_background_classification,损失消融,检验背景概率语义监督,186.0,92.0,94.0,0.2066666666666666,0.1022222222222222,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.9973029688993592,0.311047921832201,0.0041984791195312
no_background_tail,损失消融,检验高分背景尾部抑制,186.0,116.0,70.0,0.2066666666666666,0.1288888888888889,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.9947666137299032,0.2840260685890337,0.0032766957075222
no_target_protection,安全约束消融,同时移除目标保护组合约束,186.0,50.0,136.0,0.2066666666666666,0.0555555555555555,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.9991121973080546,0.2666733426519485,0.0102609221410385
no_target_keep,安全约束消融,检验目标分数保持约束,186.0,59.0,127.0,0.2066666666666666,0.0655555555555555,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.9980697100046978,0.4532307199277164,0.005968141968686
no_pairwise,排序约束消融,检验目标与困难背景的相对排序,186.0,71.0,115.0,0.2066666666666666,0.0788888888888888,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.999278833007299,0.3505326774450028,0.0009721473703313
no_shift_selectivity,安全约束消融,检验抑制量的目标/背景选择性,186.0,44.0,142.0,0.2066666666666666,0.0488888888888888,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.999342068483578,0.3553012392381971,0.0087037580711097
no_shift_regularization,强度约束消融,抑制更激进；因目标shift风险不替代v3,186.0,35.0,151.0,0.2066666666666666,0.0388888888888888,0.9059042896307048,0.9059042896307048,0.0,0.9911546098221652,0.999342068483578,1.554596279931529,0.0078320806643234
