fold,mode,best_epoch,validation_threshold,val_pfa,val_score_recall,val_joint_pd,val_auc,test_false_alarms,test_pfa,test_score_recall,test_joint_pd,test_auc,range_mae_all_gates,velocity_mae_all_bins,range_mae_detected_gates,velocity_mae_detected_bins
1,polar6_gated,69,0.5419921875,0.013333333333333334,1.0,0.7547169811320755,0.9987421383647799,66,0.44,1.0,0.7358490566037735,0.920503144654088,3.452830188679245,3.8867924528301887,3.452830188679245,3.8867924528301887
1,power2,66,0.183837890625,0.013333333333333334,1.0,0.9245283018867925,1.0,150,1.0,1.0,0.9811320754716981,0.9444025157232704,1.0754716981132075,0.8867924528301887,1.0754716981132075,0.8867924528301887
1,ri4,62,0.7900390625,0.013333333333333334,0.8867924528301887,0.8113207547169812,0.9877358490566037,22,0.14666666666666667,0.6226415094339622,0.5849056603773585,0.8228930817610063,4.150943396226415,3.188679245283019,1.2121212121212122,1.1515151515151516
1,ri8_gated,32,0.5859375,0.013333333333333334,0.8490566037735849,0.7169811320754716,0.9928301886792453,49,0.32666666666666666,0.8679245283018868,0.6981132075471698,0.8883018867924528,4.981132075471698,4.169811320754717,3.1739130434782608,2.347826086956522
4,polar6_gated,47,0.67333984375,0.013333333333333334,0.8833333333333333,0.8333333333333334,0.9941111111111111,58,0.38666666666666666,0.75,0.6346153846153846,0.7733974358974359,7.0576923076923075,8.615384615384615,5.3076923076923075,6.282051282051282
4,power2,64,0.140869140625,0.013333333333333334,1.0,0.9166666666666666,0.9998888888888889,148,0.9866666666666667,1.0,0.7884615384615384,0.8849358974358974,4.230769230769231,3.8653846153846154,4.230769230769231,3.8653846153846154
4,ri4,56,0.66650390625,0.013333333333333334,0.9,0.8,0.9925555555555555,22,0.14666666666666667,0.8846153846153846,0.7115384615384616,0.933974358974359,4.615384615384615,5.25,3.1739130434782608,3.891304347826087
4,ri8_gated,33,0.59814453125,0.013333333333333334,0.9333333333333333,0.85,0.9967777777777778,54,0.36,0.8653846153846154,0.75,0.8494871794871794,5.615384615384615,5.365384615384615,3.066666666666667,2.6222222222222222
