mode,false_alarms,mean_pfa,mean_score_recall,mean_joint_pd,mean_auc,mean_range_mae,mean_velocity_mae
polar6_gated,124,0.41333333333333333,0.875,0.6852322206095791,0.846950290275762,5.255261248185777,6.251088534107402
power2,298,0.9933333333333334,1.0,0.8847968069666183,0.9146692065795838,2.653120464441219,2.376088534107402
ri4,44,0.14666666666666667,0.7536284470246735,0.64822206095791,0.8784337203676826,4.383164005805515,4.21933962264151
ri8_gated,103,0.3433333333333333,0.8666545718432511,0.7240566037735849,0.8688945331398161,5.298258345428156,4.767597968069666
