cv_fold,refined_mean_range_error,refined_mean_velocity_error,refined_strict_hit_rate,refined_relaxed_hit_rate
1,1.7727272727272727,2.6818181818181817,0.9545454545454546,0.9545454545454546
2,1.2222222222222223,1.1746031746031746,0.9682539682539684,0.9682539682539684
3,0.3333333333333333,0.4285714285714285,0.9682539682539684,0.984126984126984
4,1.4444444444444444,2.063492063492064,0.9206349206349206,0.9365079365079364
5,4.666666666666667,3.6507936507936503,0.746031746031746,0.8571428571428571
