Stage,Mean Range Error,Mean Velocity Error,Strict Hit Rate,Relaxed Hit Rate
Dual FCN coarse,3.5251572327044025,2.1666666666666665,0.1918238993710692,0.9213836477987422
Dual FCN + Refiner,1.8867924528301887,2.006289308176101,0.9119496855345912,0.940251572327044
