Model,Range_MAE_gate,Velocity_MAE_bin,Strict_Hit_Rate,Relaxed_Hit_Rate,Description
CA-CFAR,3.1048689138576777,0.1797752808988764,11.635220125786159,83.9622641509434,Traditional baseline
Simple FCN,1.9111111111111112,1.5333333333333334,40.0,91.11111111111111,Single channel FCN baseline
Dual FCN,3.5251572327044025,2.1666666666666665,19.18238993710692,92.13836477987421,H/V dual-channel coarse detection
Dual FCN + Refiner,1.8867924528301887,2.006289308176101,91.19496855345912,94.0251572327044,Proposed two-stage localization
