model,display_name,folds,macro_pfa,median_pfa,pfa_q25,pfa_q75,worst_fold_pfa,worst_pfa_fold,macro_joint_pd,median_joint_pd,joint_pd_q25,joint_pd_q75,worst_fold_joint_pd,worst_joint_pd_fold,folds_with_false_alarms,top_two_fold_fa_fraction
bc_dpg_v3,BC-DPG-FCN v3 (offline),6,0.062222222222222213,0.0,0.0,0.06999999999999998,0.28,01,0.9059042896307048,0.9141872278664731,0.875,0.943632075471698,0.7916666666666666,06,2,1.0
roi_baseline,Power2 baseline,6,0.3333333333333333,0.00666666666666665,0.0,0.7433333333333334,1.0,01,0.8388848572810838,0.8551282051282051,0.798076923076923,0.8859276729559749,0.6666666666666666,06,3,0.9933333333333333
roi_power_control,ROI power control,6,0.26333333333333336,0.0,0.0,0.49,0.9266666666666666,04,0.8388848572810838,0.8551282051282051,0.798076923076923,0.8859276729559749,0.6666666666666666,06,2,1.0
roi_ri4,ROI RI4,6,0.21777777777777776,0.0,0.0,0.48,0.6666666666666666,01,0.8388848572810838,0.8551282051282051,0.798076923076923,0.8859276729559749,0.6666666666666666,06,2,1.0
