paired_outcome,bc_only,roi_ri4_only,discordant_pairs,two_sided_exact_mcnemar_p,direction,status
background false-alarm decision,20,160,180,2.6070512001217583e-28,BC-DPG has fewer background-only positive decisions,post-test paired diagnostic only; not a selection rule
target joint-success decision,26,5,31,0.00019219517707824707,BC-DPG has more target-only joint successes,post-test paired diagnostic only; not a selection rule
