fold,split,class_label,confidence_lt_0_1_fraction,confidence_ge_0_5_fraction,zdr_saturation_fraction,ungated_phase_full_amplitude_fraction,gated_phase_amplitude_lt_0_1_fraction,gated_zdr_abs_mean_low_conf,ungated_zdr_abs_mean_low_conf,gated_rho_mean_low_conf,ungated_rho_mean_low_conf,confidence_mean,confidence_std,confidence_q01,confidence_q50,confidence_q99,confidence_min,confidence_max,zdr_scaled_mean,zdr_scaled_std,zdr_scaled_q01,zdr_scaled_q50,zdr_scaled_q99,zdr_scaled_min,zdr_scaled_max,rho_mean,rho_std,rho_q01,rho_q50,rho_q99,rho_min,rho_max,gated_zdr_mean,gated_zdr_std,gated_zdr_q01,gated_zdr_q50,gated_zdr_q99,gated_zdr_min,gated_zdr_max,gated_rho_mean,gated_rho_std,gated_rho_q01,gated_rho_q50,gated_rho_q99,gated_rho_min,gated_rho_max,gated_phase_amplitude_mean,gated_phase_amplitude_std,gated_phase_amplitude_q01,gated_phase_amplitude_q50,gated_phase_amplitude_q99,gated_phase_amplitude_min,gated_phase_amplitude_max
1,test,background,0.9537548828125,0.023564453125,0.0002001953125,1.0,0.959521484375,0.0004936184359394247,0.09253485547378659,0.0017229509321623482,0.3343898840248585,0.030101455585648737,0.13634681887990008,0.0,9.569941908371682e-09,0.9999746853113174,0.0,1.0,-0.0006074205241166715,0.13121221615730963,-0.3427730044350028,-0.0001175425059045665,0.31252699542790663,-0.7548735365271568,0.6441307254135609,0.3584958486218977,0.2059526039776648,0.03933639539871365,0.3266820991411805,0.9997910372540355,0.00310433821141487,0.9999999217689037,-0.001086179897936152,0.03880206741853409,-0.10202337211580013,0.0,0.09106146402598839,-0.5132241281680763,0.3154099239036441,0.025248826363263668,0.13013510019531507,0.0,3.283857755815786e-09,0.9535949452966455,0.0,0.9999998472630978,0.025248826348584722,0.13013510005757034,0.0,3.2838577376011896e-09,0.953594960048795,0.0,0.9999998584389687
1,test,target,0.9418798828125,0.0251025390625,0.000224609375,1.0,0.950771484375,0.0007819279926479794,0.09593892702832818,0.002394935116171837,0.34370560199022293,0.03371983551047698,0.1421156758693546,0.0,9.610782528320094e-09,0.9999838427081704,0.0,1.0,-0.014846410206981643,0.14672025332838792,-0.561359986718744,-0.0030789104521318222,0.2877520047686995,-0.8354439102113247,0.5259750764816999,0.37417737575501137,0.2175364505610637,0.04057470490923151,0.33690826687961817,0.9999361608177424,0.0023088241014193045,0.9999999403953552,-0.005121883418572252,0.04315128806230186,-0.22103466634871435,0.0,0.023038245628995386,-0.6271872371435165,0.2003018835093826,0.02869001694473521,0.13420099416818618,0.0,2.6812291494026155e-09,0.9232220226153734,0.0,0.9999999403953552,0.028690016897209306,0.13420099379872,0.0,2.6812291632804033e-09,0.9232220410555605,0.0,0.9999999366700649
1,train,background,0.7068896484375,0.0571875,0.0,1.0,0.7258837890625,0.0014208916363713797,0.0920442477799952,0.009025868959724903,0.6356244720518589,0.10878276035146739,0.19475386743346726,0.0,7.74955666719198e-08,0.9999871435016394,0.0,1.0,0.005037552964997457,0.17378872337870313,-0.4402894381061196,0.0014741622835572343,0.44439562382176534,-0.6838698163628578,0.6547565162181854,0.7160189485151889,0.28223427493731845,0.08547316098352895,0.7994283847510815,0.9999546516314148,0.006655387176579097,0.9999928660690784,0.00307219899031763,0.055764571628213216,-0.146171696241945,0.0,0.18511460628011278,-0.41410494316369295,0.43052098946645856,0.09882553570440084,0.1821992517869768,0.0,6.05998667349214e-08,0.9113869129866364,0.0,0.9990669563412666,0.0988255357289828,0.18219925184727448,0.0,6.059986673839085e-08,0.9113869092985991,0.0,0.9990669786930084
1,train,target,0.941552734375,0.0255908203125,4.8828125e-06,1.0,0.94826171875,0.0005867851887160214,0.09271030453965068,0.0019372218812350184,0.34019882418215275,0.03316456556861439,0.14211130098766447,0.0,9.77929615129762e-09,0.9999776025488973,0.0,1.0,0.0004215732290435879,0.12817423571034586,-0.35200016673654316,0.00299280164404081,0.3083287819474937,-0.6844930462539196,0.6339575815945864,0.37156175901214455,0.21696662051974955,0.04060163607588038,0.3344880063086748,0.999943694025278,0.002570820855908096,0.9999999441206455,0.00034739196132721185,0.024465084523190805,-0.05317332353297388,0.0,0.06142248933552774,-0.2891265098005533,0.35617150738835335,0.028342756943596593,0.13412109410299983,0.0,1.6987798524652209e-09,0.932526767402888,0.0,0.9999999441206455,0.028342756886715146,0.13412109365599736,0.0,1.6987798935564832e-09,0.9325267599150545,0.0,0.9999999403953552
1,val,background,0.7443310546874999,0.065263671875,0.0139306640625,1.0,0.76525390625,0.0016943018345045857,0.11970201088115573,0.006481364893261343,0.5897099673748016,0.10716965849271624,0.20599513254847623,0.0,2.1596750855550073e-08,0.9999740030243993,0.0,1.0,-0.09272141036579754,0.1939585434566047,-0.6582780204340816,-0.039903474475067924,0.2608506584074349,-0.8467616327106953,0.49918439611792564,0.6625620140141052,0.30378521235883393,0.07315402392763645,0.6705051530152559,0.9999947215244174,0.005212002550251782,0.9999990426003933,-0.019134372121225377,0.07180517736307222,-0.3507829791365657,0.0,0.03248021201987289,-0.6435977974906564,0.17125684162601829,0.09530302720548886,0.19078893381781342,0.0,1.3084645642154336e-08,0.9139216901734476,0.0,0.9983078129589558,0.09530302719451075,0.19078893375857503,0.0,1.3084645472585116e-08,0.9139216865226631,0.0,0.9983078092336655
1,val,target,0.946728515625,0.024384765625,8.30078125e-05,1.0,0.9533837890625,0.0006278819964791182,0.09427403099834919,0.0020971365374862216,0.3411051146686077,0.031873906553862005,0.14055656124466193,0.0,6.500324404180163e-09,0.9999882388487459,0.0,1.0,-0.0038830296028503153,0.1287062502664115,-0.36828291283920406,7.309435113711515e-05,0.2909990718960763,-0.7174840904772282,0.5782449301332235,0.3703894629497955,0.21593663237039745,0.04102557370439172,0.33377298153936863,0.9999160785228014,0.00334623711387394,0.9999999441206455,-0.0020317689800922853,0.0242346968098478,-0.07122658885433338,0.0,0.023307979171513598,-0.387727172113955,0.16538181493524462,0.027605223247040657,0.13474277640890142,0.0,2.0217329020763217e-09,0.9383821296691899,0.0,0.999999925494194,0.02760522319175483,0.13474277603510662,0.0,2.021732874320746e-09,0.9383821333944802,0.0,0.999999925494194
4,test,background,0.950986328125,0.0237646484375,0.0001513671875,1.0,0.9582080078125,0.0005413063736341428,0.09233178803697228,0.001900927149108611,0.3371245823800564,0.03104386237567952,0.1363673052144322,0.0,1.009216829897519e-08,0.9999770493432879,0.0,1.0,-0.0008700257803483617,0.13014534496988825,-0.3281861987709999,-0.001356982676043117,0.3141776818409563,-0.6960584055632353,0.6801985055208206,0.36181444377129723,0.20708366971485387,0.04086327803786844,0.3298964612185955,0.9998107466846704,0.003367948060258641,0.9999999180436134,-0.0002669263858461022,0.033680434304385255,-0.09373131770931649,0.0,0.10356878813909141,-0.3607854354195297,0.3141218415694311,0.025753713907081633,0.12996551428688258,0.0,1.8544573706508194e-09,0.9499459142237905,0.0,0.9999997690320015,0.02575371389263725,0.12996551413749466,0.0,1.8544573715181811e-09,0.9499459069222215,0.0,0.9999997764825821
4,test,target,0.9427197265625,0.024545898437499998,4.8828125e-06,1.0,0.950029296875,0.0006151177149149589,0.09354602638632059,0.002185760466090869,0.341395927593112,0.03256276864355342,0.14027704850942863,0.0,5.713349474079088e-09,0.9999820503219962,0.0,1.0,-0.0033812140789445176,0.123274632790591,-0.32783558808267116,-0.001049564731118835,0.2873372669890524,-0.6833327151834965,0.49107675440609455,0.3719415886107299,0.2167840372987428,0.041006197400856766,0.33498507365584373,0.9999450701102615,0.003163144167046994,0.9999999478459358,-0.0008025290416903814,0.01769274217078886,-0.06393747865222393,0.0,0.029870162816368985,-0.29389167157933116,0.1749339741654694,0.027680859718152335,0.1330398919616176,0.0,2.2051303491532614e-09,0.938966439925135,0.0,0.9999999478459358,0.02768085968286836,0.13303989170764602,0.0,2.205130320530324e-09,0.9389664361998447,0.0,0.9999999515712261
4,train,background,0.9537548828125,0.023564453125,0.0002001953125,1.0,0.959521484375,0.0004936184359394247,0.09253485547378659,0.0017229509321623482,0.3343898840248585,0.030101455585648737,0.13634681887990008,0.0,9.569941908371682e-09,0.9999746853113174,0.0,1.0,-0.0006074205241166715,0.13121221615730963,-0.3427730044350028,-0.0001175425059045665,0.31252699542790663,-0.7548735365271568,0.6441307254135609,0.3584958486218977,0.2059526039776648,0.03933639539871365,0.3266820991411805,0.9997910372540355,0.00310433821141487,0.9999999217689037,-0.001086179897936152,0.03880206741853409,-0.10202337211580013,0.0,0.09106146402598839,-0.5132241281680763,0.3154099239036441,0.025248826363263668,0.13013510019531507,0.0,3.283857755815786e-09,0.9535949452966455,0.0,0.9999998472630978,0.025248826348584722,0.13013510005757034,0.0,3.2838577376011896e-09,0.953594960048795,0.0,0.9999998584389687
4,train,target,0.9418798828125,0.0251025390625,0.000224609375,1.0,0.950771484375,0.0007819279926479794,0.09593892702832818,0.002394935116171837,0.34370560199022293,0.03371983551047698,0.1421156758693546,0.0,9.610782528320094e-09,0.9999838427081704,0.0,1.0,-0.014846410206981643,0.14672025332838792,-0.561359986718744,-0.0030789104521318222,0.2877520047686995,-0.8354439102113247,0.5259750764816999,0.37417737575501137,0.2175364505610637,0.04057470490923151,0.33690826687961817,0.9999361608177424,0.0023088241014193045,0.9999999403953552,-0.005121883418572252,0.04315128806230186,-0.22103466634871435,0.0,0.023038245628995386,-0.6271872371435165,0.2003018835093826,0.02869001694473521,0.13420099416818618,0.0,2.6812291494026155e-09,0.9232220226153734,0.0,0.9999999403953552,0.028690016897209306,0.13420099379872,0.0,2.6812291632804033e-09,0.9232220410555605,0.0,0.9999999366700649
