fold,frozen_threshold,target_samples,score_detected,score_pd,localization_ok_regardless_score,localization_ok_rate,correct_detection,joint_pd,localization_ok_among_detected,range_gates_mae,range_gates_median,range_gates_p90,range_gates_p95,range_gates_p99,range_gates_max,velocity_bins_mae,velocity_bins_median,velocity_bins_p90,velocity_bins_p95,velocity_bins_p99,velocity_bins_max,detected_range_mae_gates,detected_velocity_mae_bins
1,0.337646484375,53,53,1.0,53,1.0,53,1.0,1.0,0.4528301886792453,0.0,1.0,1.0,1.4799999999999969,2.0,0.32075471698113206,0.0,1.0,1.0,1.0,1.0,0.4528301886792453,0.32075471698113206
2,0.393798828125,53,53,1.0,49,0.9245283018867925,49,0.9245283018867925,0.9245283018867925,1.1320754716981132,1.0,1.0,4.199999999999989,10.479999999999997,11.0,1.3584905660377358,0.0,1.0,9.59999999999998,18.479999999999997,19.0,1.1320754716981132,1.3584905660377358
3,0.8466796875,52,45,0.8653846153846154,48,0.9230769230769231,45,0.8653846153846154,1.0,1.0576923076923077,1.0,2.0,4.0,10.490000000000002,11.0,1.4230769230769231,0.0,1.8999999999999986,3.0,21.920000000000016,26.0,0.4444444444444444,0.4
4,0.254150390625,52,52,1.0,47,0.9038461538461539,47,0.9038461538461539,0.9038461538461539,2.673076923076923,1.0,2.0,14.799999999999898,34.920000000000016,39.0,1.9423076923076923,0.0,1.0,10.899999999999906,31.840000000000032,40.0,2.673076923076923,1.9423076923076923
5,0.361328125,60,59,0.9833333333333333,57,0.95,57,0.95,0.9661016949152542,1.0333333333333334,1.0,2.0,2.049999999999997,7.279999999999973,12.0,0.7333333333333333,0.0,1.0,1.0,11.659999999999911,27.0,0.847457627118644,0.288135593220339
6,0.89697265625,48,40,0.8333333333333334,43,0.8958333333333334,38,0.7916666666666666,0.95,2.3125,1.0,2.3000000000000043,3.0,35.650000000000006,38.0,1.2291666666666667,0.0,1.0,2.6499999999999986,17.890000000000015,24.0,1.65,0.675
