global_epoch,stage,stage_epoch,learning_rate,train_total_loss,train_classification_loss,train_regression_loss,val_total_loss,val_classification_loss,val_regression_loss,val_threshold,val_joint_pd,val_pfa,val_seconds_per_map,stage_best
1,classification,1,0.001,0.13625373528652757,0.13625373528652757,0.0501907402775037,0.4098271160877397,0.4098271160877397,0.010671629437378474,0.05520869046449661,0.0,0.013333333333333334,0.0001410503201968307,True
2,classification,2,0.001,0.10807016178604086,0.10807016178604086,0.046333074348795446,0.4057679211564839,0.4057679211564839,0.010613191157138994,0.029986508190631866,0.018867924528301886,0.006666666666666667,9.030624630556165e-05,True
3,classification,3,0.001,0.10028019406885472,0.10028019406885472,0.05026487654672479,0.283809020014232,0.283809020014232,0.010564887648439172,0.09138210117816925,0.018867924528301886,0.013333333333333334,0.00011469009359587675,True
4,classification,4,0.001,0.0978417372245673,0.0978417372245673,0.05086479271759563,0.3434527137596619,0.3434527137596619,0.010534582723831308,0.04742587357759476,0.03773584905660377,0.013333333333333334,9.418524137929345e-05,False
5,classification,5,0.001,0.09433837220916208,0.09433837220916208,0.0488682673224863,0.2834832844475807,0.2834832844475807,0.010519295472082833,0.07864238321781158,0.018867924528301886,0.013333333333333334,0.00010581564039421994,True
6,classification,6,0.001,0.0927665033791907,0.0927665033791907,0.04792685836874892,0.26300564364259466,0.26300564364259466,0.010512192316096404,0.08945459872484207,0.0,0.013333333333333334,9.291703940890742e-05,True
7,classification,7,0.001,0.08450316029256888,0.08450316029256888,0.04705984810131258,0.25507428845748525,0.25507428845748525,0.010455702344331835,0.09025323390960693,0.0,0.013333333333333334,0.00010545079802983005,True
8,classification,8,0.001,0.08141240220506879,0.08141240220506879,0.047104638441392996,0.2241949356835464,0.2241949356835464,0.010375193480787605,0.11596072465181351,0.0,0.013333333333333334,9.283276847313214e-05,True
9,classification,9,0.001,0.07758168127096567,0.07758168127096567,0.04509321678520213,0.28197672331861673,0.28197672331861673,0.010268590793821026,0.0593191459774971,0.018867924528301886,0.013333333333333334,9.878432019675153e-05,False
10,classification,10,0.001,0.07039939706537601,0.07039939706537601,0.046892128071454015,0.20952899614578396,0.20952899614578396,0.01021786234135111,0.11066322773694992,0.03773584905660377,0.013333333333333334,0.0001107923990152387,True
11,classification,11,0.0001,0.06523852345516097,0.06523852345516097,0.04392518684508987,0.20050744734374173,0.20050744734374173,0.010210080943964972,0.1173696517944336,0.03773584905660377,0.006666666666666667,0.0001000079556649948,True
12,classification,12,0.0001,0.0661522377473164,0.0661522377473164,0.049703013603738695,0.20259300975376748,0.20259300975376748,0.010206612405078164,0.11338309943675995,0.018867924528301886,0.013333333333333334,0.00010041691625634583,False
13,classification,13,0.0001,0.06327547388015732,0.06327547388015732,0.046157554836286044,0.1834132891570406,0.1834132891570406,0.010202100564693582,0.13776430487632751,0.03773584905660377,0.013333333333333334,0.00010224966009807561,True
14,classification,14,0.0001,0.06522794409260917,0.06522794409260917,0.045411907447717906,0.1898853171047906,0.1898853171047906,0.01019837011771249,0.1276526302099228,0.03773584905660377,0.006666666666666667,0.00010242033990157257,False
15,classification,15,0.0001,0.06282907661120847,0.06282907661120847,0.043946750723126767,0.1820006167947365,0.1820006167947365,0.010195940310878707,0.13730095326900482,0.03773584905660377,0.013333333333333334,0.00010397479310324629,True
16,classification,16,0.0001,0.06405313168413877,0.06405313168413877,0.04577317481453849,0.18182378332015917,0.18182378332015917,0.01018940303199397,0.13706977665424347,0.018867924528301886,0.013333333333333334,0.0001311117733991541,True
17,classification,17,0.0001,0.06370397984499558,0.06370397984499558,0.0466645463015834,0.18701717301542536,0.18701717301542536,0.010185260931259306,0.12743529677391052,0.03773584905660377,0.013333333333333334,0.00014221971921224978,False
18,classification,18,0.0001,0.0615012723540842,0.0615012723540842,0.04487523575115075,0.17513282986110068,0.17513282986110068,0.010180893367881258,0.14463143050670624,0.05660377358490566,0.013333333333333334,0.00012012091625626404,True
