mode,model_source,context_role,causality,training_context_match,folds,background_samples,target_samples,false_alarms,pooled_pfa,macro_pfa,median_pfa,worst_fold_pfa,worst_pfa_fold,score_detections,pooled_score_pd,correct_detections,pooled_joint_pd,macro_joint_pd,worst_fold_joint_pd,worst_joint_pd_fold,joint_precision,joint_f1,macro_roc_auc,background_shift_mean,target_shift_mean
raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,6,830,318,186,0.22409638554216868,0.20666666666666667,0.0,0.6666666666666666,04,302,0.949685534591195,289,0.9088050314465409,0.9059042896307048,0.7916666666666666,06,0.608421052631579,0.7288776796973518,0.9911546098221652,0.0,0.0
sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,6,830,318,122,0.14698795180722893,0.13555555555555554,0.0,0.4533333333333333,04,301,0.9465408805031447,289,0.9088050314465409,0.9059042896307048,0.7916666666666666,06,0.7031630170316302,0.7928669410150891,0.9918532874548052,0.44793753134793635,0.03597657573308243
full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,6,830,318,56,0.06746987951807229,0.06222222222222223,0.0,0.28,01,302,0.949685534591195,289,0.9088050314465409,0.9059042896307048,0.7916666666666666,06,0.8376811594202899,0.8717948717948718,0.999309026244014,0.38837067387908336,0.00265398988526527
full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,6,830,318,54,0.06506024096385542,0.06,0.0,0.26,01,302,0.949685534591195,289,0.9088050314465409,0.9059042896307048,0.7916666666666666,06,0.8425655976676385,0.8744326777609682,0.999309026244014,0.38852097620087933,0.0019254608983863123
full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,6,830,318,148,0.1783132530120482,0.16444444444444445,0.0,0.5933333333333334,04,301,0.9465408805031447,288,0.9056603773584906,0.9027596355426545,0.7916666666666666,06,0.6605504587155964,0.7639257294429708,0.9928487778969731,0.23257796841348152,0.2269122269398389
full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,6,830,318,138,0.16626506024096385,0.15333333333333332,0.0,0.5466666666666666,04,301,0.9465408805031447,288,0.9056603773584906,0.9027596355426545,0.7916666666666666,06,0.676056338028169,0.7741935483870968,0.9945581796063748,0.29773112358188775,0.2269122269398389
full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,6,830,318,105,0.12650602409638553,0.11666666666666665,0.0,0.38,04,301,0.9465408805031447,288,0.9056603773584906,0.9027596355426545,0.7916666666666666,06,0.732824427480916,0.810126582278481,0.9963127353231948,0.33478765992604825,0.2269122269398389
full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,6,830,318,93,0.11204819277108434,0.10333333333333333,0.0,0.3466666666666667,04,301,0.9465408805031447,288,0.9056603773584906,0.9027596355426545,0.7916666666666666,06,0.7559055118110236,0.8240343347639485,0.9968989310980697,0.34526859148887984,0.2269122269398389
