epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_zero_false_peak_rate,train_zero_false_peak_count,train_zero_eligible_count,train_fused_base_loss,train_notch_base_loss,train_ranking_loss,train_band_energy_loss,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_zero_false_peak_rate,val_zero_false_peak_count,val_zero_eligible_count,val_fused_base_loss,val_notch_base_loss,val_ranking_loss,val_band_energy_loss,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
1,0.0003,0.2095253514616113,3.6403508771929824,2.245614035087719,0.04424778761061947,10.0,226.0,0.1113141351624539,0.09634893688193538,0.0865152952702422,0.0006286530467325958,0.18859649122807018,0.9298245614035088,0.9298245614035088,0.19187163511912028,2.7777777777777777,2.022222222222222,0.0,0.0,45.0,0.12055227359135946,0.10082379827896754,0.051296535631020865,0.0002333084877026042,0.37777777777777777,0.9555555555555556,0.9555555555555556,True
2,0.0003,0.20426844687838303,3.6578947368421053,2.241228070175439,0.04424778761061947,10.0,226.0,0.11056069350033476,0.0937726820508639,0.08186122631294686,0.0005797526144050879,0.17982456140350878,0.9298245614035088,0.9298245614035088,0.18865314986970688,2.7777777777777777,2.022222222222222,0.0,0.0,45.0,0.11947379244698418,0.1008284040623241,0.04862511406342188,0.00020497662745542458,0.37777777777777777,0.9555555555555556,0.9555555555555556,True
3,0.0003,0.19601783208679735,3.662280701754386,2.0921052631578947,0.03982300884955752,9.0,226.0,0.1086880515019099,0.09980536003907521,0.07164172089675017,0.0004986033897949439,0.18421052631578946,0.9342105263157895,0.9342105263157895,0.1809244195620219,2.7333333333333334,2.022222222222222,0.0,0.0,45.0,0.11698867844210731,0.10247620559400983,0.04145869198772642,0.00017279772622684516,0.4222222222222222,0.9555555555555556,0.9555555555555556,True
4,0.0003,0.1779877015373163,3.6140350877192984,1.9035087719298245,0.035398230088495575,8.0,226.0,0.10569835192801659,0.10300323628542717,0.051661788567639234,0.00039298689440776097,0.17543859649122806,0.9385964912280702,0.9385964912280702,0.16830897331237793,2.7333333333333334,1.9555555555555555,0.0,0.0,45.0,0.10975263946586185,0.13816569281948937,0.021362074381775325,0.00011310508403252268,0.4444444444444444,0.9555555555555556,0.9555555555555556,True
5,0.0003,0.1638621188569487,3.3289473684210527,1.5087719298245614,0.022123893805309734,5.0,226.0,0.10185663624290835,0.11438235901949699,0.03455478995384877,0.00031294790592838987,0.17982456140350878,0.9517543859649122,0.9517543859649122,0.15577962001164755,2.7555555555555555,1.9333333333333333,0.0,0.0,45.0,0.10657520128620995,0.1228208108080758,0.015429281195004781,9.834116047421225e-05,0.4888888888888889,0.9555555555555556,0.9555555555555556,True
6,0.0003,0.15568482771254422,3.3903508771929824,1.5219298245614035,0.022123893805309734,5.0,226.0,0.10017841087098707,0.10942056513669197,0.02830291349898305,0.0002527598976165903,0.17543859649122806,0.9473684210526315,0.9473684210526315,0.15862376425001357,2.8,1.9333333333333333,0.0,0.0,45.0,0.10942784282896253,0.10669295026196374,0.021473480429914264,6.168511110795391e-05,0.4444444444444444,0.9555555555555556,0.9555555555555556,False
7,0.0003,0.15040252253151776,3.4166666666666665,1.5263157894736843,0.022123893805309734,5.0,226.0,0.0991477308827534,0.10788486414311226,0.02357296260041103,0.0002064050636223775,0.17105263157894737,0.9473684210526315,0.9473684210526315,0.15463190542327032,2.8222222222222224,1.9111111111111112,0.0,0.0,45.0,0.10568704174624549,0.11840047273370954,0.016772029631667667,4.731613366697474e-05,0.4444444444444444,0.9555555555555556,0.9555555555555556,False
8,0.0003,0.14752102238044404,2.9780701754385963,1.263157894736842,0.017699115044247787,4.0,226.0,0.0976713355957416,0.11177901583805419,0.020364964217470402,0.0001600595852999887,0.16666666666666666,0.956140350877193,0.956140350877193,0.15030289424790277,2.8222222222222224,1.9111111111111112,0.0,0.0,45.0,0.10535448789596558,0.10453324963649115,0.016977525254090627,4.2734629487561904e-05,0.4444444444444444,0.9555555555555556,0.9555555555555556,False
9,0.0003,0.14245408655781494,3.1578947368421053,1.355263157894737,0.01327433628318584,3.0,226.0,0.0969819157269963,0.10472967776290157,0.017540679035479564,0.00013814880535571654,0.15350877192982457,0.9605263157894737,0.9605263157894737,0.14878367847866483,2.8666666666666667,1.9333333333333333,0.0,0.0,45.0,0.10341051055325402,0.10693830317921109,0.016607038180033364,4.030909356475358e-05,0.4222222222222222,0.9555555555555556,0.9555555555555556,False
10,0.0003,0.14011978867806887,2.9780701754385963,1.0921052631578947,0.008849557522123894,2.0,226.0,0.09583717702250731,0.1067648135256349,0.015291782194062284,0.0001316056097646467,0.14473684210526316,0.9692982456140351,0.9692982456140351,0.1445968210697174,3.1555555555555554,2.311111111111111,0.0,0.0,45.0,0.10142190489504073,0.11045444458723068,0.01254125220908059,3.717237347134904e-05,0.3333333333333333,0.9333333333333333,0.9333333333333333,False
