epoch,learning_rate,train_loss,train_background_classification_loss,train_background_tail_loss,train_target_keep_loss,train_pairwise_loss,train_shift_selectivity_loss,train_shift_regularization,train_background_shift_mean,train_target_shift_mean,val_loss,val_background_classification_loss,val_background_tail_loss,val_target_keep_loss,val_pairwise_loss,val_shift_selectivity_loss,val_shift_regularization,val_background_shift_mean,val_target_shift_mean,selected_threshold,selected_pd,selected_pfa,selected_auc,base_pd,base_pfa,raw_base_pd,pd_floor_satisfied,background_shift_mean,target_shift_mean,background_probability_mean,target_probability_mean
1,0.0005,1.7676968873350447,1.5047730416300482,0.23673673385799412,0.0,0.031256722587579985,0.03987124866512265,2.8274884292757957e-05,0.005391773102538926,0.005069482427672797,2.305368905198838,2.297724473744337,0.000747037858798586,0.0,0.003245155799565057,0.01249670747465688,3.3446829995783296e-05,0.005675859786019537,0.0018876205712299921,0.33652183413505554,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.00600112979610761,0.005115603202215905,0.054946416293581324,0.050160223793871
2,0.0005,1.7137088769208388,1.4521790739660958,0.235707575480411,0.0,0.030933816716416346,0.03927070326159264,3.735070968203051e-05,0.006569321530888665,0.004736639304473152,2.2168785418415893,2.2093841808072745,0.0007396327157325933,0.0,0.0032391278027313684,0.012213427444984173,4.578599157692117e-05,0.007030886529114446,0.0015922169444229216,0.33620190620422363,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.007433880611012379,0.004331656424152963,0.06140741099913915,0.04686347226489265
3,0.0005,1.6549174303635754,1.3928452029703762,0.23691163543420982,0.0,0.030378433913394128,0.03816962016199155,5.251305592635451e-05,0.008234873757951183,0.003603491362942398,2.1240718141014647,2.11677446513634,0.0007295137262109465,0.0,0.0032311851167913727,0.01184283806185417,6.916722810865619e-05,0.008935105330838359,0.0012390301620193156,0.3357551693916321,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.009446833624194066,0.0033916801715023676,0.06896208415428798,0.04158448336540528
4,0.0005,1.5880863264885874,1.330593338231192,0.23248537475208067,0.0,0.03263646699086514,0.03696020930563664,8.359931519106307e-05,0.010626046684874357,0.0028737727163555328,2.026224012316888,2.019148441352721,0.0007149672566963534,0.0,0.003222632290694514,0.011431494369882668,0.00011575137780042506,0.011677371457292529,0.0010885539042575312,0.3351089060306549,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.012346418493737778,0.0030216471344794867,0.07801345939437548,0.039443524519227585
5,0.0005,1.5247272738227946,1.2648397526651058,0.2361484230709365,0.0,0.03006592473502188,0.03545112405825818,0.00014379230395996205,0.01402237371734853,0.0023021852952802195,1.9227428175692487,1.915956411529057,0.0006946561665370546,0.0,0.0032103146825517926,0.010898251838871997,0.00020212834739687408,0.015522501738787872,0.0009414232588313483,0.33420413732528687,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.01641210669030746,0.002636511856250746,0.08884429012735685,0.036082502946538746
6,0.0005,1.4479393753401353,1.1988020781879476,0.22606742888126732,0.0,0.03151221018199209,0.033533602641679525,0.0002552284204088543,0.0187960457347956,0.0019087286495335018,1.8210865486541699,1.8146824767546994,0.0006665443551951442,0.0,0.003193143846953444,0.010195964662899525,0.0003657706530413876,0.02095106611110894,0.0008175156177870305,0.3329419195652008,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.022149471963445345,0.0023042077137122178,0.10095364501078924,0.033439017480836726
7,0.0005,1.388576971231445,1.1332250451141934,0.23361122347113258,0.0,0.031052520714519482,0.031058093462631386,0.0004647353151311089,0.025341881885923786,0.0015604565791770655,1.7194102527803095,1.7134963784715518,0.0006291095552773312,0.0,0.0031704459284326715,0.00929798692318019,0.0006700123455536006,0.02839942225094499,0.000737493647849692,0.33120328187942505,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.030023743771016596,0.002090556505311913,0.11469860767324766,0.030770896635246726
8,0.0005,1.3109743366986915,1.067369341528962,0.22363338444753478,0.0,0.03039885758148692,0.02777927264952756,0.000872168141778689,0.03469629286514781,0.0013351844397129998,1.6154914375926768,1.6102402304927703,0.0005769016854281496,0.0,0.00313800602710893,0.00808701139365511,0.0012748542454672474,0.039208439183352616,0.000686131994666651,0.3286859393119812,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.04145101323723793,0.0019524978344188123,0.13063989261786144,0.027728391530097655
9,0.0005,1.2425597649057598,1.0008608862717518,0.2239767000922617,0.0,0.030235115754997956,0.023341848186124368,0.0016952550052502003,0.048428815199599434,0.0011459166208229396,1.5119358225555843,1.5075680622876866,0.0005039885786953818,0.0,0.0030934531700434944,0.006477576171236085,0.0025239404868295824,0.05517322441627239,0.0007444439568267814,0.32499146461486816,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.05832686002055804,0.002145971462596208,0.1487487440307935,0.026010312913161405
10,0.0005,1.170512876099332,0.934977351815874,0.22065199345269937,0.0,0.03014349119080045,0.01769293829638039,0.003352666179576733,0.0682153523048622,0.001070459921639714,1.4082245924165977,1.4049542233017571,0.0004097743354407437,0.0,0.003027651110306162,0.004484886899957516,0.005042549462455928,0.07802182230456121,0.0007817927298360858,0.3197384178638458,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.9433962264150944,True,0.08248233218987783,0.002248731285843225,0.1693103566765785,0.023498170218377742
