global_epoch,stage,stage_epoch,learning_rate,train_total_loss,train_classification_loss,train_regression_loss,val_total_loss,val_classification_loss,val_regression_loss,val_threshold,val_joint_pd,val_pfa,val_seconds_per_map,stage_best
1,classification,1,0.001,0.10929453666158763,0.10929453666158763,0.05020694271975129,0.07797192007743667,0.07797192007743667,0.010682527067626051,0.056861549615859985,0.0,0.013333333333333334,0.00027822208374551883,True
2,classification,2,0.001,0.08258419019995995,0.08258419019995995,0.04653202645942529,0.07001673896324459,0.07001673896324459,0.010640044517705005,0.032344330102205276,0.0,0.006666666666666667,0.0001535467980350319,True
3,classification,3,0.001,0.07767586771529318,0.07767586771529318,0.05069432403601083,0.0628566136354296,0.0628566136354296,0.010605741347291787,0.04742587357759476,0.03773584905660377,0.013333333333333334,0.00032248257635558557,True
4,classification,4,0.001,0.07622269543033404,0.07622269543033404,0.05153114285390332,0.06164210748496314,0.06164210748496314,0.010567569820751698,0.03371654078364372,0.03773584905660377,0.013333333333333334,0.00015878070442188356,True
5,classification,5,0.001,0.07377442068889778,0.07377442068889778,0.049609586255087684,0.05788492928878427,0.05788492928878427,0.010542406255535304,0.04655127227306366,0.03773584905660377,0.013333333333333334,0.00021361789162605634,True
6,classification,6,0.001,0.07232949798399547,0.07232949798399547,0.048693144779321,0.05672378353591036,0.05672378353591036,0.010533143880919282,0.04054073989391327,0.018867924528301886,0.013333333333333334,0.00022504270936192841,True
7,classification,7,0.001,0.07020049076276327,0.07020049076276327,0.047854215288258624,0.05395228199183647,0.05395228199183647,0.010525483638048172,0.04594821110367775,0.03773584905660377,0.013333333333333334,0.00021562039901389457,True
8,classification,8,0.001,0.06790439643949833,0.06790439643949833,0.04797633220705221,0.05031905275553905,0.05031905275553905,0.010521566944903341,0.056966383010149,0.0,0.013333333333333334,0.0002431102266021258,True
9,classification,9,0.001,0.06599935568929362,0.06599935568929362,0.04638631224150285,0.05162069172107527,0.05162069172107527,0.010503167772821604,0.04216654226183891,0.0,0.013333333333333334,0.00031828171920764354,False
10,classification,10,0.001,0.06364624043600257,0.06364624043600257,0.048765564482970376,0.0463139102817169,0.0463139102817169,0.010459737384260582,0.057705316692590714,0.0,0.013333333333333334,0.000288670394089924,True
11,classification,11,0.0001,0.06184248383234775,0.06184248383234775,0.045949598548386615,0.04581586921156334,0.04581586921156334,0.010455081652244324,0.05997643992304802,0.0,0.013333333333333334,0.0002260358817787572,True
12,classification,12,0.0001,0.06171418281618476,0.06171418281618476,0.052240210643033136,0.04588652244342372,0.04588652244342372,0.010453536317413076,0.05834583938121796,0.0,0.013333333333333334,0.00024523884728963813,False
13,classification,13,0.0001,0.0612544111525916,0.0612544111525916,0.048440309085775256,0.04512040493229927,0.04512040493229927,0.010445208972310785,0.0626743733882904,0.0,0.013333333333333334,0.00035103685712976424,True
14,classification,14,0.0001,0.06103757682514962,0.06103757682514962,0.04756750959672054,0.045102331071651625,0.045102331071651625,0.010440640408417275,0.06131153553724289,0.0,0.013333333333333334,0.00023139360097683954,True
15,classification,15,0.0001,0.0607346829097226,0.0607346829097226,0.04624288720944821,0.04429258530950311,0.04429258530950311,0.010434908397826069,0.06644792854785919,0.0,0.013333333333333334,0.00016618316257439164,True
16,classification,16,0.0001,0.060730617884998374,0.060730617884998374,0.048097336067343656,0.04431139982392635,0.04431139982392635,0.01042672920183008,0.06477170437574387,0.0,0.013333333333333334,0.00019292785714354206,False
17,classification,17,0.0001,0.06097962825767435,0.06097962825767435,0.04904672531586773,0.044410226820724936,0.044410226820724936,0.01042109815945179,0.0629042461514473,0.0,0.013333333333333334,0.00032621192118590823,False
18,classification,18,0.0001,0.06002041333006077,0.06002041333006077,0.04717753576541525,0.04363252538178355,0.04363252538178355,0.010416683048156681,0.06742377579212189,0.0,0.013333333333333334,0.0002804352167371636,True
19,classification,19,0.0001,0.06003210923541588,0.06003210923541588,0.04708612688146833,0.04372354571161599,0.04372354571161599,0.010408365594342424,0.06560483574867249,0.0,0.013333333333333334,0.00016884004433029027,False
20,classification,20,0.0001,0.05996274810555489,0.05996274810555489,0.04581761504761935,0.04373944481018142,0.04373944481018142,0.010403453753205944,0.06441766768693924,0.018867924528301886,0.013333333333333334,0.0002670360886687318,False
21,regression,1,0.001,0.03340992484131271,0.06043618429462222,0.03340992484131271,0.012924233111988735,0.04363252538178355,0.012924233111988735,0.06742377579212189,0.03773584905660377,0.013333333333333334,0.0002862950837440841,True
22,regression,2,0.001,0.02795081519373665,0.06029507254734836,0.02795081519373665,0.013086202953542982,0.04363252538178355,0.013086202953542982,0.06742377579212189,0.05660377358490566,0.013333333333333334,0.00035792170934306126,False
23,regression,3,0.001,0.025545185607559275,0.06032644216262427,0.025545185607559275,0.01206368853893186,0.04363252538178355,0.01206368853893186,0.06742377579212189,0.09433962264150944,0.013333333333333334,0.00029519366010753414,True
24,regression,4,0.001,0.027484321268902955,0.06012461517217024,0.027484321268902955,0.013291459236973025,0.04363252538178355,0.013291459236973025,0.06742377579212189,0.09433962264150944,0.013333333333333334,0.0003428898768473974,False
25,regression,5,0.001,0.026874269336221033,0.0602771010340224,0.026874269336221033,0.014922419388599584,0.04363252538178355,0.014922419388599584,0.06742377579212189,0.07547169811320754,0.013333333333333334,0.00026289726601282895,False
26,regression,6,0.001,0.02750633506360401,0.06028256274137214,0.02750633506360401,0.010163144763614157,0.04363252538178355,0.010163144763614157,0.06742377579212189,0.07547169811320754,0.013333333333333334,0.00031315342856507567,True
27,regression,7,0.001,0.027166432969653702,0.06004924948686217,0.027166432969653702,0.013714181305152442,0.04363252538178355,0.013714181305152442,0.06742377579212189,0.09433962264150944,0.013333333333333334,0.0002977413202101107,False
28,regression,8,0.001,0.02785834175034996,0.06042391606016622,0.02785834175034996,0.011283214126020817,0.04363252538178355,0.011283214126020817,0.06742377579212189,0.03773584905660377,0.013333333333333334,0.0003293382019700819,False
29,regression,9,0.001,0.02667055529042717,0.06019638378343813,0.02667055529042717,0.013068869746670934,0.04363252538178355,0.013068869746670934,0.06742377579212189,0.05660377358490566,0.013333333333333334,0.0003561289064066666,False
30,regression,10,0.001,0.02739822442299433,0.060362022279729095,0.02739822442299433,0.011572258225802717,0.04363252538178355,0.011572258225802717,0.06742377579212189,0.07547169811320754,0.013333333333333334,0.00028361312807498903,False
31,regression,11,0.0001,0.02615085324508482,0.06047179914428539,0.02615085324508482,0.011602866311965904,0.04363252538178355,0.011602866311965904,0.06742377579212189,0.07547169811320754,0.013333333333333334,0.0003335490443304269,False
32,regression,12,0.0001,0.02450595256895068,0.06034241858217112,0.02450595256895068,0.012123925492094068,0.04363252538178355,0.012123925492094068,0.06742377579212189,0.09433962264150944,0.013333333333333334,0.0003009066009962687,False
33,regression,13,0.0001,0.024879454020059335,0.06025317224932488,0.024879454020059335,0.011965900531102872,0.04363252538178355,0.011965900531102872,0.06742377579212189,0.07547169811320754,0.013333333333333334,0.0003590385270941678,False
34,regression,14,0.0001,0.02478365545886546,0.06032536417808173,0.02478365545886546,0.011634382139432606,0.04363252538178355,0.011634382139432606,0.06742377579212189,0.07547169811320754,0.013333333333333334,0.0002721203645481814,False
35,joint,1,0.0005,0.3457470739466161,0.060137304133482054,0.02856097673128718,0.17482067534489,0.04447713890686411,0.01303435377593111,0.058993030339479446,0.11320754716981132,0.013333333333333334,0.00021417396058007448,True
36,joint,2,0.0005,0.35343746788739516,0.05965459939202851,0.029378286726029736,0.22635247290428048,0.041945082507109994,0.018440738687374322,0.07316472381353378,0.05660377358490566,0.013333333333333334,0.000137079748760317,False
37,joint,3,0.0005,0.31869560311425404,0.058496537334674775,0.026019906479554034,0.18987744018949312,0.041851839041475006,0.014802560210227966,0.07030384987592697,0.07547169811320754,0.013333333333333334,0.0001339285418715169,False
38,joint,4,0.0005,0.3262806336352767,0.0577717026811083,0.026850893169721824,0.13889846249754206,0.03947322466984171,0.009942523768089087,0.08464395999908447,0.1320754716981132,0.013333333333333334,0.00022348488177418143,True
39,joint,5,0.0005,0.30796122880567195,0.05744986517500444,0.025051136342984327,0.1880266590071429,0.04035236058857641,0.014767429951963753,0.07224300503730774,0.09433962264150944,0.013333333333333334,0.00011413174877081581,False
40,joint,6,0.0005,0.2804796313339809,0.05658726131096683,0.022389237048490992,0.11795982233996462,0.039929205781133306,0.007803061710936683,0.07185126841068268,0.11320754716981132,0.013333333333333334,0.00022829336452326828,False
41,joint,7,0.0005,0.2910672760395348,0.05512549908896983,0.023594177616735032,0.16444408805499522,0.03770582921105652,0.0126738263468437,0.08616956323385239,0.1509433962264151,0.013333333333333334,0.00018112542856945724,True
42,joint,8,0.0005,0.2721220663977119,0.054858100522721234,0.021726396597540283,0.169757053769868,0.03973612666423685,0.01300209267019051,0.06632687151432037,0.09433962264150944,0.006666666666666667,0.00019810233496916893,False
43,joint,9,0.0005,0.2442358637434453,0.05391974871691989,0.019031611534784425,0.11156786339623588,0.036220122440695175,0.007534774011138625,0.08772001415491104,0.1509433962264151,0.013333333333333334,0.0002061314384165258,True
44,joint,10,0.0005,0.2120982969224935,0.052912132638805315,0.015918616476566644,0.0988998181126975,0.03454290212962428,0.006435691741446556,0.09999630600214005,0.20754716981132076,0.013333333333333334,0.0002516688374437095,True
45,joint,11,5e-05,0.18060637002364002,0.051878355855167396,0.012872801360616465,0.11842509795879495,0.03524921548190375,0.00831758823667841,0.08961381763219833,0.20754716981132076,0.013333333333333334,0.00023492985221462267,False
