fold,best_epoch,base_threshold,raw_base_pd,v3_base_pd,base_pd_change,raw_base_pfa,v3_base_pfa,base_pfa_reduction,raw_selected_pd,v3_selected_pd,selected_pd_change,raw_selected_pfa,v3_selected_pfa,selected_pfa_reduction,background_shift_mean,target_shift_mean,background_probability_mean,target_probability_mean,pd_floor_satisfied,score_never_increased
1,30,0.337646484375,1.0,1.0,0.0,0.5733333333333334,0.28,0.5116279069767442,1.0,1.0,0.0,0.5733333333333334,0.88,-0.5348837209302325,0.6985316597918669,2.1446490345109817e-05,0.7696987589200338,0.0033546437131557263,True,True
2,30,0.393798828125,0.9245283018867925,0.9245283018867925,0.0,0.0,0.0,,0.9245283018867925,0.9245283018867925,0.0,0.0,0.0,,0.15534860461950303,0.0001970741497369193,0.7995434220631917,0.0034996360531603953,True,True
3,30,0.8466796875,0.8653846153846154,0.8653846153846154,0.0,0.0,0.0,,0.8653846153846154,0.9230769230769231,0.05769230769230771,0.0,0.0,,0.23853487864784573,0.002627726958542973,0.7985669892767201,0.00805796655969551,True,True
4,30,0.254150390625,0.9038461538461539,0.9038461538461539,0.0,0.6666666666666666,0.09333333333333334,0.8599999999999999,0.9038461538461539,0.9038461538461539,0.0,0.6666666666666666,0.8333333333333334,-0.2500000000000001,0.8055681550006072,6.0788169181390774e-05,0.7759217627843221,0.003709846713508551,True,True
5,29,0.361328125,0.95,0.95,0.0,0.0,0.0,,0.95,0.95,0.0,0.0,0.0,,0.12473942334453265,0.001022944394693089,0.6570916243394216,0.018669819467080136,True,True
6,30,0.89697265625,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,,0.7916666666666666,0.8541666666666666,0.0625,0.0,0.0,,0.23728657546250717,0.013150161533152035,0.7921314130658689,0.0299283328592234,True,True
