task_id,category_code,category,feature,mean,std,median
narrow_x_category,1,UAV,envelope_mean_rms_normalized,0.9704289938631665,0.029153163523768625,0.9817901985061274
narrow_x_category,1,UAV,envelope_std_rms_normalized,0.21234537801636622,0.11105484823827007,0.18996843452873954
narrow_x_category,1,UAV,envelope_coefficient_of_variation,0.2224751126879958,0.12423377849956284,0.19349188331457348
narrow_x_category,1,UAV,envelope_skewness,0.06062495057661146,0.5609334070533664,0.05576567319413537
narrow_x_category,1,UAV,envelope_kurtosis,3.2144342392692256,7.146945055437635,2.7979966809080206
narrow_x_category,1,UAV,envelope_crest_factor,1.5849974306607053,0.36565959186172353,1.4951236425576242
narrow_x_category,1,UAV,phase_increment_mean_cycles_per_sample,-0.0037891223316476874,0.036988015055597484,-0.02557760743269725
narrow_x_category,1,UAV,phase_increment_resultant_length,0.9809726046473642,0.04349322838004546,0.9974381523225705
narrow_x_category,1,UAV,autocorrelation_magnitude_lag1,0.9805861386019,0.03819126773718767,0.9960347059472103
narrow_x_category,1,UAV,autocorrelation_magnitude_lag2,0.9572444303528611,0.06917713594594614,0.9884793482638108
narrow_x_category,1,UAV,autocorrelation_magnitude_lag4,0.9362662662947914,0.089006831963064,0.9748948201231505
narrow_x_category,1,UAV,autocorrelation_magnitude_lag8,0.9029211086395363,0.12574238943594235,0.9545216207715993
narrow_x_category,1,UAV,autocorrelation_magnitude_lag16,0.863893158646124,0.16975775816557562,0.9282863375707427
narrow_x_category,1,UAV,autocorrelation_magnitude_lag32,0.8630148694132861,0.15981858736124127,0.9248030924511658
narrow_x_category,1,UAV,periodicity_candidate_autocorrelation,0.954680504888121,0.06462204745474083,0.9844160158643757
narrow_x_category,1,UAV,periodicity_candidate_lag_fraction,0.004046723720608576,0.0013401903729974456,0.00390625
narrow_x_category,1,UAV,spectrum_centroid_cycles_per_sample,-0.0036879776070643834,0.0362449326889613,-0.02503325898930002
narrow_x_category,1,UAV,spectrum_abs_centroid_cycles_per_sample,0.03952488784873111,0.014879607634228674,0.0377186768013349
narrow_x_category,1,UAV,spectrum_spread_cycles_per_sample,0.026326013618958043,0.02461775618049125,0.015346696898476321
