task_id,model_id,true_category_code,true_category,predicted_category_code,predicted_category,confusion_type,value
narrow_x_category,logistic_batch_balanced,1,UAV,3,weather,row_count,168.0
narrow_x_category,logistic_batch_balanced,2,bird,1,UAV,row_count,56.0
narrow_x_category,logistic_batch_balanced,2,bird,2,bird,row_count,617.0
narrow_x_category,logistic_batch_balanced,2,bird,3,weather,row_count,290.0
narrow_x_category,logistic_batch_balanced,3,weather,1,UAV,row_count,155.0
narrow_x_category,logistic_batch_balanced,3,weather,2,bird,row_count,855.0
narrow_x_category,logistic_batch_balanced,3,weather,3,weather,row_count,4573.0
narrow_x_category,logistic_batch_balanced,1,UAV,1,UAV,batch_class_row_normalized,0.9132611603334715
narrow_x_category,logistic_batch_balanced,1,UAV,2,bird,batch_class_row_normalized,0.043408809796636375
narrow_x_category,logistic_batch_balanced,1,UAV,3,weather,batch_class_row_normalized,0.04333002986989223
narrow_x_category,logistic_batch_balanced,2,bird,1,UAV,batch_class_row_normalized,0.0651363996592004
narrow_x_category,logistic_batch_balanced,2,bird,2,bird,batch_class_row_normalized,0.6641771848441574
narrow_x_category,logistic_batch_balanced,2,bird,3,weather,batch_class_row_normalized,0.2706864154966422
narrow_x_category,logistic_batch_balanced,3,weather,1,UAV,batch_class_row_normalized,0.029260036546481974
narrow_x_category,logistic_batch_balanced,3,weather,2,bird,batch_class_row_normalized,0.14833536995720267
narrow_x_category,logistic_batch_balanced,3,weather,3,weather,batch_class_row_normalized,0.8224045934963153
narrow_x_category,random_forest_batch_balanced,1,UAV,1,UAV,row_count,1666.0
narrow_x_category,random_forest_batch_balanced,1,UAV,2,bird,row_count,171.0
narrow_x_category,random_forest_batch_balanced,1,UAV,3,weather,row_count,332.0
narrow_x_category,random_forest_batch_balanced,2,bird,1,UAV,row_count,56.0
narrow_x_category,random_forest_batch_balanced,2,bird,2,bird,row_count,591.0
narrow_x_category,random_forest_batch_balanced,2,bird,3,weather,row_count,316.0
narrow_x_category,random_forest_batch_balanced,3,weather,1,UAV,row_count,231.0
narrow_x_category,random_forest_batch_balanced,3,weather,2,bird,row_count,527.0
narrow_x_category,random_forest_batch_balanced,3,weather,3,weather,row_count,4825.0
narrow_x_category,random_forest_batch_balanced,1,UAV,1,UAV,batch_class_row_normalized,0.8225640423666984
narrow_x_category,random_forest_batch_balanced,1,UAV,2,bird,batch_class_row_normalized,0.1007525797174207
narrow_x_category,random_forest_batch_balanced,1,UAV,3,weather,batch_class_row_normalized,0.07668337791588092
narrow_x_category,random_forest_batch_balanced,2,bird,1,UAV,batch_class_row_normalized,0.043385296345724564
narrow_x_category,random_forest_batch_balanced,2,bird,2,bird,batch_class_row_normalized,0.6687558717059912
narrow_x_category,random_forest_batch_balanced,2,bird,3,weather,batch_class_row_normalized,0.2878588319482843
narrow_x_category,random_forest_batch_balanced,3,weather,1,UAV,batch_class_row_normalized,0.04274655874375245
narrow_x_category,random_forest_batch_balanced,3,weather,2,bird,batch_class_row_normalized,0.08696318922402002
narrow_x_category,random_forest_batch_balanced,3,weather,3,weather,batch_class_row_normalized,0.8702902520322275
