task_id,model_id,feature,importance_type,mean,std,min,max
hrrp_x_category,logistic_batch_balanced,amplitude_std_rms_normalized,mean_abs_standardized_multiclass_coefficient,2.2220505751333297,0.5231891253089845,1.727818456155856,3.105390439513472
hrrp_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag16,mean_abs_standardized_multiclass_coefficient,1.334152815656901,0.46348220908453125,0.8627203754351634,1.9938849938922003
hrrp_x_category,logistic_batch_balanced,roughness_mean_abs_difference,mean_abs_standardized_multiclass_coefficient,1.2012388630096564,0.33639194988390764,0.826719275048419,1.5769959992500127
hrrp_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag1,mean_abs_standardized_multiclass_coefficient,1.1173801116992146,0.3538237658778763,0.5924864357769121,1.498642124653526
hrrp_x_category,logistic_batch_balanced,amplitude_mean_rms_normalized,mean_abs_standardized_multiclass_coefficient,1.0980911192618843,0.5670678188648118,0.4945932706904504,1.902515107184669
hrrp_x_category,logistic_batch_balanced,crest_factor,mean_abs_standardized_multiclass_coefficient,0.8923751996746206,0.40459314557811193,0.23906015303880943,1.2769677182130121
hrrp_x_category,logistic_batch_balanced,peak_power_fraction,mean_abs_standardized_multiclass_coefficient,0.7981084685289879,0.3238266454935837,0.27210424339844824,1.1540203582902746
hrrp_x_category,logistic_batch_balanced,energy_entropy_normalized,mean_abs_standardized_multiclass_coefficient,0.7552866288814581,0.33838255534265027,0.21748104768388976,1.1013082388966424
hrrp_x_category,logistic_batch_balanced,amplitude_kurtosis,mean_abs_standardized_multiclass_coefficient,0.7231028767602352,0.10127864108552787,0.6323946611665288,0.897110022719006
hrrp_x_category,logistic_batch_balanced,energy_spread_bin_fraction,mean_abs_standardized_multiclass_coefficient,0.6778831250398495,0.20537227699453112,0.45850601230481697,1.0134768857800065
hrrp_x_category,logistic_batch_balanced,energy_q50_bin_fraction,mean_abs_standardized_multiclass_coefficient,0.5643068275022861,0.1383914305109851,0.4306301756074143,0.7826440316284361
hrrp_x_category,logistic_batch_balanced,amplitude_skewness,mean_abs_standardized_multiclass_coefficient,0.4412499043945163,0.37122929508455993,0.13811984876281888,1.0860772230852012
hrrp_x_category,logistic_batch_balanced,energy_q10_bin_fraction,mean_abs_standardized_multiclass_coefficient,0.4146049997373253,0.23422342851572325,0.06822093725564755,0.6389231267397487
hrrp_x_category,logistic_batch_balanced,energy_q90_bin_fraction,mean_abs_standardized_multiclass_coefficient,0.4126081219606611,0.06068248377791632,0.34667363503988874,0.4773783624586074
hrrp_x_category,logistic_batch_balanced,energy_centroid_bin_fraction,mean_abs_standardized_multiclass_coefficient,0.3810689950057683,0.26470471975371634,0.1513711919225912,0.7896131467535662
hrrp_x_category,logistic_batch_balanced,energy_q90_q10_width_fraction,mean_abs_standardized_multiclass_coefficient,0.3067667585429471,0.07530612707919183,0.23171809811135544,0.40863447101928624
hrrp_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag4,mean_abs_standardized_multiclass_coefficient,0.25218130543243833,0.1402418742953043,0.09030631154646562,0.41556124785962895
hrrp_x_category,logistic_batch_balanced,peak_bin_fraction,mean_abs_standardized_multiclass_coefficient,0.19131321429438936,0.08853454498211662,0.047835147886393835,0.28560542418437157
hrrp_x_category,random_forest_batch_balanced,roughness_mean_abs_difference,mean_decrease_impurity,0.174913513486505,0.02025263411504333,0.15202984109231762,0.2074880315873447
hrrp_x_category,random_forest_batch_balanced,amplitude_kurtosis,mean_decrease_impurity,0.11045229311107993,0.012686168557194686,0.09012883669718219,0.1250204662333236
hrrp_x_category,random_forest_batch_balanced,amplitude_skewness,mean_decrease_impurity,0.09200214827849904,0.00452826108325792,0.08460999372532252,0.09660014977867762
hrrp_x_category,random_forest_batch_balanced,energy_q10_bin_fraction,mean_decrease_impurity,0.0737574348296981,0.007514796603966857,0.06672326878205125,0.0836174656690801
hrrp_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag1,mean_decrease_impurity,0.06283672194091411,0.0034410506731279897,0.05932029567813277,0.06820732559827551
hrrp_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag16,mean_decrease_impurity,0.04947024754254471,0.010666826780155582,0.03308903012737325,0.06101109706741141
hrrp_x_category,random_forest_batch_balanced,energy_q90_q10_width_fraction,mean_decrease_impurity,0.04879585153182981,0.009122854248862212,0.04278821082453886,0.06481504355135861
hrrp_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag4,mean_decrease_impurity,0.04819975091386107,0.00934871237196448,0.03834901129219996,0.062194097659153506
hrrp_x_category,random_forest_batch_balanced,peak_power_fraction,mean_decrease_impurity,0.04792352930495823,0.010818860164618466,0.036370154778672725,0.06517479390385317
hrrp_x_category,random_forest_batch_balanced,energy_spread_bin_fraction,mean_decrease_impurity,0.046650573218252576,0.005840622056398,0.040006223485173645,0.052923442716362235
hrrp_x_category,random_forest_batch_balanced,crest_factor,mean_decrease_impurity,0.046009849646091096,0.009500690451256967,0.03694983141152123,0.06194183824772939
hrrp_x_category,random_forest_batch_balanced,amplitude_mean_rms_normalized,mean_decrease_impurity,0.0396773651656536,0.005408947616618981,0.03319398853202304,0.047295627329001375
hrrp_x_category,random_forest_batch_balanced,amplitude_std_rms_normalized,mean_decrease_impurity,0.03905804066834785,0.0058273725819800466,0.03139600247826352,0.04621798420297769
hrrp_x_category,random_forest_batch_balanced,energy_entropy_normalized,mean_decrease_impurity,0.03797549525798655,0.008993386128560642,0.02815393038825146,0.05203837237957807
hrrp_x_category,random_forest_batch_balanced,energy_centroid_bin_fraction,mean_decrease_impurity,0.029894600751799272,0.005191655417599596,0.024637799598570626,0.038265273726494325
hrrp_x_category,random_forest_batch_balanced,energy_q90_bin_fraction,mean_decrease_impurity,0.022911155063129678,0.004228130843006558,0.01870595610098557,0.029233735680853162
hrrp_x_category,random_forest_batch_balanced,energy_q50_bin_fraction,mean_decrease_impurity,0.01850445465532969,0.0057895858024464356,0.009740254487955803,0.024226519303564044
hrrp_x_category,random_forest_batch_balanced,peak_bin_fraction,mean_decrease_impurity,0.01096697463351973,0.0010941339678346793,0.009273212373647954,0.011993193152067852
narrow_x_category,logistic_batch_balanced,spectrum_entropy_normalized,mean_abs_standardized_multiclass_coefficient,3.994949458669256,0.32241513904222285,3.614971625736668,4.314740734476721
narrow_x_category,logistic_batch_balanced,phase_increment_resultant_length,mean_abs_standardized_multiclass_coefficient,3.598161418907979,0.43033630266479517,3.0464425039238043,4.006045678464129
narrow_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag2,mean_abs_standardized_multiclass_coefficient,3.206364271574614,0.46703449970469324,2.46894225752059,3.5955027259393106
narrow_x_category,logistic_batch_balanced,spectrum_spread_cycles_per_sample,mean_abs_standardized_multiclass_coefficient,2.869572772805357,0.29488041496395,2.49611719501272,3.0978175935671555
narrow_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag4,mean_abs_standardized_multiclass_coefficient,2.6419303320917136,0.3562688694638127,2.246582790832297,3.1826224604587168
narrow_x_category,logistic_batch_balanced,spectrum_flatness,mean_abs_standardized_multiclass_coefficient,2.626143736347926,0.2831410048739593,2.15879875385777,2.844120327332241
narrow_x_category,logistic_batch_balanced,periodicity_candidate_autocorrelation,mean_abs_standardized_multiclass_coefficient,2.5704907617600705,0.12452323595994513,2.4518511784861405,2.745665301419143
narrow_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag1,mean_abs_standardized_multiclass_coefficient,2.0923024464616446,0.7071853521239925,1.3755859300591962,3.248061745766345
narrow_x_category,logistic_batch_balanced,envelope_mean_rms_normalized,mean_abs_standardized_multiclass_coefficient,1.978585340003923,0.22626750373610027,1.6364735501831351,2.2572618686298243
narrow_x_category,logistic_batch_balanced,spectrum_abs_centroid_cycles_per_sample,mean_abs_standardized_multiclass_coefficient,1.3951049676576506,0.22695280380307534,1.1032818053250362,1.7118689592238152
narrow_x_category,logistic_batch_balanced,envelope_coefficient_of_variation,mean_abs_standardized_multiclass_coefficient,1.0281533238565168,0.14087838204989525,0.8547067990478117,1.2031994371849752
narrow_x_category,logistic_batch_balanced,spectrum_kurtosis,mean_abs_standardized_multiclass_coefficient,0.994622740763092,0.1631580857093691,0.8319984690898888,1.2113288719010664
narrow_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag8,mean_abs_standardized_multiclass_coefficient,0.9292799653692843,0.06925268268278428,0.8375412177440437,1.0053799032638826
narrow_x_category,logistic_batch_balanced,spectrum_centroid_cycles_per_sample,mean_abs_standardized_multiclass_coefficient,0.792624570569798,0.4613392868923525,0.0768843776765995,1.2961193012566143
narrow_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag16,mean_abs_standardized_multiclass_coefficient,0.6859373230287548,0.09981205628680918,0.5315259748034471,0.7904796691086228
narrow_x_category,logistic_batch_balanced,spectrum_dominant_frequency_cycles_per_sample,mean_abs_standardized_multiclass_coefficient,0.5803344924063223,0.340629617495891,0.19249905775517387,1.1000493138248604
narrow_x_category,logistic_batch_balanced,envelope_kurtosis,mean_abs_standardized_multiclass_coefficient,0.5742048535555272,0.09021576337781403,0.4612854788598331,0.6851167480772972
narrow_x_category,logistic_batch_balanced,spectrum_positive_negative_log10_ratio,mean_abs_standardized_multiclass_coefficient,0.4885256268852416,0.13476307052784334,0.35409060630887385,0.6974165495650114
narrow_x_category,logistic_batch_balanced,envelope_crest_factor,mean_abs_standardized_multiclass_coefficient,0.47899979084969624,0.16957039943500496,0.3181017054121605,0.7525372555805143
narrow_x_category,logistic_batch_balanced,periodicity_candidate_lag_fraction,mean_abs_standardized_multiclass_coefficient,0.4269418058179234,0.15517784348512298,0.25388763585428015,0.6620564775953252
narrow_x_category,logistic_batch_balanced,spectrum_dominant_abs_frequency_cycles_per_sample,mean_abs_standardized_multiclass_coefficient,0.38982630802107987,0.29521842419466643,0.15372014874014694,0.8413534523206468
narrow_x_category,logistic_batch_balanced,envelope_std_rms_normalized,mean_abs_standardized_multiclass_coefficient,0.37533440503628207,0.15058317127816698,0.20964185047542386,0.6168647977216892
narrow_x_category,logistic_batch_balanced,spectrum_peak_power_fraction,mean_abs_standardized_multiclass_coefficient,0.32613828864517885,0.056975564022813036,0.24891605180599563,0.3961342309319107
narrow_x_category,logistic_batch_balanced,autocorrelation_magnitude_lag32,mean_abs_standardized_multiclass_coefficient,0.2761709344009394,0.03965278691181224,0.2438011530945947,0.34234608255959964
narrow_x_category,logistic_batch_balanced,spectrum_zero_band_power_fraction,mean_abs_standardized_multiclass_coefficient,0.19542136479790015,0.07460603689999099,0.06999651838136224,0.2681077584791431
narrow_x_category,logistic_batch_balanced,phase_increment_mean_cycles_per_sample,mean_abs_standardized_multiclass_coefficient,0.1548160046725352,0.048997464421195146,0.10317814170031307,0.2290118446975142
narrow_x_category,logistic_batch_balanced,envelope_skewness,mean_abs_standardized_multiclass_coefficient,0.08716330756920865,0.03799401196450305,0.04142405102236704,0.12728737922530745
narrow_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag16,mean_decrease_impurity,0.07706964917526579,0.00556281112180736,0.06988648631848028,0.08245395363523096
narrow_x_category,random_forest_batch_balanced,spectrum_dominant_abs_frequency_cycles_per_sample,mean_decrease_impurity,0.07638093002821766,0.009280249040290265,0.06402031384214038,0.08656399066352952
narrow_x_category,random_forest_batch_balanced,spectrum_abs_centroid_cycles_per_sample,mean_decrease_impurity,0.07604845741162047,0.010512133842997701,0.06547443653814708,0.08841607820020465
narrow_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag8,mean_decrease_impurity,0.07581237492641596,0.006739961553630044,0.0669283343002299,0.08232909749705788
narrow_x_category,random_forest_batch_balanced,phase_increment_mean_cycles_per_sample,mean_decrease_impurity,0.060940578140413926,0.004928505148585432,0.05391949533343657,0.06779757622636291
narrow_x_category,random_forest_batch_balanced,spectrum_dominant_frequency_cycles_per_sample,mean_decrease_impurity,0.057512295465877106,0.009553390514108185,0.04811356568603477,0.07310679729872031
narrow_x_category,random_forest_batch_balanced,spectrum_centroid_cycles_per_sample,mean_decrease_impurity,0.05558375688801111,0.005539165500491393,0.0464966618571443,0.05988304044117671
narrow_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag4,mean_decrease_impurity,0.05438697487730757,0.002693444843197176,0.051971491297040776,0.058392319157105174
narrow_x_category,random_forest_batch_balanced,envelope_coefficient_of_variation,mean_decrease_impurity,0.043125294369342086,0.0031455302202788114,0.03993666407321583,0.04738553640361794
narrow_x_category,random_forest_batch_balanced,envelope_std_rms_normalized,mean_decrease_impurity,0.04251096213224963,0.003805903310079646,0.03733740872556294,0.04602051569942109
narrow_x_category,random_forest_batch_balanced,envelope_mean_rms_normalized,mean_decrease_impurity,0.0396471083518257,0.0050667037512648555,0.03644540036611006,0.04864504740658005
narrow_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag32,mean_decrease_impurity,0.039036201291252036,0.00697050780686091,0.0308199854748104,0.04722996769216688
narrow_x_category,random_forest_batch_balanced,spectrum_spread_cycles_per_sample,mean_decrease_impurity,0.035202319578028274,0.003194680524400395,0.0316565639682963,0.03917753507077549
narrow_x_category,random_forest_batch_balanced,spectrum_entropy_normalized,mean_decrease_impurity,0.03352894546213335,0.0031201239078827952,0.028396142951928872,0.03661930060958883
narrow_x_category,random_forest_batch_balanced,spectrum_flatness,mean_decrease_impurity,0.030347398496357404,0.003813818957008462,0.024891373407606554,0.03552553971181872
narrow_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag2,mean_decrease_impurity,0.02696779681001804,0.003718398641404748,0.023443793535353547,0.03108805532023823
narrow_x_category,random_forest_batch_balanced,spectrum_zero_band_power_fraction,mean_decrease_impurity,0.02461103435812793,0.004956285776396459,0.019547789124013785,0.03258426568376862
narrow_x_category,random_forest_batch_balanced,autocorrelation_magnitude_lag1,mean_decrease_impurity,0.02327898352836425,0.0019588237343837103,0.020547862710156295,0.025258910818930187
narrow_x_category,random_forest_batch_balanced,spectrum_kurtosis,mean_decrease_impurity,0.021788567568324903,0.001404778395127517,0.020281228294586763,0.023598329424225517
narrow_x_category,random_forest_batch_balanced,phase_increment_resultant_length,mean_decrease_impurity,0.020917952537354463,0.003239950799067155,0.016466905004094833,0.02402171238921414
narrow_x_category,random_forest_batch_balanced,periodicity_candidate_autocorrelation,mean_decrease_impurity,0.018617243427701435,0.0019266402824898424,0.01645955834394408,0.021453464658102425
narrow_x_category,random_forest_batch_balanced,spectrum_peak_power_fraction,mean_decrease_impurity,0.01669264572775257,0.003285464641600472,0.013717015952318496,0.02210362567612552
narrow_x_category,random_forest_batch_balanced,spectrum_positive_negative_log10_ratio,mean_decrease_impurity,0.016075290324169426,0.0022435180862348204,0.013513686901265066,0.018619386421375863
narrow_x_category,random_forest_batch_balanced,envelope_kurtosis,mean_decrease_impurity,0.014746812398384868,0.003149542622555407,0.00943748185110132,0.017689000027440994
narrow_x_category,random_forest_batch_balanced,envelope_crest_factor,mean_decrease_impurity,0.012217955670257854,0.001415636209664742,0.010625258398196877,0.013888187655230732
narrow_x_category,random_forest_batch_balanced,envelope_skewness,mean_decrease_impurity,0.004459910577772717,0.00017300558981772797,0.004317798612471311,0.004716204209076778
narrow_x_category,random_forest_batch_balanced,periodicity_candidate_lag_fraction,mean_decrease_impurity,0.0024925604774534743,0.0012251970689071598,0.0016745221788276702,0.0046560921981497385
