task_id,model_id,heldout_fold,batch_code,category_code,category,record_count,accuracy,evaluation_unit
hrrp_x_category,random_forest_batch_balanced,2,123,all,all,14,0.7857142857142857,batch
hrrp_x_category,random_forest_batch_balanced,2,192,all,all,28,0.21428571428571427,batch
hrrp_x_category,random_forest_batch_balanced,2,206,all,all,38,0.8421052631578947,batch
hrrp_x_category,random_forest_batch_balanced,2,502,all,all,31,1.0,batch
hrrp_x_category,random_forest_batch_balanced,2,534,all,all,59,0.6440677966101694,batch
hrrp_x_category,random_forest_batch_balanced,2,594,all,all,315,0.09523809523809523,batch
hrrp_x_category,random_forest_batch_balanced,2,641,all,all,211,0.976303317535545,batch
hrrp_x_category,random_forest_batch_balanced,3,18,all,all,22,1.0,batch
hrrp_x_category,random_forest_batch_balanced,3,148,all,all,2,1.0,batch
hrrp_x_category,random_forest_batch_balanced,3,159,all,all,83,0.7469879518072289,batch
hrrp_x_category,random_forest_batch_balanced,3,189,all,all,96,0.8229166666666666,batch
hrrp_x_category,random_forest_batch_balanced,3,379,all,all,25,0.36,batch
hrrp_x_category,random_forest_batch_balanced,3,420,all,all,378,0.25132275132275134,batch
hrrp_x_category,random_forest_batch_balanced,3,731,all,all,24,1.0,batch
hrrp_x_category,random_forest_batch_balanced,3,815,all,all,86,1.0,batch
hrrp_x_category,random_forest_batch_balanced,4,50,all,all,11,0.6363636363636364,batch
hrrp_x_category,random_forest_batch_balanced,4,428,all,all,49,0.5918367346938775,batch
hrrp_x_category,random_forest_batch_balanced,4,432,all,all,67,0.8059701492537313,batch
hrrp_x_category,random_forest_batch_balanced,4,524,all,all,91,0.37362637362637363,batch
hrrp_x_category,random_forest_batch_balanced,4,667,all,all,64,0.1875,batch
hrrp_x_category,random_forest_batch_balanced,4,844,all,all,309,0.941747572815534,batch
hrrp_x_category,random_forest_batch_balanced,4,853,all,all,42,0.7142857142857143,batch
hrrp_x_category,random_forest_batch_balanced,4,976,all,all,54,0.5,batch
hrrp_x_category,random_forest_batch_balanced,5,83,all,all,32,0.875,batch
hrrp_x_category,random_forest_batch_balanced,5,247,all,all,19,0.8947368421052632,batch
hrrp_x_category,random_forest_batch_balanced,5,337,all,all,295,0.9322033898305084,batch
hrrp_x_category,random_forest_batch_balanced,5,587,all,all,35,0.6285714285714286,batch
hrrp_x_category,random_forest_batch_balanced,5,909,all,all,27,0.8148148148148148,batch
hrrp_x_category,random_forest_batch_balanced,5,948,all,all,220,0.8045454545454546,batch
hrrp_x_category,random_forest_batch_balanced,5,994,all,all,100,0.57,batch
narrow_x_category,dummy_prior,1,1,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,2,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,4,all,all,42,0.35714285714285715,batch
narrow_x_category,dummy_prior,1,9,all,all,31,1.0,batch
narrow_x_category,dummy_prior,1,18,all,all,47,0.5531914893617021,batch
narrow_x_category,dummy_prior,1,20,all,all,34,1.0,batch
narrow_x_category,dummy_prior,1,25,all,all,15,1.0,batch
narrow_x_category,dummy_prior,1,26,all,all,15,1.0,batch
narrow_x_category,dummy_prior,1,27,all,all,18,1.0,batch
narrow_x_category,dummy_prior,1,31,all,all,25,1.0,batch
narrow_x_category,dummy_prior,1,34,all,all,26,1.0,batch
narrow_x_category,dummy_prior,1,35,all,all,22,1.0,batch
narrow_x_category,dummy_prior,1,41,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,47,all,all,25,1.0,batch
narrow_x_category,dummy_prior,1,49,all,all,18,1.0,batch
narrow_x_category,dummy_prior,1,50,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,52,all,all,24,1.0,batch
narrow_x_category,dummy_prior,1,62,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,67,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,68,all,all,19,1.0,batch
narrow_x_category,dummy_prior,1,70,all,all,18,1.0,batch
narrow_x_category,dummy_prior,1,80,all,all,19,1.0,batch
narrow_x_category,dummy_prior,1,83,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,93,all,all,18,1.0,batch
narrow_x_category,dummy_prior,1,105,all,all,13,1.0,batch
narrow_x_category,dummy_prior,1,108,all,all,24,1.0,batch
narrow_x_category,dummy_prior,1,123,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,124,all,all,14,1.0,batch
narrow_x_category,dummy_prior,1,125,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,129,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,130,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,131,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,135,all,all,23,1.0,batch
narrow_x_category,dummy_prior,1,138,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,139,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,140,all,all,24,1.0,batch
narrow_x_category,dummy_prior,1,158,all,all,22,1.0,batch
narrow_x_category,dummy_prior,1,162,all,all,13,1.0,batch
narrow_x_category,dummy_prior,1,166,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,168,all,all,23,1.0,batch
narrow_x_category,dummy_prior,1,171,all,all,19,1.0,batch
narrow_x_category,dummy_prior,1,179,all,all,30,1.0,batch
narrow_x_category,dummy_prior,1,184,all,all,18,1.0,batch
narrow_x_category,dummy_prior,1,205,all,all,17,1.0,batch
narrow_x_category,dummy_prior,1,211,all,all,28,1.0,batch
narrow_x_category,dummy_prior,1,221,all,all,17,1.0,batch
narrow_x_category,dummy_prior,1,223,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,236,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,240,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,241,all,all,20,1.0,batch
narrow_x_category,dummy_prior,1,262,all,all,7,1.0,batch
narrow_x_category,dummy_prior,1,265,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,268,all,all,7,1.0,batch
narrow_x_category,dummy_prior,1,270,all,all,11,0.7272727272727273,batch
narrow_x_category,dummy_prior,1,277,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,279,all,all,67,0.05970149253731343,batch
narrow_x_category,dummy_prior,1,280,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,283,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,284,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,303,all,all,109,0.07339449541284404,batch
narrow_x_category,dummy_prior,1,304,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,314,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,322,all,all,8,1.0,batch
narrow_x_category,dummy_prior,1,323,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,325,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,336,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,337,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,341,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,345,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,368,all,all,2,1.0,batch
narrow_x_category,dummy_prior,1,387,all,all,4,1.0,batch
narrow_x_category,dummy_prior,1,428,all,all,112,0.0,batch
narrow_x_category,dummy_prior,1,704,all,all,271,0.0,batch
narrow_x_category,dummy_prior,2,3,all,all,9,0.0,batch
narrow_x_category,dummy_prior,2,12,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,13,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,19,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,21,all,all,156,0.9166666666666666,batch
narrow_x_category,dummy_prior,2,24,all,all,134,0.6791044776119403,batch
narrow_x_category,dummy_prior,2,33,all,all,208,0.9230769230769231,batch
narrow_x_category,dummy_prior,2,37,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,40,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,46,all,all,34,0.0,batch
narrow_x_category,dummy_prior,2,54,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,56,all,all,31,0.0,batch
narrow_x_category,dummy_prior,2,60,all,all,16,0.25,batch
narrow_x_category,dummy_prior,2,64,all,all,28,0.0,batch
narrow_x_category,dummy_prior,2,66,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,77,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,78,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,81,all,all,15,0.0,batch
narrow_x_category,dummy_prior,2,84,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,85,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,95,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,98,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,103,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,109,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,114,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,118,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,119,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,122,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,128,all,all,11,0.0,batch
narrow_x_category,dummy_prior,2,136,all,all,32,0.0,batch
narrow_x_category,dummy_prior,2,141,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,143,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,144,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,146,all,all,38,0.0,batch
narrow_x_category,dummy_prior,2,151,all,all,30,0.0,batch
narrow_x_category,dummy_prior,2,160,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,161,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,163,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,169,all,all,27,0.0,batch
narrow_x_category,dummy_prior,2,172,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,175,all,all,20,0.0,batch
narrow_x_category,dummy_prior,2,177,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,186,all,all,16,0.0,batch
