task_id,model_id,heldout_fold,record_count,batch_count,accuracy,balanced_accuracy,macro_f1,multiclass_log_loss,recall_uav,recall_bird,recall_weather,macro_ovr_roc_auc
narrow_x_category,dummy_prior,1,1715,73,0.6513119533527697,0.3333333333333333,0.2629472693032015,1.0986122886681045,0.0,0.0,1.0,0.5
narrow_x_category,dummy_prior,2,1722,73,0.25203252032520324,0.3333333333333333,0.1341991341991342,1.0986122886681093,1.0,0.0,0.0,0.5
narrow_x_category,dummy_prior,3,1683,73,0.0784313725490196,0.3333333333333333,0.048484848484848485,1.0986122886681102,0.0,1.0,0.0,0.5
narrow_x_category,dummy_prior,4,1797,72,0.2409571508069004,0.3333333333333333,0.12944693572496263,1.098612288668117,1.0,0.0,0.0,0.5
narrow_x_category,dummy_prior,5,1798,73,0.6206896551724138,0.3333333333333333,0.2553191489361702,1.0986122886681071,0.0,0.0,1.0,0.5
narrow_x_category,logistic_batch_balanced,1,1715,73,0.8425655976676385,0.8204751721574207,0.7708304346810566,0.5252377313856601,0.9654377880184332,0.676829268292683,0.8191584601611459,0.9170409533988554
narrow_x_category,logistic_batch_balanced,2,1722,73,0.8019744483159117,0.7879717648456069,0.7277530109979319,0.5723400289531635,0.880184331797235,0.695906432748538,0.7878245299910475,0.9105812781516902
narrow_x_category,logistic_batch_balanced,3,1683,73,0.8585858585858586,0.8306161154011097,0.7718787051218245,0.48503971258269135,0.9216589861751152,0.7196969696969697,0.8504923903312444,0.9305318934911836
narrow_x_category,logistic_batch_balanced,4,1797,72,0.7979966611018364,0.7203680250316621,0.7159511254222236,0.5576241121794229,0.9191685912240185,0.4032258064516129,0.8387096774193549,0.8791839145372995
narrow_x_category,logistic_batch_balanced,5,1798,73,0.7780867630700778,0.7664277180406213,0.740604769553034,0.6217594228212356,0.7258064516129032,0.7741935483870968,0.7992831541218638,0.9001937278238007
narrow_x_category,random_forest_batch_balanced,1,1715,73,0.8594752186588921,0.841737649623009,0.7963042755886792,0.4198704175905437,0.967741935483871,0.7195121951219512,0.8379588182632051,0.953053040103733
narrow_x_category,random_forest_batch_balanced,2,1722,73,0.7926829268292683,0.7666905862989539,0.7254861585535016,0.48637596590015864,0.6129032258064516,0.8304093567251462,0.8567591763652641,0.9459088092392086
narrow_x_category,random_forest_batch_balanced,3,1683,73,0.7950089126559715,0.7001411267663037,0.6665618543183522,0.5458522051187911,0.6566820276497696,0.5681818181818182,0.8755595344673232,0.9068757024909857
narrow_x_category,random_forest_batch_balanced,4,1797,72,0.8113522537562604,0.6972643693384214,0.6994566027357978,0.47310820826594807,0.8937644341801386,0.3064516129032258,0.8915770609318996,0.8901198609927331
narrow_x_category,random_forest_batch_balanced,5,1798,73,0.8047830923248054,0.7649342891278375,0.7629947730643384,0.49148049976850516,0.7096774193548387,0.7258064516129032,0.8593189964157706,0.9227749973847789
hrrp_x_category,dummy_prior,1,795,7,0.28553459119496855,0.3333333333333333,0.14807566862361382,1.0986122886681038,1.0,0.0,0.0,0.5
hrrp_x_category,dummy_prior,2,722,8,0.16897506925207756,0.3333333333333333,0.09636650868878356,1.098612288668114,0.0,1.0,0.0,0.5
hrrp_x_category,dummy_prior,3,716,8,0.5391061452513967,0.3333333333333333,0.2335148215366001,1.0986122886681045,0.0,0.0,1.0,0.5
hrrp_x_category,dummy_prior,4,687,8,0.46142649199417757,0.3333333333333333,0.2104913678618858,1.0986122886681076,1.0,0.0,0.0,0.5
hrrp_x_category,dummy_prior,5,728,7,0.3021978021978022,0.3333333333333333,0.15471167369901548,1.0986122886681102,0.0,1.0,0.0,0.5
hrrp_x_category,logistic_batch_balanced,1,795,7,0.2188679245283019,0.4952694958935375,0.20438796933271486,1.3022190498028725,0.6255506607929515,0.020257826887661142,0.84,0.6547243411442908
hrrp_x_category,logistic_batch_balanced,2,722,8,0.4806094182825485,0.494618462138954,0.405127401124822,1.3589643745008606,0.9642857142857143,0.45081967213114754,0.06875,0.7708292464658597
hrrp_x_category,logistic_batch_balanced,3,716,8,0.5432960893854749,0.6731748096788669,0.5565269163105202,1.2931583017631898,0.8603773584905661,0.8923076923076924,0.266839378238342,0.7874646936753723
hrrp_x_category,logistic_batch_balanced,4,687,8,0.6855895196506551,0.6534142823926377,0.6463409835102712,0.785218226120516,0.8706624605678234,0.35148514851485146,0.7380952380952381,0.7870475422386897
hrrp_x_category,logistic_batch_balanced,5,728,7,0.6923076923076923,0.7045382698959136,0.6898025893736707,0.7162310805750915,0.6583850931677019,0.6272727272727273,0.8279569892473119,0.8736334533968249
hrrp_x_category,random_forest_batch_balanced,1,795,7,0.31069182389937106,0.49337833269782544,0.27998753020029615,1.1703918383520182,0.5814977973568282,0.17863720073664824,0.72,0.7709489301261212
hrrp_x_category,random_forest_batch_balanced,2,722,8,0.5235457063711911,0.5639539422326308,0.47926903442471636,1.1491931857872069,0.9607142857142857,0.6311475409836066,0.1,0.8158347013449184
hrrp_x_category,random_forest_batch_balanced,3,716,8,0.5293296089385475,0.6385570436992863,0.5208976093965288,0.9891286284103796,0.8566037735849057,0.8,0.25906735751295334,0.8163968420636628
hrrp_x_category,random_forest_batch_balanced,4,687,8,0.7045123726346434,0.6603604930118969,0.6505748683401016,0.6162368729809276,0.9400630914826499,0.32673267326732675,0.7142857142857143,0.8921819495823572
hrrp_x_category,random_forest_batch_balanced,5,728,7,0.8214285714285714,0.8003501251748096,0.8018896155464371,0.5298330882714786,0.922360248447205,0.7636363636363637,0.7150537634408602,0.9296697093145195
