epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_auc
1,0.3210905060935213,0.13434571967336345,0.001,0.3271484375,0.0,0.006666666666666667,0.7163522012578616
2,0.09322286899279392,0.055526340903319746,0.001,0.191162109375,0.09433962264150944,0.013333333333333334,0.9515723270440252
3,0.04538741454763232,0.03304294834436454,0.001,0.16357421875,0.20754716981132076,0.013333333333333334,0.9950943396226415
4,0.02959992092434126,0.023660584265742395,0.001,0.18603515625,0.32075471698113206,0.013333333333333334,0.999119496855346
5,0.022491109454527376,0.019061181263016362,0.001,0.20751953125,0.33962264150943394,0.013333333333333334,1.0
6,0.018266386306038843,0.01703740915586355,0.001,0.335693359375,0.4339622641509434,0.013333333333333334,1.0
7,0.01595415774045005,0.01615876481946319,0.001,0.402587890625,0.2830188679245283,0.013333333333333334,0.9981132075471698
8,0.013641385153197053,0.013784706537506262,0.001,0.3251953125,0.5094339622641509,0.013333333333333334,0.999245283018868
9,0.012408601383696188,0.012660064736812426,0.001,0.31201171875,0.4339622641509434,0.013333333333333334,0.9978616352201258
10,0.011296132315236402,0.012507056099422313,0.001,0.54931640625,0.4528301886792453,0.013333333333333334,0.9961006289308176
11,0.0107023882280503,0.01123540044023559,0.001,0.3671875,0.49056603773584906,0.013333333333333334,0.999245283018868
12,0.009951488529093503,0.01052876647213116,0.001,0.244140625,0.49056603773584906,0.013333333333333334,0.9994968553459119
13,0.008969168366382346,0.010779819193208966,0.001,0.2978515625,0.5283018867924528,0.013333333333333334,1.0
14,0.008517217794759576,0.01009784896486425,0.001,0.2059326171875,0.5660377358490566,0.013333333333333334,0.999748427672956
15,0.00835602906014208,0.010471988954521678,0.001,0.28125,0.5660377358490566,0.013333333333333334,0.9993710691823899
16,0.007853600422153877,0.010428754362768581,0.001,0.2398681640625,0.6037735849056604,0.013333333333333334,0.999874213836478
17,0.007648933050661998,0.009951302345860474,0.001,0.401123046875,0.5471698113207547,0.013333333333333334,0.9983647798742138
18,0.00706248559296819,0.008384993401920341,0.001,0.14892578125,0.6226415094339622,0.013333333333333334,1.0
19,0.0075619260054408015,0.008482040586225285,0.001,0.2354736328125,0.6981132075471698,0.013333333333333334,0.9993710691823899
20,0.006584032944835361,0.008529786557289474,0.001,0.261962890625,0.6981132075471698,0.013333333333333334,0.999748427672956
21,0.006108979472383415,0.008468914125573459,0.001,0.1483154296875,0.660377358490566,0.013333333333333334,1.0
22,0.006056931399334864,0.009931005366901257,0.001,0.1923828125,0.6792452830188679,0.013333333333333334,0.999874213836478
23,0.0057834811917207435,0.007955163575334961,0.001,0.1177978515625,0.6981132075471698,0.013333333333333334,1.0
24,0.005568958178628236,0.007809590895228969,0.001,0.2384033203125,0.6981132075471698,0.013333333333333334,1.0
25,0.005244347140710108,0.007235823946963683,0.001,0.12274169921875,0.7358490566037735,0.013333333333333334,1.0
26,0.005371738233537014,0.007960949190307336,0.001,0.23974609375,0.6415094339622641,0.013333333333333334,0.999748427672956
27,0.005144883967331056,0.007480014493778403,0.001,0.3037109375,0.8301886792452831,0.013333333333333334,0.999874213836478
28,0.004756282979868493,0.007369410672702189,0.001,0.1527099609375,0.7169811320754716,0.013333333333333334,1.0
29,0.004970317479910836,0.00756558903901301,0.001,0.223388671875,0.7169811320754716,0.013333333333333334,0.999874213836478
30,0.005014427131132255,0.006967925044519855,0.001,0.35107421875,0.7547169811320755,0.013333333333333334,0.999245283018868
31,0.0045420529489967765,0.007156151946716634,0.001,0.2193603515625,0.7924528301886793,0.013333333333333334,1.0
32,0.004705253415449203,0.00660258811067565,0.001,0.203369140625,0.7547169811320755,0.013333333333333334,1.0
33,0.0044991735937237,0.006580623394059558,0.001,0.314697265625,0.7358490566037735,0.013333333333333334,1.0
34,0.004284324915436375,0.006808327057621364,0.001,0.30419921875,0.7547169811320755,0.013333333333333334,1.0
35,0.004227590561258252,0.006995760951549035,0.001,0.1959228515625,0.7547169811320755,0.013333333333333334,1.0
36,0.004056148060054312,0.006221635269289011,0.001,0.272705078125,0.8113207547169812,0.013333333333333334,1.0
37,0.0046863931202096865,0.007192502424793015,0.001,0.349365234375,0.6981132075471698,0.013333333333333334,0.999811320754717
38,0.004176465047001236,0.006584856155950099,0.001,0.384033203125,0.8301886792452831,0.013333333333333334,1.0
39,0.00392674267690298,0.00645617175711952,0.001,0.16845703125,0.7924528301886793,0.013333333333333334,1.0
40,0.003772804061248346,0.006467685181122237,0.001,0.28564453125,0.7358490566037735,0.013333333333333334,1.0
41,0.0038206739582728865,0.005903896600411737,0.001,0.268310546875,0.8490566037735849,0.013333333333333334,1.0
42,0.0036331811755305064,0.005837264078929608,0.001,0.291015625,0.8679245283018868,0.013333333333333334,0.999748427672956
43,0.0037887979863177623,0.005990274280829819,0.001,0.2685546875,0.8113207547169812,0.013333333333333334,1.0
44,0.003622824004211154,0.005873315239020078,0.001,0.264892578125,0.8490566037735849,0.013333333333333334,1.0
45,0.0035818726720377512,0.005829481451942476,0.001,0.17333984375,0.8113207547169812,0.013333333333333334,1.0
46,0.003357452122949414,0.006443571178096328,0.001,0.2135009765625,0.7547169811320755,0.013333333333333334,1.0
47,0.0037518307942246915,0.0062185804314597104,0.001,0.2315673828125,0.7547169811320755,0.013333333333333334,1.0
48,0.003601244990417365,0.006273962783408145,0.001,0.2568359375,0.8113207547169812,0.013333333333333334,1.0
49,0.0035226912933685427,0.006014031490249092,0.001,0.1728515625,0.8490566037735849,0.013333333333333334,1.0
50,0.0032871099877453,0.005373838492393897,0.001,0.2137451171875,0.8867924528301887,0.013333333333333334,1.0
51,0.003517849675211503,0.006526713296220514,0.001,0.1290283203125,0.7547169811320755,0.013333333333333334,1.0
52,0.0031312897627560716,0.005188898302759778,0.001,0.1668701171875,0.8490566037735849,0.013333333333333334,1.0
53,0.0032651344124532762,0.005602003821201068,0.001,0.2310791015625,0.8113207547169812,0.013333333333333334,1.0
54,0.003018052851269147,0.005334932891658583,0.001,0.07861328125,0.8490566037735849,0.013333333333333334,1.0
55,0.0030451691940092955,0.00532963900694112,0.001,0.2607421875,0.8679245283018868,0.013333333333333334,1.0
56,0.003008061904156445,0.005691359555335851,0.001,0.18505859375,0.8301886792452831,0.013333333333333334,1.0
57,0.0029555090891421366,0.005656928174628353,0.001,0.23583984375,0.8490566037735849,0.013333333333333334,1.0
58,0.003200274290776789,0.005424193073724445,0.0005,0.1497802734375,0.7924528301886793,0.013333333333333334,1.0
59,0.0026799558936520993,0.005161046490487252,0.0005,0.1441650390625,0.8113207547169812,0.013333333333333334,1.0
60,0.0025516007031209584,0.005139609720151334,0.0005,0.219482421875,0.8679245283018868,0.013333333333333334,1.0
61,0.002517104443511612,0.00516863954809765,0.0005,0.2010498046875,0.8301886792452831,0.013333333333333334,1.0
62,0.002498768637147594,0.0050946783097065166,0.0005,0.1591796875,0.8490566037735849,0.013333333333333334,1.0
63,0.002500060074046415,0.005138452795041402,0.0005,0.1610107421875,0.8113207547169812,0.013333333333333334,1.0
64,0.002464138081383884,0.0055764112184629915,0.0005,0.15625,0.7924528301886793,0.013333333333333334,1.0
65,0.0024847469993583317,0.005090987628450264,0.0005,0.1485595703125,0.8490566037735849,0.013333333333333334,1.0
66,0.002458418386208108,0.005282155125583419,0.0005,0.137451171875,0.8490566037735849,0.013333333333333334,1.0
67,0.0024088365582007453,0.00591640815329067,0.0005,0.17431640625,0.7169811320754716,0.013333333333333334,1.0
68,0.0024886491959174024,0.005023043791449794,0.0005,0.222412109375,0.8490566037735849,0.013333333333333334,1.0
69,0.0024421676358577075,0.004967818116352565,0.0005,0.1651611328125,0.8490566037735849,0.013333333333333334,1.0
70,0.0023586140798112676,0.005212710659815919,0.0005,0.142333984375,0.8679245283018868,0.013333333333333334,1.0
