epoch,learning_rate,train_loss,train_background_tail_loss,train_positive_floor_loss,train_pairwise_loss,train_shift_penalty,val_loss,val_background_tail_loss,val_positive_floor_loss,val_pairwise_loss,val_shift_penalty,selected_threshold,selected_pd,selected_pfa,selected_auc,base_threshold_pd,base_threshold_pfa,shift_mean,shift_background_mean,shift_positive_mean
1,0.0005,0.002276651153806597,0.0,0.0,0.011383205652236938,9.982992708046368e-07,9.953071256063595e-09,0.0,0.0,0.0,9.953071469226416e-07,0.07786598801612854,1.0,0.25,1.0,1.0,0.0,0.0009976505825761706,0.0009983225754695013,0.0009969785896828398
2,0.0005,0.0020567312312778085,0.0,0.0,0.010283606126904488,9.935273794781097e-07,9.907755060822865e-09,0.0,0.0,0.0,9.90775532727639e-07,0.0778660848736763,1.0,0.25,1.0,1.0,0.0,0.0009953761473298073,0.0009967406513169408,0.0009940116433426738
3,0.0005,0.001350595732307669,0.0,0.0,0.00675292918458581,9.89375450899388e-07,9.86391790469554e-09,0.0,0.0,0.0,9.86391796686803e-07,0.07786620408296585,1.0,0.25,1.0,1.0,0.0,0.0009931705571943894,0.0009951792744686827,0.000991161839920096
