epoch,learning_rate,train_loss,train_background_tail_loss,train_positive_floor_loss,train_pairwise_loss,train_shift_penalty,val_loss,val_background_tail_loss,val_positive_floor_loss,val_pairwise_loss,val_shift_penalty,selected_threshold,selected_pd,selected_pfa,selected_auc,base_threshold_pd,base_threshold_pfa,shift_mean,shift_background_mean,shift_positive_mean
1,0.0005,0.2450823580241835,0.23344031284811764,0.005775839813314679,0.029330991106886025,1.0977432285199764e-06,0.003001640226851934,0.0007722645704382159,0.0021093266218015524,0.0006001809327473194,1.2852865892244584e-06,0.33760207891464233,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.0011335864744557462,0.0011242854362353682,0.0011599101675322876
2,0.0005,0.24835037454370298,0.2344552561255918,0.007703306861322203,0.030958961238557438,2.0442504514989503e-06,0.003004282690122869,0.0007677068704454769,0.0021164544376033115,0.0006004109097819023,3.916866188518917e-06,0.3373872935771942,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.001970669275305688,0.0018661354730526607,0.0022665196590406717
3,0.0005,0.2711908627725696,0.2587991421360644,0.005850208416139341,0.03270343624462055,8.229497393034336e-05,0.0031634832954349906,0.0006649516926610412,0.0023689561789015795,0.0006154207833882036,0.0006491238396990989,0.3314396142959595,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.013333333333333334,0.023023206589220486,0.016687251993765435,0.0409551535574895
4,0.0005,0.15380658516585025,0.11451836398268003,0.02513204385978176,0.04341247884652043,0.5473679951329357,0.08765771163838544,0.0,0.07709214047258123,0.0022882108617885946,1.0107929354230758,0.1707102209329605,0.9433962264150944,0.013333333333333334,1.0,0.9245283018867925,0.0,0.8208077811255243,0.48407783269882204,1.7738170691256254
5,0.00025,0.10347206261375483,0.050627368694767694,0.034401952236328484,0.04887586916392704,0.866756636498752,0.05498128544007029,0.0,0.047561518664430515,0.0018233405839046233,0.7055097636330891,0.18805840611457825,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6885235008641417,0.4103044444322586,1.4759359247279618
6,0.00025,0.0951787838235377,0.03445482052576469,0.04125892044395846,0.050337124686196166,0.9397618256489222,0.04439204201799602,0.0,0.03823113969981377,0.0016480828153676,0.5831286642938999,0.19716764986515045,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6262374965134513,0.37382177213827766,1.3406216221035652
7,0.00025,0.10967200168601747,0.04046799139119057,0.051889602847509035,0.04669553748359578,0.7975301401955741,0.04856556341088758,0.0,0.041902812060170574,0.0016976131007001905,0.6323228786731588,0.1907939910888672,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6558749531877452,0.39656341195106504,1.3897755415934436
8,0.00025,0.0978515990093511,0.03933881677880462,0.041440593184165236,0.044937561539747324,0.8084674265506775,0.048721903476295216,0.0,0.04205952256257311,0.0016881052790016964,0.6324760303121483,0.18929560482501984,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6577166020870209,0.40015480697155,1.3866650788289197
9,0.000125,0.08037433784324526,0.03497548149462483,0.02696494725840342,0.04590404795286951,0.9253098961477974,0.05483417318482411,0.0,0.04746943033240699,0.0017648176313033832,0.7011780633127748,0.181871697306633,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6956855446247044,0.4276344593365987,1.454320691666513
10,0.000125,0.09054536804195364,0.0386596293473551,0.03415773519290664,0.04576149152596845,0.8575706510852289,0.051315532731158395,0.0,0.04436104517118097,0.0017091940189230032,0.6612647859921009,0.18469756841659546,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6758933262578373,0.415975123445193,1.4115108813879624
11,0.000125,0.11087176671146222,0.03861577593347414,0.053781486646023724,0.04907942325318599,0.8658617307555001,0.05577929312445847,0.0,0.048316003580398746,0.0017663070133754186,0.7110028131842026,0.17972156405448914,0.9433962264150944,0.013333333333333334,1.0,0.9245283018867925,0.0,0.7025700753251908,0.4347499599059423,1.4605515340589128
12,0.000125,0.08650565165474088,0.03088451538671428,0.0373959865660977,0.04516279138122607,0.9192590279720543,0.05414752471329543,0.0,0.04687350522267995,0.0017377811993284178,0.6926464100776635,0.18060873448848724,0.9433962264150944,0.013333333333333334,1.0,0.9433962264150944,0.0,0.6941448433939459,0.4305719091494878,1.4401059780480727
