epoch,learning_rate,train_loss,train_background_classification_loss,train_background_tail_loss,train_target_keep_loss,train_pairwise_loss,train_shift_selectivity_loss,train_shift_regularization,train_background_shift_mean,train_target_shift_mean,val_loss,val_background_classification_loss,val_background_tail_loss,val_target_keep_loss,val_pairwise_loss,val_shift_selectivity_loss,val_shift_regularization,val_background_shift_mean,val_target_shift_mean,selected_threshold,selected_pd,selected_pfa,selected_auc,base_pd,base_pfa,raw_base_pd,pd_floor_satisfied,background_shift_mean,target_shift_mean,background_probability_mean,target_probability_mean
1,0.0005,1.5444222291310628,1.5224378108978271,0.0,0.0,0.00994640247275432,0.03998981788754463,2.5092858171168093e-05,0.005018763865033786,0.004993299798419078,1.0432948395609856,1.0283830265204112,0.0,0.0,0.008000889793038368,0.026622769733270008,2.5373055298890296e-05,0.0034134872257709503,0.004954130078355472,0.08290180563926697,1.0,0.16666666666666666,1.0,1.0,0.0,1.0,True,0.005120230644630889,0.004952709500988324,0.05065540472666422,0.04992506622026364
2,0.0005,1.5376070737838745,1.5157311757405598,0.0,0.0,0.009575742607315382,0.03992095962166786,2.546242952424412e-05,0.005143856008847554,0.004946147091686726,1.0384140809377034,1.0235295295715332,0.0,0.0,0.00799932268758615,0.026568926870822906,2.5815035769483075e-05,0.003509221908946832,0.004893991320083539,0.08289093524217606,1.0,0.16666666666666666,1.0,1.0,0.0,1.0,True,0.005263832863420248,0.00489101776232322,0.05138088638583819,0.049757326021790504
3,0.0005,1.530235767364502,1.5083931684494019,0.0,0.0,0.009618869672218958,0.03983707105120023,2.5929516899244238e-05,0.005291799083352089,0.004884047744174798,1.0331228151917458,1.0182706117630005,0.0,0.0,0.007997451970974604,0.026504928867022198,2.6295387821543652e-05,0.003617958165705204,0.004814899526536465,0.08287867158651352,1.0,0.16666666666666666,1.0,1.0,0.0,1.0,True,0.005426937170947592,0.004810294679676493,0.0521681330477198,0.04947918249915043
4,0.0005,1.5223228534062703,1.5005428791046143,0.0,0.0,0.009553180697063604,0.039738127340873085,2.6429768695379607e-05,0.005458287118623654,0.004802520386874676,1.0275107957422733,1.0126957098642986,0.0,0.0,0.007995297511418661,0.026431495944658916,2.6814578935348738e-05,0.003737932691971461,0.004716923460364342,0.0828651711344719,1.0,0.16666666666666666,1.0,1.0,0.0,1.0,True,0.005606899115567406,0.004710785540131231,0.05300413568814596,0.04907916206866503
