epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_zero_false_peak_rate,train_zero_false_peak_count,train_zero_eligible_count,train_fused_base_loss,train_notch_base_loss,train_ranking_loss,train_band_energy_loss,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_zero_false_peak_rate,val_zero_false_peak_count,val_zero_eligible_count,val_fused_base_loss,val_notch_base_loss,val_ranking_loss,val_band_energy_loss,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
1,0.0003,0.17737187837299548,2.460526315789474,1.8114035087719298,0.05752212389380531,13.0,226.0,0.09066369293028848,0.08543620872915837,0.07604103195562698,0.001629977556292847,0.3991228070175439,0.9342105263157895,0.9342105263157895,0.23987148139211867,4.155555555555556,4.911111111111111,0.044444444444444446,2.0,45.0,0.10174397627512614,0.09082456661595238,0.13825531519121595,0.0018392421654425562,0.4666666666666667,0.8444444444444444,0.8444444444444444,True
2,0.0003,0.176018861955718,2.539473684210526,1.8333333333333333,0.05309734513274336,12.0,226.0,0.09050588322836056,0.08393193899016631,0.07511838172611437,0.001591268702393154,0.40350877192982454,0.9342105263157895,0.9342105263157895,0.2375406781832377,4.155555555555556,4.911111111111111,0.044444444444444446,2.0,45.0,0.10151564743783739,0.08965851465861002,0.13607463555203544,0.0017850867446718944,0.4666666666666667,0.8444444444444444,0.8444444444444444,True
3,0.0003,0.1749909504463798,2.504385964912281,1.6929824561403508,0.048672566371681415,11.0,226.0,0.09034632094073713,0.08362170883960891,0.07415262191442021,0.0015734419773484351,0.40350877192982454,0.9385964912280702,0.9385964912280702,0.23538291917906867,4.155555555555556,4.911111111111111,0.044444444444444446,2.0,45.0,0.10126980443795522,0.08977006706926557,0.13365342203113767,0.0017290418217372563,0.4666666666666667,0.8444444444444444,0.8444444444444444,True
4,0.0003,0.174006597776162,2.4649122807017543,1.631578947368421,0.04424778761061947,10.0,226.0,0.09010767662211468,0.08348484651038521,0.07328151088011892,0.0015217037691735115,0.40350877192982454,0.9429824561403509,0.9429824561403509,0.23171708186467488,4.2,4.911111111111111,0.044444444444444446,2.0,45.0,0.10088696678479513,0.08966076456838185,0.12961024857229655,0.0016245419431167344,0.4444444444444444,0.8444444444444444,0.8444444444444444,False
5,0.0003,0.17099424360091225,2.4517543859649122,1.6359649122807018,0.04424778761061947,10.0,226.0,0.08978685553659473,0.08411699481177748,0.06970033683536346,0.001413460248461568,0.41228070175438597,0.9429824561403509,0.9429824561403509,0.22627821266651155,4.2,4.933333333333334,0.044444444444444446,2.0,45.0,0.10022863944371542,0.09247191349665324,0.12261709140406715,0.0014287596736620699,0.4222222222222222,0.8444444444444444,0.8444444444444444,False
6,0.0003,0.16908185027147593,2.3508771929824563,1.530701754385965,0.035398230088495575,8.0,226.0,0.08919552465279897,0.0877992263750026,0.06669899448752403,0.0012490831918267307,0.42105263157894735,0.9473684210526315,0.9473684210526315,0.21925384667184616,3.9555555555555557,3.888888888888889,0.0,0.0,45.0,0.09954838256041208,0.0924055516719818,0.11476309365696377,0.0011554584696164562,0.4222222222222222,0.8888888888888888,0.8888888888888888,True
7,0.0003,0.16151824423618483,2.3596491228070176,1.3991228070175439,0.030973451327433628,7.0,226.0,0.08838790263000287,0.08917660592940815,0.057786937280182256,0.0009854119313903375,0.41228070175438597,0.9517543859649122,0.9517543859649122,0.18256685733795167,4.066666666666666,3.933333333333333,0.0,0.0,45.0,0.09736283090379504,0.10994356705082788,0.06513117204109828,0.0007734410240017395,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
8,0.0003,0.15542454651573248,2.412280701754386,1.4210526315789473,0.030973451327433628,7.0,226.0,0.08780505390543687,0.09477888622827697,0.04881842617402997,0.0008738885713699057,0.38596491228070173,0.9517543859649122,0.9517543859649122,0.1748207645283805,2.977777777777778,2.422222222222222,0.0,0.0,45.0,0.09709324108229743,0.10133378671275245,0.05903854187991884,0.0006436816947421499,0.4,0.9333333333333333,0.9333333333333333,True
9,0.0003,0.14357047214319832,2.5,1.2149122807017543,0.01327433628318584,3.0,226.0,0.08690168224928672,0.09988172953588921,0.03327107377219619,0.0005827391233097968,0.35964912280701755,0.9649122807017544,0.9649122807017544,0.14704319073094263,3.0444444444444443,2.466666666666667,0.0,0.0,45.0,0.0959930572244856,0.10536522583829032,0.02421149073375596,0.0004758017910186633,0.37777777777777777,0.9333333333333333,0.9333333333333333,False
10,0.0003,0.1384714470620741,2.486842105263158,1.0526315789473684,0.008849557522123894,2.0,226.0,0.08663301601221687,0.09859339330802884,0.02774285982575333,0.0004408199821644004,0.35526315789473684,0.9692982456140351,0.9692982456140351,0.1408648603492313,3.0444444444444443,2.466666666666667,0.0,0.0,45.0,0.09556458277834787,0.10521679868300755,0.01709849726822641,0.0003762529776028916,0.37777777777777777,0.9333333333333333,0.9333333333333333,False
