epoch,stage,train_loss,train_fusion_loss,train_h_aux_loss,train_v_aux_loss,val_loss,val_fusion_loss,val_h_aux_loss,val_v_aux_loss,fusion_lr,branch_lr,val_threshold,val_joint_pd,val_pfa,val_score_recall,val_auc,val_range_mae_gates,val_velocity_mae_bins
1,warmup,0.2846036052088375,0.28220513948927756,0.0058361112143915225,0.006156219516212687,0.1957875412134897,0.19309599144118172,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.39306640625,0.8666666666666667,0.013333333333333334,0.9833333333333333,0.9994444444444445,2.033333333333333,1.5666666666666667
2,warmup,0.15770277567207813,0.15530430845430362,0.005836111225779978,0.0061562195152636496,0.13031619375660305,0.12762464795793807,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.355224609375,0.7833333333333333,0.013333333333333334,0.9833333333333333,0.9994444444444445,2.2666666666666666,1.6333333333333333
3,warmup,0.10655579321167391,0.10415732676325284,0.005836111245393429,0.006156219496441064,0.09018817238864445,0.08749662602231616,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.3095703125,0.7666666666666667,0.013333333333333334,1.0,1.0,3.1,3.183333333333333
4,warmup,0.07491984392475823,0.07252137725362959,0.005836111246342467,0.0061562195518806975,0.06490718048243295,0.06221563425802049,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.26953125,0.8,0.013333333333333334,1.0,1.0,3.033333333333333,3.3333333333333335
5,warmup,0.054990129626315574,0.05259166324875601,0.005836111251720349,0.006156219567144391,0.04880788979076204,0.046116343424433756,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.2352294921875,0.75,0.013333333333333334,1.0,1.0,3.1166666666666667,3.55
6,warmup,0.042015122583783836,0.0396166562669627,0.005836111224514594,0.006156219438233403,0.03813844266391936,0.03544689622663316,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.23095703125,0.75,0.013333333333333334,1.0,1.0,3.183333333333333,3.5166666666666666
7,warmup,0.03322257919479971,0.03082411323228608,0.005836111204426625,0.006156219503598391,0.03110039514445123,0.028408848653946606,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.218994140625,0.75,0.013333333333333334,1.0,1.0,3.216666666666667,3.6333333333333333
8,warmup,0.027137659211724025,0.024739192980949,0.005836111242388142,0.0061562195125747085,0.02579963281750679,0.02310808632700216,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.2161865234375,0.7666666666666667,0.013333333333333334,1.0,0.9998888888888889,3.1666666666666665,3.5166666666666666
9,warmup,0.0227606484423513,0.020362182302683916,0.0058361111990487425,0.006156219497587817,0.021970484654108682,0.019278938021688233,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.19677734375,0.7666666666666667,0.013333333333333334,1.0,0.9998888888888889,3.0833333333333335,3.25
10,warmup,0.019496352634514155,0.017097886535339057,0.005836111203635759,0.006156219522618694,0.01913679935747669,0.01644525286697206,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.2049560546875,0.8,0.013333333333333334,1.0,0.9997777777777778,3.033333333333333,3.183333333333333
11,warmup,0.017035505157368985,0.014637039002516995,0.005836111260973469,0.006156219525070375,0.01690901235810348,0.014217465770031724,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.2132568359375,0.8166666666666667,0.013333333333333334,1.0,0.9997777777777778,3.05,3.1333333333333333
12,warmup,0.015104827030723833,0.012706360815133414,0.005836111219255342,0.006156219509015817,0.015121365675613993,0.012429819123021194,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.222412109375,0.8,0.013333333333333334,1.0,0.9997777777777778,3.033333333333333,3.05
13,warmup,0.013589747741049074,0.011191281606443226,0.005836111227678054,0.006156219462196611,0.013740261919086888,0.011048715366494087,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.235595703125,0.8,0.013333333333333334,1.0,0.9997777777777778,3.033333333333333,3.05
14,warmup,0.012375112524276356,0.009976646296032097,0.005836111274655433,0.006156219543102096,0.012642304812158858,0.009950758224087102,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.2374267578125,0.8,0.013333333333333334,1.0,0.9997777777777778,2.9833333333333334,3.033333333333333
15,warmup,0.011357352372927024,0.008958886213013497,0.005836111222774692,0.0061562194636992544,0.011715845976557051,0.009024299494922162,0.006601852316470329,0.006855880570115654,0.0003,3e-05,0.23876953125,0.8,0.013333333333333334,0.9833333333333333,0.9996666666666667,2.9166666666666665,3.033333333333333
16,partial,0.01038591798050734,0.008060870325172564,0.005767874621122483,0.005857363580498318,0.011125067643643845,0.008367775522527241,0.006916914297783348,0.006869546068871083,0.0003,3e-05,0.19091796875,0.7833333333333333,0.013333333333333334,1.0,0.9997777777777778,3.0833333333333335,3.0833333333333335
17,partial,0.009613556533029465,0.00730346204996433,0.005744076008103666,0.0058063963165098,0.010457203736794846,0.0076862063924116744,0.0069517001005200045,0.006903286828102344,0.0003,3e-05,0.1614990234375,0.8166666666666667,0.013333333333333334,0.9833333333333333,0.9996666666666667,2.9833333333333334,3.1
18,partial,0.008958833841303282,0.006646168397982483,0.005755267294776074,0.0058080598139539415,0.010112384759954044,0.0072899677702004005,0.007108869389741726,0.007003215304367976,0.0003,3e-05,0.1617431640625,0.8,0.013333333333333334,0.9833333333333333,0.9996666666666667,3.0,3.2333333333333334
19,partial,0.008457976259270927,0.006144744952705324,0.005763681171589744,0.00580247520425157,0.009426987046996753,0.006627609075180122,0.007011611839351688,0.006985278394131456,0.0003,3e-05,0.1790771484375,0.8166666666666667,0.013333333333333334,0.9833333333333333,0.9996666666666667,2.9833333333333334,3.0833333333333335
