epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
1,0.001,0.2906389822039688,59.66228070175438,63.44736842105263,0.0,0.0,0.0,0.26135867834091187,70.2,55.77777777777778,0.0,0.0,0.0,True
2,0.001,0.2504531186923646,42.32017543859649,29.30701754385965,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.24123480253749424,40.022222222222226,22.377777777777776,0.0,0.0,0.0,True
3,0.001,0.23412521105063588,38.11842105263158,22.56578947368421,0.0,0.0,0.0,0.22873008218076493,46.666666666666664,22.266666666666666,0.0,0.0,0.0,True
4,0.001,0.22402590068808773,50.35087719298246,21.80263157894737,0.021929824561403508,0.03070175438596491,0.03070175438596491,0.2208147151602639,55.333333333333336,22.266666666666666,0.0,0.0,0.0,False
5,0.001,0.21751811342281208,37.328947368421055,21.969298245614034,0.017543859649122806,0.021929824561403508,0.021929824561403508,0.21531699498494467,55.266666666666666,22.266666666666666,0.0,0.0,0.0,False
6,0.001,0.21269451970593972,56.578947368421055,22.18859649122807,0.0043859649122807015,0.013157894736842105,0.013157894736842105,0.21122994654708438,62.17777777777778,22.266666666666666,0.0,0.0,0.0,False
7,0.001,0.20896296647557042,60.08771929824562,22.18859649122807,0.008771929824561403,0.013157894736842105,0.013157894736842105,0.20885387923982407,59.62222222222222,22.266666666666666,0.0,0.0,0.0,False
8,0.001,0.20609975880698153,44.21052631578947,19.45175438596491,0.08333333333333333,0.14035087719298245,0.14035087719298245,0.20592607524659898,30.88888888888889,16.11111111111111,0.2,0.3333333333333333,0.3333333333333333,True
9,0.001,0.20381144447284832,20.916666666666668,13.333333333333334,0.18421052631578946,0.43859649122807015,0.43859649122807015,0.20290618042151135,18.755555555555556,11.977777777777778,0.26666666666666666,0.4888888888888889,0.4888888888888889,True
10,0.001,0.2015537650961625,7.964912280701754,8.114035087719298,0.15350877192982457,0.6578947368421053,0.6578947368421053,0.20282754798730215,9.511111111111111,7.222222222222222,0.35555555555555557,0.6666666666666666,0.6666666666666666,True
11,0.001,0.19941823524341248,5.942982456140351,7.315789473684211,0.13596491228070176,0.7149122807017544,0.7149122807017544,0.1990565280119578,4.822222222222222,6.444444444444445,0.28888888888888886,0.7333333333333333,0.7333333333333333,True
12,0.001,0.19720605460175297,4.3201754385964914,5.219298245614035,0.12280701754385964,0.7894736842105263,0.7894736842105263,0.1977734045849906,6.844444444444444,7.111111111111111,0.24444444444444444,0.6666666666666666,0.6666666666666666,False
