0,1,2,3,4,5,6
0.00016335717,7.5709286e-05,9.114301e-05,0.00022697508,0.0006830525,0.00016028309,7.3185684e-06
2.3332072e-05,1.6154972e-05,4.477412e-05,0.00019046808,0.0058451025,6.249936e-05,1.4329834e-07
2.798664e-05,9.205256e-06,0.00012533947,0.0010546853,0.0252128,0.0002765121,6.30228e-08
2.8675966e-05,8.6540185e-06,0.00015592408,0.0010053676,0.023153761,0.00025580384,5.9524503e-08
2.983477e-05,1.023782e-05,0.00015135907,0.0012884745,0.021356096,0.00032015124,5.2262838e-08
2.758582e-05,1.0360771e-05,0.00014609612,0.0011480044,0.021786116,0.00028648932,5.9464426e-08
3.0278701e-05,9.978691e-06,0.0001321804,0.0010514514,0.023648608,0.00029641512,5.2600818e-08
2.8467452e-05,8.627205e-06,0.00013984552,0.0011103437,0.02138149,0.00035433986,7.0031234e-08
3.1987543e-05,9.248204e-06,0.00011627971,0.0014797598,0.025984026,0.00032516752,5.948172e-08
3.0847445e-05,9.187319e-06,0.00012508316,0.0013240739,0.025844151,0.00031326577,6.571558e-08
2.6959739e-05,7.976032e-06,0.00013067073,0.001099253,0.017868899,0.00034812148,6.964017e-08
2.730873e-05,1.0573164e-05,0.00012514358,0.0010539048,0.021585977,0.0003579859,5.9792576e-08
2.6298456e-05,9.3713525e-06,0.00013206426,0.0011282631,0.020393148,0.00034705282,7.150389e-08
2.7878092e-05,1.0584997e-05,0.00019704102,0.0011972963,0.020157004,0.0003494173,6.77314e-08
1.4501391e-05,9.9081735e-06,0.00023503785,0.0009083325,0.013148151,0.00037841307,6.435984e-08
8.33555e-06,1.2668558e-05,0.00029585478,0.00058697036,0.0070331646,0.00027177023,7.7314944e-08
1.327106e-05,9.583746e-06,0.00019000885,0.00042840544,0.011821488,0.0009140872,4.2221913e-08
2.3042829e-05,1.849248e-05,0.00018745165,0.0007678979,0.0166552,0.00035263985,8.841156e-08
2.3069706e-05,1.6079217e-05,0.00022161363,0.0013516946,0.02917901,0.0002568474,7.8527435e-08
2.8177286e-05,1.3388151e-05,0.00014200286,0.0013363131,0.022632444,0.000275345,6.47097e-08
2.9345865e-05,1.08024315e-05,0.00011673102,0.0012480703,0.025185175,0.00028293618,7.125666e-08
3.0801944e-05,9.456022e-06,0.0001492753,0.0011704197,0.023155754,0.00027736093,6.065833e-08
3.1152158e-05,8.237469e-06,0.00014495423,0.0011103202,0.02125191,0.00032779985,8.2380524e-08
2.924965e-05,8.960458e-06,0.00012637294,0.0012981441,0.025832366,0.00031802256,6.24685e-08
2.6849426e-05,9.865821e-06,0.00015732207,0.0011828402,0.028680036,0.00031278672,5.8639273e-08
2.6008176e-05,9.360378e-06,0.00015879374,0.0010450706,0.023009919,0.00027379702,6.135327e-08
3.2571814e-05,1.1030444e-05,0.00014611999,0.00094219355,0.023116155,0.00024474526,5.486633e-08
2.6297492e-05,9.602043e-06,0.00014924862,0.0009892437,0.02144214,0.0003135164,6.8220004e-08
3.2225307e-05,9.640819e-06,0.00012682645,0.0009947679,0.023536945,0.00027844124,6.374388e-08
3.136505e-05,8.908044e-06,0.0001427706,0.0009751098,0.024779735,0.00026295325,5.805717e-08
2.7415763e-05,6.1984288e-06,7.1174254e-05,0.00038854626,0.012718185,0.00022640351,5.355322e-08
1.6522883e-05,1.0096056e-05,3.2911074e-05,6.2210456e-05,0.00025711063,3.7169968e-05,2.1326243e-06
