epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_auc
1,0.32051399954647386,0.13896513733957788,0.001,0.367919921875,0.0,0.013333333333333334,0.3237735849056604
2,0.09652382089201653,0.05773370544164639,0.001,0.218994140625,0.0,0.006666666666666667,0.3829559748427673
3,0.047234678374869485,0.034917797728125095,0.001,0.322509765625,0.0,0.013333333333333334,0.51937106918239
4,0.030514272637765683,0.024393790516213244,0.001,0.37255859375,0.0,0.013333333333333334,0.8522641509433962
5,0.023084899360399362,0.01954180540819767,0.001,0.46923828125,0.07547169811320754,0.013333333333333334,0.9077358490566038
6,0.018461750029533538,0.018310449177885584,0.001,0.160400390625,0.09433962264150944,0.013333333333333334,0.4541509433962264
7,0.016179112767715338,0.014706184036956338,0.001,0.71435546875,0.018867924528301886,0.013333333333333334,0.9318867924528302
8,0.013725493322917313,0.014340916196609219,0.001,0.63232421875,0.05660377358490566,0.013333333333333334,0.8716352201257862
9,0.012629846687054618,0.012697344361414464,0.001,0.5732421875,0.11320754716981132,0.013333333333333334,0.9280503144654088
10,0.011892708966061673,0.012301811214371268,0.001,0.74169921875,0.11320754716981132,0.013333333333333334,0.9246540880503145
11,0.011243798080932179,0.012322106332119023,0.001,0.74853515625,0.18867924528301888,0.013333333333333334,0.9653459119496856
12,0.010259850309644587,0.012504026598843008,0.001,0.75537109375,0.24528301886792453,0.013333333333333334,0.9512578616352201
13,0.00992212414922258,0.010738776649206217,0.001,0.654296875,0.18867924528301888,0.013333333333333334,0.9540880503144654
14,0.00925249061258535,0.010458522890304477,0.001,0.7880859375,0.32075471698113206,0.013333333333333334,0.960440251572327
15,0.009960442502177107,0.012760088329428229,0.001,0.634765625,0.37735849056603776,0.013333333333333334,0.8807547169811321
16,0.008519704151155572,0.010267960393957316,0.001,0.78369140625,0.3018867924528302,0.013333333333333334,0.9649056603773585
17,0.0087755728538733,0.009896233194425078,0.001,0.771484375,0.33962264150943394,0.013333333333333334,0.949685534591195
18,0.007768196403990297,0.01041531037846626,0.001,0.84765625,0.37735849056603776,0.013333333333333334,0.9668553459119497
19,0.007888006086579231,0.009760597908268385,0.001,0.740234375,0.4339622641509434,0.013333333333333334,0.9713207547169811
20,0.007799441945636168,0.010107260305787725,0.001,0.83154296875,0.3584905660377358,0.013333333333333334,0.9572955974842767
