epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
1,0.001,0.29055959195421455,59.68421052631579,61.94298245614035,0.0,0.0,0.0,0.2611954106224908,66.77777777777777,53.022222222222226,0.0,0.0,0.0,True
2,0.001,0.2504083922034816,37.719298245614034,25.964912280701753,0.0,0.0,0.0,0.2411299596230189,37.4,23.733333333333334,0.0,0.0,0.0,True
3,0.001,0.2342172542162109,37.13157894736842,22.5,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.2287646664513482,53.06666666666667,22.266666666666666,0.0,0.0,0.0,True
4,0.001,0.22418521030953056,53.574561403508774,21.99122807017544,0.03070175438596491,0.03070175438596491,0.03070175438596491,0.2209036459525426,46.86666666666667,22.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,True
5,0.001,0.21774732517568687,34.3640350877193,22.280701754385966,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.2155110971795188,33.17777777777778,22.266666666666666,0.0,0.0,0.0,False
6,0.001,0.21305790517413825,35.824561403508774,22.280701754385966,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.21171957817342546,58.666666666666664,21.066666666666666,0.044444444444444446,0.044444444444444446,0.044444444444444446,True
7,0.001,0.20972589704028347,56.771929824561404,21.986842105263158,0.021929824561403508,0.02631578947368421,0.02631578947368421,0.2087180319759581,56.888888888888886,20.644444444444446,0.022222222222222223,0.06666666666666667,0.06666666666666667,True
8,0.001,0.20695097561468156,49.10526315789474,20.280701754385966,0.06140350877192982,0.10087719298245613,0.10087719298245613,0.20762685305542417,38.0,16.68888888888889,0.022222222222222223,0.3111111111111111,0.3111111111111111,True
9,0.001,0.20514559981070066,35.67982456140351,16.333333333333332,0.09649122807017543,0.2850877192982456,0.2850877192982456,0.2042766233285268,30.533333333333335,14.88888888888889,0.022222222222222223,0.4,0.4,True
10,0.001,0.20280476646465168,16.539473684210527,9.714912280701755,0.07017543859649122,0.5701754385964912,0.5701754385964912,0.20322206715742747,11.733333333333333,9.866666666666667,0.06666666666666667,0.6222222222222222,0.6222222222222222,True
11,0.001,0.2008114498958253,9.096491228070175,7.37280701754386,0.09210526315789473,0.6798245614035088,0.6798245614035088,0.20051227112611134,5.7555555555555555,7.666666666666667,0.06666666666666667,0.6444444444444445,0.6444444444444445,True
12,0.001,0.19892924161333786,6.030701754385965,6.324561403508772,0.07456140350877193,0.7280701754385965,0.7280701754385965,0.1985142966111501,8.066666666666666,8.022222222222222,0.06666666666666667,0.6444444444444445,0.6444444444444445,False
