epoch,stage,train_loss,train_fusion_loss,train_h_aux_loss,train_v_aux_loss,val_loss,val_fusion_loss,val_h_aux_loss,val_v_aux_loss,fusion_lr,branch_lr,val_threshold,val_joint_pd,val_pfa,val_score_recall,val_auc,val_range_mae_gates,val_velocity_mae_bins
1,warmup,0.3011558814190147,0.29858385163015433,0.005897526939919173,0.006962625071973693,0.18284981283061022,0.1800252441408599,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.3974609375,0.8113207547169812,0.013333333333333334,1.0,0.999874213836478,2.0377358490566038,3.6792452830188678
2,warmup,0.1593486097945036,0.15677657843921383,0.005897527023072975,0.006962624631258546,0.12159292392542796,0.11876835464843975,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.361572265625,0.8113207547169812,0.013333333333333334,0.9811320754716981,0.9874842767295597,2.018867924528302,3.018867924528302
3,warmup,0.10731022075983392,0.10473818988652242,0.0058975261725507915,0.006962625187761439,0.08505292178081174,0.08222835125594304,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.32177734375,0.8490566037735849,0.013333333333333334,1.0,0.999874213836478,1.5849056603773586,2.1320754716981134
4,warmup,0.07535384748020584,0.07278181646631735,0.005897528947220558,0.006962625711159705,0.0610429699638207,0.05821839973257093,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.2822265625,0.8301886792452831,0.013333333333333334,1.0,1.0,1.5471698113207548,2.169811320754717
5,warmup,0.05524895938660578,0.05267692876432462,0.0058975263055968735,0.0069626247596762565,0.04590854621285875,0.043083975981608985,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.279296875,0.8301886792452831,0.013333333333333334,1.0,1.0,1.509433962264151,2.1132075471698113
6,warmup,0.04217528470483109,0.03960325482559975,0.005897524416044409,0.006962625167404447,0.036127776494754356,0.033303206263504595,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.24560546875,0.8301886792452831,0.013333333333333334,1.0,1.0,1.6037735849056605,2.2641509433962264
7,warmup,0.033378741666272964,0.030806710978723922,0.005897526917012654,0.006962626035930212,0.029414235572950007,0.026589665470158525,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.2252197265625,0.8679245283018868,0.013333333333333334,1.0,1.0,1.509433962264151,1.9622641509433962
8,warmup,0.027272464561896182,0.024700434778056377,0.005897523724848048,0.006962625052361947,0.0246220084797279,0.02179743837693642,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.202392578125,0.8679245283018868,0.013333333333333334,1.0,1.0,1.3584905660377358,1.471698113207547
9,warmup,0.02286652804194194,0.02029449798447906,0.005897526148663686,0.006962624287582316,0.02103550394473992,0.01821093395205554,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.1895751953125,0.8867924528301887,0.013333333333333334,1.0,1.0,1.4150943396226414,1.8113207547169812
10,warmup,0.019661441756628272,0.017089411495830813,0.005897526908579604,0.00696262412268676,0.01849875802844029,0.015674187916473216,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.1812744140625,0.9056603773584906,0.013333333333333334,1.0,1.0,1.3018867924528301,1.3018867924528301
11,warmup,0.017193627433294074,0.014621597438588778,0.005897525106730866,0.0069626243615970446,0.016439917676260907,0.013615347637698567,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.188232421875,0.9056603773584906,0.013333333333333334,1.0,1.0,1.320754716981132,1.3584905660377358
12,warmup,0.015284518460238558,0.012712488189399886,0.005897527042998508,0.006962624670482038,0.014895228806681234,0.012070658621309426,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.159912109375,0.9056603773584906,0.013333333333333334,1.0,1.0,1.320754716981132,1.3962264150943395
13,warmup,0.013776303951771594,0.011204273434923183,0.005897527106775905,0.006962625437850419,0.013629921120155621,0.010805350934783813,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.173583984375,0.9056603773584906,0.013333333333333334,1.0,1.0,1.320754716981132,1.320754716981132
14,warmup,0.01254778963857584,0.009975759899921494,0.0058975289303936805,0.006962619810063904,0.012594832722189392,0.009770262830436523,0.006700579087112874,0.007422270822904206,0.0003,3e-05,0.153564453125,0.8679245283018868,0.013333333333333334,1.0,1.0,1.3773584905660377,1.3962264150943395
