fold,scan_group,sample_count,background_count,target_count,raw_false_alarm_count,v3_false_alarm_count,false_alarm_count_reduction,raw_pfa,v3_pfa,pfa_reduction_fraction,raw_detected_target_count,v3_detected_target_count,raw_pd,v3_pd,raw_background_score_mean,v3_background_score_mean,raw_background_score_max,v3_background_score_max,background_shift_mean,target_shift_mean,background_p_background_mean,target_p_background_mean,background_suppression_mean,target_suppression_mean
4,20260204_100845,150,150,0,100,14,86,0.6666666666666666,0.09333333333333334,0.8599999999999999,0,0,,,0.3764142585794131,0.21186050516863664,0.9860442876815796,0.9174848198890686,0.8055681550006072,,0.7759217627843221,,1.039280171940724,
5,20260202_145020,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,0.0001248420358024,,0.004482707125134674,,0.027845573611557452
5,20260202_145028,3,0,3,0,0,0,,,,2,2,0.6666666666666666,0.6666666666666666,,,,,,0.0002657505586587667,,0.006444452640910867,,0.04400481532017387
5,20260202_145037,3,0,3,0,0,0,,,,3,3,1.0,1.0,,,,,,0.00012629206806496663,,0.004556494299322333,,0.027911403526862433
5,20260202_145045,4,0,4,0,0,0,,,,3,3,0.75,0.75,,,,,,0.009799187944736276,,0.14142861566506323,,0.43126894906163216
5,20260202_145053,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,0.00011329299013594762,,0.0044801335316151,,0.02528763609006995
5,20260202_145102,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00014377459592646832,,0.004499866254627641,,0.0319434568285942
5,20260202_145110,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,0.00013854908502250183,,0.004500095499679399,,0.03080525621771805
5,20260202_145118,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,0.000152188084030025,,0.004492050968110525,,0.033869669307023224
5,20260202_145126,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00015726123674536592,,0.0044998249970375995,,0.03492221198976034
5,20260202_145135,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00015669136191713998,,0.00449643013998862,,0.03484692499041552
5,20260202_145143,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00011223564360985595,,0.00447504995390766,,0.025079295784234963
5,20260202_145151,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00019849780946964,,0.004519536066800301,,0.043889461457729304
5,20260202_145208,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,0.0001287300601688612,,0.00448648084420705,,0.028685705270618155
5,20260202_145216,5,0,5,0,0,0,,,,4,4,0.8,0.8,,,,,,0.0029062143526971,,0.06385049112141128,,0.08356335237622257
