Scope,Raw Pd,v3 Pd,Pd change,Raw Pfa,v3 Pfa,Pfa reduction,Raw false alarms,v3 false alarms
Fold 1,1.0,1.0,0.0,0.5733333333333334,0.28,0.5116279069767442,86,42
Fold 2,0.9245283018867925,0.9245283018867925,0.0,0.0,0.0,,0,0
Fold 3,0.8653846153846154,0.8653846153846154,0.0,0.0,0.0,,0,0
Fold 4,0.9038461538461539,0.9038461538461539,0.0,0.6666666666666666,0.09333333333333334,0.8599999999999999,100,14
Fold 5,0.95,0.95,0.0,0.0,0.0,,0,0
Fold 6,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,,0,0
Six-fold pooled,0.9088050314465409,0.9088050314465409,0.0,0.22409638554216868,0.06746987951807229,0.6989247311827957,186,56
