epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
1,0.001,0.2857355919846317,37.526315789473685,61.96491228070175,0.0,0.0,0.0,0.2531770779026879,28.8,53.266666666666666,0.0,0.0,0.0,True
2,0.001,0.24412309548311067,34.228070175438596,42.021929824561404,0.0,0.0,0.0,0.23600739008850521,40.4,22.31111111111111,0.0,0.0,0.0,True
3,0.001,0.22979837865160221,40.74561403508772,22.587719298245613,0.0,0.0,0.0,0.22494484219286176,55.2,22.266666666666666,0.0,0.0,0.0,True
4,0.001,0.22069682390020604,53.55701754385965,20.903508771929825,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.21793908443715837,62.888888888888886,22.266666666666666,0.0,0.0,0.0,False
5,0.001,0.2149142539292051,54.35964912280702,20.62719298245614,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.2131458795732922,64.42222222222222,22.266666666666666,0.0,0.0,0.0,False
6,0.001,0.2106090569705294,57.18421052631579,21.18859649122807,0.043859649122807015,0.05263157894736842,0.05263157894736842,0.20934987200631036,60.28888888888889,21.666666666666668,0.022222222222222223,0.022222222222222223,0.022222222222222223,True
7,0.001,0.2074617602323231,53.175438596491226,20.74122807017544,0.05263157894736842,0.07017543859649122,0.07017543859649122,0.20675443013509115,41.644444444444446,18.822222222222223,0.15555555555555556,0.2,0.2,True
8,0.001,0.20504607077230486,29.62280701754386,14.298245614035087,0.2412280701754386,0.36403508771929827,0.36403508771929827,0.20617056323422325,20.266666666666666,13.533333333333333,0.26666666666666666,0.4222222222222222,0.4222222222222222,True
9,0.001,0.20326434650964903,12.271929824561404,10.907894736842104,0.2543859649122807,0.5307017543859649,0.5307017543859649,0.2026202983326382,13.377777777777778,11.755555555555556,0.2222222222222222,0.4888888888888889,0.4888888888888889,True
10,0.001,0.20129154282703735,5.934210526315789,8.486842105263158,0.2807017543859649,0.618421052631579,0.618421052631579,0.20155067245165506,7.266666666666667,12.844444444444445,0.2,0.4,0.4,False
11,0.001,0.19919361226391374,5.828947368421052,9.223684210526315,0.2675438596491228,0.5964912280701754,0.5964912280701754,0.19887638390064238,7.044444444444444,11.2,0.3111111111111111,0.4888888888888889,0.4888888888888889,True
12,0.001,0.19716658665422807,5.456140350877193,8.197368421052632,0.27631578947368424,0.6403508771929824,0.6403508771929824,0.1966950820551978,7.711111111111111,10.2,0.3333333333333333,0.5333333333333333,0.5333333333333333,True
13,0.001,0.19472952291630863,5.1798245614035086,7.25,0.2675438596491228,0.6710526315789473,0.6710526315789473,0.19597838355435265,5.666666666666667,8.11111111111111,0.3333333333333333,0.6444444444444445,0.6444444444444445,True
14,0.001,0.19187423665272563,4.947368421052632,6.464912280701754,0.29385964912280704,0.7149122807017544,0.7149122807017544,0.19118240541881984,7.377777777777778,10.777777777777779,0.15555555555555556,0.5111111111111111,0.5111111111111111,False
