epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_auc
1,0.32915645999752957,0.13791424291474477,0.001,0.334716796875,0.06666666666666667,0.013333333333333334,0.9866111111111111
2,0.08790850681860161,0.05710524398656119,0.001,0.361328125,0.2833333333333333,0.013333333333333334,0.9147777777777778
3,0.04227643695396736,0.032146974688484556,0.001,0.48046875,0.43333333333333335,0.013333333333333334,0.9231111111111111
4,0.026101178580733096,0.02161542441518534,0.001,0.56298828125,0.36666666666666664,0.013333333333333334,0.9452777777777778
5,0.01862603223518185,0.016022861491711365,0.001,0.634765625,0.5833333333333334,0.013333333333333334,0.9560555555555555
6,0.01447437066362118,0.013025203626602888,0.001,0.72900390625,0.5,0.013333333333333334,0.9361111111111111
7,0.011932924407554547,0.011738098953806219,0.001,0.61572265625,0.6166666666666667,0.013333333333333334,0.9443333333333334
8,0.010494914266493415,0.010865158585476733,0.001,0.6689453125,0.5,0.013333333333333334,0.946
9,0.00941055453301448,0.009722773003436271,0.001,0.60400390625,0.6,0.013333333333333334,0.9636111111111111
10,0.008548138851714928,0.008771755125018812,0.001,0.6748046875,0.65,0.013333333333333334,0.9662222222222222
11,0.008081634419479245,0.008892323529081685,0.001,0.69384765625,0.5,0.013333333333333334,0.9653333333333334
12,0.007535403473530491,0.00800505961358015,0.001,0.78759765625,0.5833333333333334,0.013333333333333334,0.9644444444444444
13,0.007000293477018283,0.007676464313685539,0.001,0.62646484375,0.6833333333333333,0.013333333333333334,0.9781111111111112
14,0.00679349983186947,0.008574444086601336,0.001,0.57861328125,0.6666666666666666,0.013333333333333334,0.9767222222222223
15,0.006562520908672646,0.007733575233613096,0.001,0.52978515625,0.6666666666666666,0.013333333333333334,0.9782222222222222
16,0.0062884352383148125,0.007785392149041097,0.001,0.5673828125,0.7,0.013333333333333334,0.9813333333333333
17,0.005744491547533392,0.007261369378483366,0.001,0.67529296875,0.6666666666666666,0.013333333333333334,0.9771111111111112
18,0.00589291689887076,0.007518971216909233,0.001,0.5087890625,0.7166666666666667,0.013333333333333334,0.9901111111111112
19,0.005659521964211624,0.006672514420712278,0.001,0.51904296875,0.6666666666666666,0.013333333333333334,0.9843333333333333
20,0.005209263229398462,0.006230500605445177,0.001,0.498779296875,0.75,0.013333333333333334,0.9944444444444445
21,0.005169395047351313,0.006255461875393632,0.001,0.6123046875,0.7166666666666667,0.013333333333333334,0.9874444444444445
22,0.005026912214816548,0.005726386893851062,0.001,0.53857421875,0.7833333333333333,0.013333333333333334,0.992
23,0.004935048486874186,0.006026485799590037,0.001,0.671875,0.7166666666666667,0.013333333333333334,0.9842222222222222
24,0.004740517890161794,0.0064085174634653545,0.001,0.56005859375,0.7833333333333333,0.013333333333333334,0.9906666666666667
25,0.00454182398591555,0.00721912422588849,0.001,0.44482421875,0.7166666666666667,0.013333333333333334,0.992
26,0.004721817471442552,0.005515899010823064,0.001,0.59716796875,0.8,0.013333333333333334,0.9912222222222222
27,0.004386270544668862,0.0056572768621013635,0.001,0.46875,0.7833333333333333,0.013333333333333334,0.9933333333333333
28,0.004157478767529424,0.005920838805225989,0.001,0.476806640625,0.8166666666666667,0.013333333333333334,0.9932222222222222
29,0.004011623193788261,0.00616007206512482,0.001,0.474853515625,0.7666666666666667,0.013333333333333334,0.9956666666666667
30,0.00443614057598018,0.006083611482643478,0.001,0.55419921875,0.75,0.013333333333333334,0.9924444444444445
31,0.003843287084316177,0.005792567418150914,0.001,0.56591796875,0.8166666666666667,0.013333333333333334,0.9955555555555555
32,0.00397013337098305,0.005666867575408625,0.0005,0.56103515625,0.7833333333333333,0.013333333333333334,0.995
33,0.0034061676503726,0.004803711756332112,0.0005,0.59814453125,0.85,0.013333333333333334,0.9967777777777778
34,0.003304442916803806,0.005138225415915561,0.0005,0.537109375,0.8333333333333334,0.013333333333333334,0.9981111111111111
35,0.0032823386686093568,0.005281142058915326,0.0005,0.5966796875,0.8,0.013333333333333334,0.9958888888888889
36,0.003242991883978349,0.0051277425429794845,0.0005,0.5908203125,0.8166666666666667,0.013333333333333334,0.9971111111111111
37,0.003088238713525757,0.005148654721865785,0.0005,0.45166015625,0.8,0.013333333333333334,0.9978888888888889
38,0.0031817289586204265,0.006082692212380824,0.0005,0.3662109375,0.75,0.013333333333333334,0.9971111111111111
39,0.003091492539486195,0.005147759159306242,0.00025,0.51953125,0.8166666666666667,0.013333333333333334,0.9966666666666667
40,0.00283197597001044,0.005054511341898303,0.00025,0.4951171875,0.8,0.013333333333333334,0.9981111111111111
41,0.0027903962026871536,0.005317879919450552,0.00025,0.42919921875,0.8,0.013333333333333334,0.9992222222222222
42,0.0027765243898023114,0.0050429979182635655,0.00025,0.44921875,0.8166666666666667,0.013333333333333334,0.998
43,0.002694118219788715,0.004993544029033122,0.00025,0.464599609375,0.8166666666666667,0.013333333333333334,0.9972222222222222
44,0.0026934797126317712,0.005272183240906868,0.00025,0.398193359375,0.8166666666666667,0.013333333333333334,0.9982222222222222
45,0.002664722894263358,0.004937214988915782,0.000125,0.436279296875,0.8166666666666667,0.013333333333333334,0.9987777777777778
46,0.0025858730346637617,0.005075158266117796,0.000125,0.4091796875,0.8166666666666667,0.013333333333333334,0.998
47,0.002559764493091042,0.0050391745520755645,0.000125,0.4462890625,0.8,0.013333333333333334,0.9986666666666667
48,0.002548712281049634,0.005147432406166834,0.000125,0.3994140625,0.8166666666666667,0.013333333333333334,0.9986111111111111
49,0.0025610186310033264,0.005214905354867889,0.000125,0.408203125,0.8166666666666667,0.013333333333333334,0.9983333333333333
50,0.0025331997413836098,0.0051006348676136916,0.000125,0.431396484375,0.8,0.013333333333333334,0.9986666666666667
51,0.002508521522031515,0.005248656688352293,6.25e-05,0.412841796875,0.8166666666666667,0.013333333333333334,0.9982222222222222
52,0.0024566653836819055,0.005189285302462633,6.25e-05,0.402099609375,0.8166666666666667,0.013333333333333334,0.9987777777777778
53,0.0024455683924315963,0.005065514191630341,6.25e-05,0.404052734375,0.8,0.013333333333333334,0.9985555555555555
