fold,mode,parameter_count,best_epoch,base_threshold,selected_threshold,false_alarms,fixed_pfa,fixed_score_pd,fixed_joint_pd,auc,pauc_5pct,tpr_1pct,tpr_5pct,range_mae,velocity_mae,selected_test_pfa,selected_test_joint_pd,validation_background_q99,test_background_exceed_q99_fraction,background_median_shift,background_q95_shift,display_name
1,power2_baseline,0,0,0.183837890625,0.3426465392112732,150,1.0,1.0,0.981132075471698,0.9444025157232704,0.801967424608934,0.5094339622641509,0.7169811320754716,1.0566037735849056,0.8867924528301887,0.9733333333333334,0.981132075471698,0.2649896739999985,0.9933333333333332,0.7056655695,0.8124124105000001,Power2 baseline
1,power2_roi_power_control,8162,28,0.183837890625,0.066876895725727,98,0.6533333333333333,1.0,0.981132075471698,0.9618867924528302,0.8238993710691824,0.5094339622641509,0.7924528301886793,1.0566037735849056,0.8867924528301887,0.7466666666666667,0.981132075471698,0.0593700303399998,0.7533333333333333,0.41596254345,0.9161863435,ROI power control
1,power2_roi_ri4,8162,16,0.183837890625,0.0390469841659069,100,0.6666666666666666,1.0,0.981132075471698,0.9422641509433964,0.8026124818577649,0.5094339622641509,0.7358490566037735,1.0566037735849056,0.8867924528301887,0.78,0.981132075471698,0.0363365470399999,0.78,0.6519751247500001,0.93237473935,ROI RI4
2,power2_baseline,0,0,0.5234375,0.5517527461051941,2,0.0133333333333333,1.0,0.8867924528301887,1.0,1.0,1.0,1.0,2.2830188679245285,2.4339622641509435,0.0066666666666666,0.8867924528301887,0.547777093,0.0066666666666666,-0.096382005,-0.1346336855000001,Power2 baseline
2,power2_roi_power_control,8162,22,0.5234375,0.1382651478052139,0,0.0,1.0,0.8867924528301887,1.0,1.0,1.0,1.0,2.2830188679245285,2.4339622641509435,0.0066666666666666,0.8867924528301887,0.13601384864,0.0133333333333333,-0.0059193485,-0.0313328945000001,ROI power control
2,power2_roi_ri4,8162,13,0.5234375,0.2184288948774337,0,0.0,1.0,0.8867924528301887,1.0,1.0,1.0,1.0,2.2830188679245285,2.4339622641509435,0.0,0.8867924528301887,0.2172030642,0.0,-0.011072702,-0.0861866685,ROI RI4
3,power2_baseline,0,0,0.900390625,0.9036649465560912,0,0.0,0.8846153846153846,0.8269230769230769,1.0,1.0,1.0,1.0,1.5576923076923077,0.903846153846154,0.0,0.8076923076923077,0.9031025684,0.0,-0.46682383,-0.527280014,Power2 baseline
3,power2_roi_power_control,8162,68,0.900390625,0.9000339508056641,0,0.0,0.8846153846153846,0.8269230769230769,1.0,1.0,1.0,1.0,1.5576923076923077,0.903846153846154,0.0,0.8269230769230769,0.8964884520999999,0.0,-0.235988015,-0.7675869854999999,ROI power control
3,power2_roi_ri4,8162,19,0.900390625,0.875095546245575,0,0.0,0.8846153846153846,0.8269230769230769,0.9966555183946488,0.990138067061144,0.9807692307692308,0.9807692307692308,1.5576923076923077,0.903846153846154,0.0,0.8461538461538461,0.8740570685,0.0,-0.109625605,-0.7407314137,ROI RI4
4,power2_baseline,0,0,0.140869140625,0.1846509873867035,148,0.9866666666666668,1.0,0.7884615384615384,0.8848717948717949,0.8113083497698882,0.5961538461538461,0.7115384615384616,4.230769230769231,3.865384615384616,0.9733333333333334,0.7884615384615384,0.1634700437999996,0.98,0.5904988915,0.7979290587000001,Power2 baseline
4,power2_roi_power_control,8162,5,0.140869140625,0.0303682517260313,139,0.9266666666666666,1.0,0.7884615384615384,0.8848717948717948,0.8126232741617356,0.5961538461538461,0.7115384615384616,4.230769230769231,3.865384615384616,0.98,0.7884615384615384,0.0233033961199998,0.98,0.576300776575,0.8758962022,ROI power control
4,power2_roi_ri4,8162,8,0.140869140625,0.0267985165119171,96,0.64,0.9615384615384616,0.7884615384615384,0.8885897435897437,0.8152531229454307,0.5961538461538461,0.7115384615384616,4.230769230769231,3.865384615384616,0.9133333333333332,0.7884615384615384,0.0263279915599999,0.9133333333333332,0.2488966356,0.8699467603700001,ROI RI4
5,power2_baseline,0,0,0.5576171875,0.5659095644950867,0,0.0,0.9833333333333332,0.8833333333333333,0.9998888888888888,0.9988603988603988,1.0,1.0,2.4833333333333334,2.583333333333333,0.0,0.8833333333333333,0.5646983346000001,0.0,-0.044224346,-0.3807744469999999,Power2 baseline
5,power2_roi_power_control,8162,3,0.5576171875,0.5603855848312378,0,0.0,0.9833333333333332,0.8833333333333333,0.9998888888888888,0.9988603988603988,1.0,1.0,2.4833333333333334,2.583333333333333,0.0,0.8833333333333333,0.5591564056,0.0,-0.0425803045,-0.381544727,ROI power control
5,power2_roi_ri4,8162,3,0.5576171875,0.5553265810012817,0,0.0,0.9833333333333332,0.8833333333333333,0.9998888888888888,0.9988603988603988,1.0,1.0,2.4833333333333334,2.583333333333333,0.0,0.8833333333333333,0.553927762,0.0,-0.0440776335,-0.387540878,ROI RI4
6,power2_baseline,0,0,0.841796875,0.8470421433448792,0,0.0,0.6666666666666666,0.6666666666666666,0.9980072463768116,0.9795615013006316,0.9375,1.0,5.354166666666667,3.583333333333333,0.0,0.6666666666666666,0.8470142889999999,0.0,-0.29211997,-0.4300910359999989,Power2 baseline
6,power2_roi_power_control,8162,3,0.841796875,0.8462671041488647,0,0.0,0.6666666666666666,0.6666666666666666,0.9980072463768116,0.9795615013006316,0.9375,1.0,5.354166666666667,3.583333333333333,0.0,0.6666666666666666,0.8462384629999999,0.0,-0.2912783799999999,-0.4303871974999989,ROI power control
6,power2_roi_ri4,8162,30,0.841796875,0.8372349739074707,0,0.0,0.6666666666666666,0.6666666666666666,0.9789855072463768,0.9679487179487178,0.9375,0.9375,5.354166666666667,3.583333333333333,0.0,0.6666666666666666,0.8437842104,0.0,-0.006990011,-0.5569381854999984,ROI RI4
