display_name,total_false_alarms,mean_fixed_pfa,mean_fixed_score_pd,mean_fixed_joint_pd,mean_auc,mean_pauc_5pct,mean_tpr_1pct,mean_tpr_5pct,delta_total_false_alarms_vs_power2,delta_mean_joint_pd_vs_power2,delta_mean_pauc_vs_power2
Power2 baseline,300,0.3333333333333333,0.9224358974358974,0.8388848572810836,0.9711950743101276,0.9319496124233088,0.8405146347363329,0.9047532656023222,0,0.0,0.0
ROI power control,237,0.2633333333333333,0.9224358974358974,0.8388848572810836,0.9741091204317208,0.935824090898658,0.8405146347363329,0.9173318819545236,-63,0.0,0.0038744784753492
ROI RI4,196,0.2177777777777777,0.916025641025641,0.8388848572810836,0.9677306348438424,0.9291354647789092,0.8373095065312047,0.8942761248185777,-104,0.0,-0.0028141476443995
