epoch,train_loss,val_loss,learning_rate,val_threshold,val_joint_pd,val_pfa,val_score_recall,val_auc,val_range_mae_gates,val_velocity_mae_bins
1,0.26629553071182704,0.16119830693517412,0.001,0.358154296875,0.0,0.013333333333333334,0.0,0.022722222222222224,57.56666666666667,59.2
2,0.12073631276902945,0.0913588841756185,0.001,0.283203125,0.0,0.0,0.03333333333333333,0.38355555555555554,28.416666666666668,59.233333333333334
3,0.07144629453187404,0.05700044369413739,0.001,0.19287109375,0.0,0.013333333333333334,0.0,0.06977777777777777,39.21666666666667,59.233333333333334
4,0.04634656364341145,0.03889721695865903,0.001,0.140380859375,0.0,0.013333333333333334,0.0,0.06277777777777778,28.416666666666668,59.233333333333334
5,0.033228280913570656,0.029495866561219806,0.001,0.1165771484375,0.0,0.006666666666666667,0.0,0.02188888888888889,28.416666666666668,59.233333333333334
6,0.02645558394167734,0.02468277302881082,0.001,0.10015869140625,0.0,0.013333333333333334,0.0,0.014277777777777778,28.416666666666668,59.233333333333334
7,0.022861284274688882,0.02218330887456735,0.001,0.093994140625,0.0,0.013333333333333334,0.0,0.0335,29.566666666666666,47.25
8,0.020881771292213514,0.02058184298553637,0.001,0.08038330078125,0.0,0.013333333333333334,0.0,0.006,28.5,58.18333333333333
9,0.01964221034279984,0.019611248187720774,0.001,0.0751953125,0.0,0.013333333333333334,0.0,0.005111111111111111,28.466666666666665,57.1
10,0.01883954941497549,0.018949948570558,0.001,0.0723876953125,0.0,0.013333333333333334,0.0,0.12477777777777778,35.78333333333333,31.25
11,0.018281036542485588,0.018502091926832994,0.001,0.07611083984375,0.0,0.013333333333333334,0.0,0.31933333333333336,38.016666666666666,23.383333333333333
12,0.017880828261537397,0.018131940102293378,0.001,0.0706787109375,0.0,0.013333333333333334,0.016666666666666666,0.5873888888888888,38.78333333333333,23.483333333333334
13,0.01756770411030511,0.01784536557804261,0.001,0.07586669921875,0.0,0.013333333333333334,0.016666666666666666,0.8186111111111111,40.583333333333336,23.566666666666666
14,0.01728780568658334,0.01755628745914215,0.001,0.0740966796875,0.016666666666666666,0.013333333333333334,0.25,0.9738333333333333,58.5,23.033333333333335
15,0.01702729397853229,0.017435873929588567,0.001,0.075439453125,0.0,0.013333333333333334,1.0,0.9960555555555556,51.55,22.833333333333332
16,0.016817248770562204,0.016989910176822116,0.001,0.126953125,0.03333333333333333,0.013333333333333334,1.0,0.9995555555555555,54.3,22.4
17,0.016555918998125453,0.0167638571045938,0.001,0.09039306640625,0.15,0.013333333333333334,1.0,0.9985555555555555,39.31666666666667,15.6
18,0.016287825596721275,0.01614882651982563,0.001,0.1744384765625,0.11666666666666667,0.013333333333333334,1.0,1.0,35.666666666666664,13.85
19,0.0157779096018361,0.015343778265551443,0.001,0.2081298828125,0.11666666666666667,0.013333333333333334,1.0,0.9998888888888889,28.016666666666666,10.433333333333334
20,0.015243587671252697,0.015718178506497118,0.001,0.201171875,0.03333333333333333,0.006666666666666667,0.6666666666666666,0.9833333333333333,17.433333333333334,9.533333333333333
21,0.015108124449793451,0.01518019148192945,0.001,0.1632080078125,0.03333333333333333,0.013333333333333334,0.9666666666666667,0.9971111111111111,12.033333333333333,8.966666666666667
22,0.014563858164879291,0.013511874251777217,0.001,0.39111328125,0.016666666666666666,0.013333333333333334,0.9666666666666667,0.9968888888888889,6.35,5.4
23,0.013647838070502748,0.013159274689054914,0.001,0.43310546875,0.05,0.013333333333333334,0.8166666666666667,0.9894444444444445,8.216666666666667,5.816666666666666
24,0.012809008289047557,0.013591515215202457,0.001,0.2421875,0.11666666666666667,0.013333333333333334,0.8333333333333334,0.9822222222222222,6.583333333333333,5.833333333333333
25,0.013339711945382473,0.01384575385378585,0.001,0.387939453125,0.06666666666666667,0.013333333333333334,0.8333333333333334,0.9837777777777778,7.416666666666667,6.383333333333334
26,0.012087492403857734,0.011978169526195242,0.001,0.66015625,0.05,0.013333333333333334,0.7333333333333333,0.9493888888888888,8.433333333333334,6.116666666666666
27,0.011440480502484284,0.01241807596247998,0.001,0.5341796875,0.16666666666666666,0.013333333333333334,0.7166666666666667,0.9471111111111111,7.983333333333333,6.5
28,0.011166707845404744,0.011488962596991942,0.001,0.54931640625,0.05,0.013333333333333334,0.7333333333333333,0.9597777777777777,11.316666666666666,8.533333333333333
29,0.010680263457090958,0.01122698325087272,0.001,0.483154296875,0.18333333333333332,0.013333333333333334,0.8,0.9591111111111111,11.916666666666666,8.283333333333333
