group,sample_count,strict_detection_rate,relaxed_detection_rate,label_cell_detection_rate,average_raw_detection_cells,average_candidate_count,average_false_alarm_candidates,median_false_alarm_candidates,mean_absolute_range_error_gates,mean_absolute_velocity_error_bins,mean_label_margin_db
全部样本,318,0.11635220125786164,0.839622641509434,0.9779874213836478,109.81446540880503,13.216981132075471,12.361635220125786,12.0,3.1048689138576777,0.1797752808988764,5.1365035846811935
波束层1,71,0.14084507042253522,0.8309859154929577,0.9859154929577465,105.73239436619718,13.985915492957746,13.154929577464788,13.0,2.983050847457627,0.1694915254237288,5.076429683081154
波束层2,71,0.08450704225352113,0.8309859154929577,0.9859154929577465,117.3943661971831,15.338028169014084,14.507042253521126,15.0,3.406779661016949,0.2033898305084746,5.595233364586503
波束层3,71,0.07042253521126761,0.7746478873239436,0.9859154929577465,114.28169014084507,13.295774647887324,12.52112676056338,13.0,3.272727272727273,0.2,5.512985728547963
波束层4,68,0.1323529411764706,0.8823529411764706,0.9705882352941176,107.8970588235294,11.323529411764707,10.382352941176471,11.0,2.933333333333333,0.11666666666666667,4.873190964055791
波束层5,37,0.1891891891891892,0.918918918918919,0.9459459459459459,98.05405405405405,11.0,10.054054054054054,10.0,2.823529411764706,0.23529411764705882,4.133002466527475
