filename,filepath,read_success,has_h,has_v,h_shape,v_shape,h_dtype,v_dtype,h_is_complex,v_is_complex,h_has_nan,v_has_nan,h_has_inf,v_has_inf,shape_valid,data_valid,error
20260202_144335_beam4.mat,data/raw/IQ_Data/20260202_144335_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144335_beam5.mat,data/raw/IQ_Data/20260202_144335_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144344_beam1.mat,data/raw/IQ_Data/20260202_144344_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144344_beam2.mat,data/raw/IQ_Data/20260202_144344_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144344_beam3.mat,data/raw/IQ_Data/20260202_144344_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144344_beam4.mat,data/raw/IQ_Data/20260202_144344_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144344_beam5.mat,data/raw/IQ_Data/20260202_144344_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144352_beam1.mat,data/raw/IQ_Data/20260202_144352_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144352_beam2.mat,data/raw/IQ_Data/20260202_144352_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144352_beam3.mat,data/raw/IQ_Data/20260202_144352_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144352_beam4.mat,data/raw/IQ_Data/20260202_144352_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144352_beam5.mat,data/raw/IQ_Data/20260202_144352_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144417_beam1.mat,data/raw/IQ_Data/20260202_144417_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144417_beam2.mat,data/raw/IQ_Data/20260202_144417_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144417_beam3.mat,data/raw/IQ_Data/20260202_144417_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144417_beam4.mat,data/raw/IQ_Data/20260202_144417_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144417_beam5.mat,data/raw/IQ_Data/20260202_144417_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144425_beam1.mat,data/raw/IQ_Data/20260202_144425_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144425_beam2.mat,data/raw/IQ_Data/20260202_144425_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144425_beam3.mat,data/raw/IQ_Data/20260202_144425_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144425_beam4.mat,data/raw/IQ_Data/20260202_144425_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144425_beam5.mat,data/raw/IQ_Data/20260202_144425_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144433_beam1.mat,data/raw/IQ_Data/20260202_144433_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144433_beam2.mat,data/raw/IQ_Data/20260202_144433_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144433_beam3.mat,data/raw/IQ_Data/20260202_144433_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144433_beam4.mat,data/raw/IQ_Data/20260202_144433_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144433_beam5.mat,data/raw/IQ_Data/20260202_144433_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144458_beam1.mat,data/raw/IQ_Data/20260202_144458_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144458_beam2.mat,data/raw/IQ_Data/20260202_144458_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144458_beam3.mat,data/raw/IQ_Data/20260202_144458_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144458_beam4.mat,data/raw/IQ_Data/20260202_144458_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144458_beam5.mat,data/raw/IQ_Data/20260202_144458_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144506_beam1.mat,data/raw/IQ_Data/20260202_144506_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144506_beam2.mat,data/raw/IQ_Data/20260202_144506_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
