channel,sample_count,range_offset_mean_gates,range_offset_median_gates,range_offset_std_gates,range_exact_match_rate,range_within_1_gate_rate,velocity_offset_mean_bins,velocity_offset_median_bins,velocity_offset_std_bins,velocity_exact_match_rate,velocity_within_1_bin_rate,both_exact_match_rate,both_within_1_rate
h,318,0.11635220125786164,0.0,1.488859755259407,0.13522012578616352,0.5471698113207547,0.0660377358490566,0.0,0.39561160392266603,0.839622641509434,1.0,0.12264150943396226,0.5471698113207547
v,318,0.04716981132075472,0.0,1.5073871233121932,0.14779874213836477,0.5283018867924528,0.06918238993710692,0.0,0.406873078053517,0.8301886792452831,1.0,0.12578616352201258,0.5283018867924528
combined,318,0.0440251572327044,0.0,1.5395763764501835,0.12578616352201258,0.5031446540880503,0.0660377358490566,0.0,0.41125033457522303,0.8270440251572327,1.0,0.11320754716981132,0.5031446540880503
