cv_fold,test_sample_count,best_dual_epoch,best_refiner_epoch,coarse_mean_range_error,coarse_mean_velocity_error,coarse_strict_hit_rate,coarse_relaxed_hit_rate,coarse_application_hit_rate,coarse_zero_false_peak_count,refined_mean_range_error,refined_mean_velocity_error,refined_strict_hit_rate,refined_relaxed_hit_rate,refined_application_hit_rate,refined_zero_false_peak_count,invalid_refiner_sample_count
1,66,77,42,3.272727272727273,2.893939393939394,0.22727272727272727,0.9242424242424242,0.9545454545454546,0.0,1.7727272727272727,2.6818181818181817,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.0,3
2,63,15,49,3.4126984126984126,1.380952380952381,0.06349206349206349,0.9523809523809523,0.9682539682539683,1.0,1.2222222222222223,1.1746031746031746,0.9682539682539683,0.9682539682539683,0.9682539682539683,1.0,2
3,63,64,46,2.1746031746031744,0.5873015873015873,0.19047619047619047,0.9841269841269841,0.9841269841269841,0.0,0.3333333333333333,0.42857142857142855,0.9682539682539683,0.9841269841269841,0.9841269841269841,0.0,1
4,63,53,38,2.7142857142857144,2.1746031746031744,0.31746031746031744,0.9365079365079365,0.9365079365079365,2.0,1.4444444444444444,2.0634920634920637,0.9206349206349206,0.9365079365079365,0.9365079365079365,2.0,4
5,63,26,37,6.063492063492063,3.761904761904762,0.15873015873015872,0.8095238095238095,0.8253968253968254,0.0,4.666666666666667,3.6507936507936507,0.746031746031746,0.8571428571428571,0.8571428571428571,0.0,11
