fold,mode,threshold,val_background_count,test_background_count,val_background_exceed_fraction,test_background_exceed_fraction,test_target_detect_fraction,val_background_q50,val_background_q95,val_background_q99,test_background_q50,test_background_q95,test_background_q99,background_median_shift,background_q95_shift
1,polar6_gated,0.5761083984374994,150,150,0.013333333333333334,0.38666666666666666,0.9622641509433962,0.0525665283203125,0.20245971679687474,0.5761083984374994,0.51513671875,0.8788330078125,0.9089892578125,0.4625701904296875,0.6763732910156253
1,power2,0.26501953124999855,150,150,0.013333333333333334,0.9933333333333333,1.0,0.0731201171875,0.13958129882812492,0.26501953124999855,0.7783203125,0.9522460937499999,0.9694970703125,0.7052001953125,0.812664794921875
1,ri4,0.7997509765624998,150,150,0.013333333333333334,0.13333333333333333,0.6226415094339622,0.16925048828125,0.6947021484374997,0.7997509765624998,0.543701171875,0.891162109375,0.936533203125,0.37445068359375,0.1964599609375003
1,ri8_gated,0.6150732421874995,150,150,0.013333333333333334,0.29333333333333333,0.8679245283018868,0.058441162109375,0.42464599609374987,0.6150732421874995,0.4542236328125,0.8614746093749998,0.9287255859374998,0.395782470703125,0.4368286132812499
4,polar6_gated,0.6775732421874999,150,150,0.013333333333333334,0.37333333333333335,0.75,0.079986572265625,0.5077392578124996,0.6775732421874999,0.61669921875,0.8581787109375,0.8740917968749999,0.536712646484375,0.35043945312500036
4,power2,0.1630322265624996,150,150,0.013333333333333334,0.98,1.0,0.035888671875,0.08944091796874991,0.1630322265624996,0.626220703125,0.88720703125,0.9334521484374999,0.59033203125,0.7977661132812501
4,ri4,0.7491796874999985,150,150,0.013333333333333334,0.09333333333333334,0.8076923076923077,0.09197998046875,0.4917480468749999,0.7491796874999985,0.4361572265625,0.7938232421875,0.9148095703124995,0.34417724609375,0.3020751953125001
4,ri8_gated,0.6307666015624994,150,150,0.013333333333333334,0.35333333333333333,0.8653846153846154,0.072357177734375,0.45856933593749954,0.6307666015624994,0.4954833984375,0.88896484375,0.9544677734374999,0.423126220703125,0.4303955078125004
