fold,mode,path,size_bytes,sha256,top_level_keys,epoch,threshold,load_error
1,power2,results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/checkpoints/best.pt,254785,b4cd1bea678e30f7e0cdbc820ecec6979d42cbe0b1c7296dd8d9351ecb07f13d,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,66,0.183837890625,
1,ri4,results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/checkpoints/best.pt,254785,8a6fcefdcb1dac155a10d5326b1e5f4594a85428891f877af5d0751e8a4cc10d,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,62,0.7900390625,
1,polar6_gated,results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/checkpoints/best.pt,254913,8e5be749a24a3c41ad0243e760de5a417ae9081c5020b8f418f84b750ed73e3b,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,69,0.5419921875,
1,ri8_gated,results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/checkpoints/best.pt,254977,067b1c5b250d49452d0b817f7e780a62c472f91ea4b713c43af58d81884ab1c1,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,32,0.5859375,
4,power2,results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/checkpoints/best.pt,254785,a43d486fb47e6beb5a8d24fda1ba74f0002c1b1fd0d312f4ce7979269a34210f,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,64,0.140869140625,
4,ri4,results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/checkpoints/best.pt,254785,99d969d80425ec7fc5fd413a58c6a64c63b76ec3fa2f1843224abac3315ec356,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,56,0.66650390625,
4,polar6_gated,results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/checkpoints/best.pt,254913,65e42520696e5f4565bb057150008e9fc2332dec8152b88c2bfd5aa40461da54,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,47,0.67333984375,
4,ri8_gated,results/experiments/polar_repr_v2_ri8_gated_v4_fold04_seed42_formal/checkpoints/best.pt,254977,61ba5a6baaba09b5d6648bc4df14bef38462bb5c6808b1061d1c6bd9358cccdf,epoch|model_state_dict|optimizer_state_dict|input_mode|active_channels|canonical_channels|threshold|validation_metrics|dataset_version|manifest_path|split_strategy|fold_id|config,33,0.59814453125,
