display_name,total_refined_false_alarms,mean_fixed_pfa,mean_fixed_score_pd,mean_fixed_joint_pd,mean_auc,mean_pauc_5pct,mean_tpr_1pct,mean_tpr_5pct,delta_false_alarms_vs_power2,delta_joint_pd_vs_power2,delta_pauc_vs_power2
Power2 baseline,298,0.9933333333333334,1.0,0.8847968069666183,0.9146371552975328,0.8066378871894111,0.5527939042089985,0.7142597968069666,0,0.0,0.0
ROI Polar6-gated,214,0.7133333333333334,0.9905660377358492,0.8753628447024673,0.9111175616835994,0.8102105119521665,0.5433599419448476,0.7236937590711175,-84,-0.009433962264151,0.0035726247627554
ROI power control,237,0.79,1.0,0.8847968069666183,0.9233792936623124,0.818261322615459,0.5527939042089985,0.7519956458635704,-61,0.0,0.0116234354260479
ROI RI4,196,0.6533333333333333,0.9807692307692308,0.8847968069666183,0.91542694726657,0.8089328024015978,0.5527939042089985,0.7236937590711175,-102,0.0,0.0022949152121867
ROI RI4+Polar6,234,0.78,0.9807692307692308,0.8847968069666183,0.9226451378809868,0.8099003882748439,0.5624092888243832,0.7331277213352685,-64,0.0,0.0032625010854328
